population_site_id,contig,accessibility_records_expected,accessibility_records_found,accessibility_complete,accessibility_missing_positions,accessibility_fraction_23bp,pam_accessibility_fraction,protospacer_accessibility_fraction
AGAP009338__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009338__SITE05,3R,23,23,TRUE,,1,1,1
AGAP001015__SITE01,X,23,23,TRUE,,1,1,1
AGAP001015__SITE02,X,23,23,TRUE,,1,1,1
AGAP001015__SITE03,X,23,23,TRUE,,1,1,1
AGAP001015__SITE04,X,23,23,TRUE,,1,1,1
AGAP001015__SITE05,X,23,23,TRUE,,1,1,1
AGAP010219__SITE01,3R,23,23,TRUE,,1,1,1
AGAP010219__SITE02,3R,23,23,TRUE,,1,1,1
AGAP010219__SITE03,3R,23,23,TRUE,,1,1,1
AGAP010219__SITE04,3R,23,23,TRUE,,1,1,1
AGAP010219__SITE05,3R,23,23,TRUE,,1,1,1
AGAP008191__SITE01,3R,23,23,TRUE,,1,1,1
AGAP008191__SITE02,3R,23,23,TRUE,,1,1,1
AGAP008191__SITE03,3R,23,23,TRUE,,1,1,1
AGAP008191__SITE04,3R,23,23,TRUE,,1,1,1
AGAP008191__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005871__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005871__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005871__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005871__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005871__SITE05,2L,23,23,TRUE,,1,1,1
AGAP008015__SITE01,3R,23,23,TRUE,,1,1,1
AGAP008015__SITE02,3R,23,23,TRUE,,1,1,1
AGAP008015__SITE03,3R,23,23,TRUE,,1,1,1
AGAP008015__SITE04,3R,23,23,TRUE,,1,1,1
AGAP008015__SITE05,3R,23,23,TRUE,,1,1,1
AGAP004078__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004078__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004078__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004078__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004078__SITE05,2R,23,23,TRUE,,1,1,1
AGAP004852__SITE01,2L,23,23,TRUE,,1,1,1
AGAP004852__SITE02,2L,23,23,TRUE,,1,1,1
AGAP004852__SITE03,2L,23,23,TRUE,,1,1,1
AGAP004852__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004852__SITE05,2L,23,23,TRUE,,1,1,1
AGAP012424__SITE01,3L,23,23,TRUE,,1,1,1
AGAP012424__SITE02,3L,23,23,TRUE,,1,1,1
AGAP012424__SITE03,3L,23,23,TRUE,,1,1,1
AGAP012424__SITE04,3L,23,23,TRUE,,1,1,1
AGAP012424__SITE05,3L,23,23,TRUE,,1,1,1
AGAP007775__SITE01,3R,23,23,TRUE,,1,1,1
AGAP007775__SITE02,3R,23,23,TRUE,,1,1,1
AGAP007775__SITE03,3R,23,23,TRUE,,1,1,1
AGAP007775__SITE04,3R,23,23,TRUE,,1,1,1
AGAP007775__SITE05,3R,23,23,TRUE,,1,1,1
AGAP010722__SITE01,3L,23,23,TRUE,,1,1,1
AGAP010722__SITE02,3L,23,23,TRUE,,1,1,1
AGAP010722__SITE03,3L,23,23,TRUE,,1,1,1
AGAP010722__SITE04,3L,23,23,TRUE,,1,1,1
AGAP010722__SITE05,3L,23,23,TRUE,,1,1,1
AGAP009792__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009792__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009792__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009792__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009792__SITE05,3R,23,23,TRUE,,1,1,1
AGAP000999__SITE01,X,23,23,TRUE,,1,1,1
AGAP000999__SITE02,X,23,23,TRUE,,1,1,1
AGAP000999__SITE03,X,23,23,TRUE,,0.434782608695652,1,0.35
AGAP000999__SITE04,X,23,23,TRUE,,0,0,0
AGAP000999__SITE05,X,23,23,TRUE,,0,0,0
AGAP007217__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007217__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007217__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007217__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007217__SITE05,2L,23,23,TRUE,,1,1,1
AGAP009091__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009091__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009091__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009091__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009091__SITE05,3R,23,23,TRUE,,1,1,1
AGAP006989__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006989__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006989__SITE03,2L,23,23,TRUE,,1,1,1
AGAP006989__SITE04,2L,23,23,TRUE,,1,1,1
AGAP006989__SITE05,2L,23,23,TRUE,,1,1,1
AGAP005062__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005062__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005062__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005062__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005062__SITE05,2L,23,23,TRUE,,1,1,1
AGAP008118__SITE01,3R,23,23,TRUE,,1,1,1
AGAP008118__SITE02,3R,23,23,TRUE,,1,1,1
AGAP008118__SITE03,3R,23,23,TRUE,,1,1,1
AGAP008118__SITE04,3R,23,23,TRUE,,1,1,1
AGAP008118__SITE05,3R,23,23,TRUE,,1,1,1
AGAP000099__SITE01,X,23,23,TRUE,,1,1,1
AGAP000099__SITE02,X,23,23,TRUE,,1,1,1
AGAP000099__SITE03,X,23,23,TRUE,,1,1,1
AGAP000099__SITE04,X,23,23,TRUE,,1,1,1
AGAP000099__SITE05,X,23,23,TRUE,,1,1,1
AGAP004239__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004239__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004239__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004239__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004239__SITE05,2R,23,23,TRUE,,1,1,1
AGAP006935__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006935__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006935__SITE03,2L,23,23,TRUE,,0,0,0
AGAP006935__SITE04,2L,23,23,TRUE,,0,0,0
AGAP006935__SITE05,2L,23,23,TRUE,,0,0,0
AGAP007365__SITE01,2L,23,23,TRUE,,0,0,0
AGAP007365__SITE02,2L,23,23,TRUE,,0,0,0
AGAP007365__SITE03,2L,23,23,TRUE,,0,0,0
AGAP007365__SITE04,2L,23,23,TRUE,,0,0,0
AGAP007365__SITE05,2L,23,23,TRUE,,0,0,0
AGAP007122__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007122__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007122__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007122__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007122__SITE05,2L,23,23,TRUE,,1,1,1
AGAP011938__SITE01,3L,23,23,TRUE,,1,1,1
AGAP011938__SITE02,3L,23,23,TRUE,,1,1,1
AGAP011938__SITE03,3L,23,23,TRUE,,1,1,1
AGAP011938__SITE04,3L,23,23,TRUE,,1,1,1
AGAP011938__SITE05,3L,23,23,TRUE,,1,1,1
AGAP007333__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007333__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007333__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007333__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007333__SITE05,2L,23,23,TRUE,,1,1,1
AGAP007063__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007063__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007063__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007063__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007063__SITE05,2L,23,23,TRUE,,1,1,1
AGAP007896__SITE01,3R,23,23,TRUE,,1,1,1
AGAP007896__SITE02,3R,23,23,TRUE,,1,1,1
AGAP007896__SITE03,3R,23,23,TRUE,,1,1,1
AGAP007896__SITE04,3R,23,23,TRUE,,1,1,1
AGAP007896__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005406__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005406__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005406__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005406__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005406__SITE05,2L,23,23,TRUE,,1,1,1
AGAP005959__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005959__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005959__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005959__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005959__SITE05,2L,23,23,TRUE,,1,1,1
AGAP011849__SITE01,3L,23,23,TRUE,,1,1,1
AGAP011849__SITE02,3L,23,23,TRUE,,1,1,1
AGAP011849__SITE03,3L,23,23,TRUE,,1,1,1
AGAP011849__SITE04,3L,23,23,TRUE,,1,1,1
AGAP011849__SITE05,3L,23,23,TRUE,,1,1,1
AGAP005874__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005874__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005874__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005874__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005874__SITE05,2L,23,23,TRUE,,1,1,1
AGAP010380__SITE01,3L,23,23,TRUE,,1,1,1
AGAP010380__SITE02,3L,23,23,TRUE,,1,1,1
AGAP010380__SITE03,3L,23,23,TRUE,,1,1,1
AGAP010380__SITE04,3L,23,23,TRUE,,1,1,1
AGAP010380__SITE05,3L,23,23,TRUE,,1,1,1
AGAP004467__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004467__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004467__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004467__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004467__SITE05,2R,23,23,TRUE,,1,1,1
AGAP004685__SITE01,2L,23,23,TRUE,,0.347826086956522,0.333333333333333,0.35
AGAP004685__SITE02,2L,23,23,TRUE,,0.347826086956522,0,0.4
AGAP004685__SITE03,2L,23,23,TRUE,,0.608695652173913,0.333333333333333,0.65
AGAP004685__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004685__SITE05,2L,23,23,TRUE,,1,1,1
AGAP004502__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004502__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004502__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004502__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004502__SITE05,2R,23,23,TRUE,,1,1,1
AGAP004699__SITE01,2L,23,23,TRUE,,1,1,1
AGAP004699__SITE02,2L,23,23,TRUE,,1,1,1
AGAP004699__SITE03,2L,23,23,TRUE,,1,1,1
AGAP004699__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004699__SITE05,2L,23,23,TRUE,,1,1,1
AGAP002171__SITE01,2R,23,23,TRUE,,1,1,1
AGAP002171__SITE02,2R,23,23,TRUE,,1,1,1
AGAP002171__SITE03,2R,23,23,TRUE,,1,1,1
AGAP002171__SITE04,2R,23,23,TRUE,,1,1,1
AGAP002171__SITE05,2R,23,23,TRUE,,1,1,1
AGAP009515__SITE01,3R,23,23,TRUE,,0.0869565217391304,0.666666666666667,0
AGAP009515__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009515__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009515__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009515__SITE05,3R,23,23,TRUE,,1,1,1
AGAP029982__SITE01,3R,23,23,TRUE,,1,1,1
AGAP029982__SITE02,3R,23,23,TRUE,,1,1,1
AGAP029982__SITE03,3R,23,23,TRUE,,1,1,1
AGAP029982__SITE04,3R,23,23,TRUE,,0,0,0
AGAP029982__SITE05,3R,23,23,TRUE,,0,0,0
AGAP009232__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009232__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009232__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009232__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009232__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005958__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005958__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005958__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005958__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005958__SITE05,2L,23,23,TRUE,,1,1,1
AGAP006241__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006241__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006241__SITE03,2L,23,23,TRUE,,1,1,1
AGAP006241__SITE04,2L,23,23,TRUE,,1,1,1
AGAP006241__SITE05,2L,23,23,TRUE,,1,1,1
AGAP009782__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009782__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009782__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009782__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009782__SITE05,3R,23,23,TRUE,,1,1,1
AGAP002475__SITE01,2R,23,23,TRUE,,1,1,1
AGAP002475__SITE02,2R,23,23,TRUE,,1,1,1
AGAP002475__SITE03,2R,23,23,TRUE,,1,1,1
AGAP002475__SITE04,2R,23,23,TRUE,,1,1,1
AGAP002475__SITE05,2R,23,23,TRUE,,1,1,1
AGAP001526__SITE01,2R,23,23,TRUE,,1,1,1
AGAP001526__SITE02,2R,23,23,TRUE,,1,1,1
AGAP001526__SITE03,2R,23,23,TRUE,,1,1,1
AGAP001526__SITE04,2R,23,23,TRUE,,1,1,1
AGAP001526__SITE05,2R,23,23,TRUE,,1,1,1
AGAP008381__SITE01,3R,23,23,TRUE,,1,1,1
AGAP008381__SITE02,3R,23,23,TRUE,,1,1,1
AGAP008381__SITE03,3R,23,23,TRUE,,1,1,1
AGAP008381__SITE04,3R,23,23,TRUE,,1,1,1
AGAP008381__SITE05,3R,23,23,TRUE,,1,1,1
AGAP000399__SITE01,X,23,23,TRUE,,1,1,1
AGAP000399__SITE02,X,23,23,TRUE,,1,1,1
AGAP000399__SITE03,X,23,23,TRUE,,1,1,1
AGAP000399__SITE04,X,23,23,TRUE,,1,1,1
AGAP000399__SITE05,X,23,23,TRUE,,1,1,1
AGAP010197__SITE01,3R,23,23,TRUE,,1,1,1
AGAP010197__SITE02,3R,23,23,TRUE,,1,1,1
AGAP010197__SITE03,3R,23,23,TRUE,,1,1,1
AGAP010197__SITE04,3R,23,23,TRUE,,1,1,1
AGAP010197__SITE05,3R,23,23,TRUE,,1,1,1
AGAP007855__SITE01,3R,23,23,TRUE,,1,1,1
AGAP007855__SITE02,3R,23,23,TRUE,,1,1,1
AGAP007855__SITE03,3R,23,23,TRUE,,1,1,1
AGAP007855__SITE04,3R,23,23,TRUE,,1,1,1
AGAP007855__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005130__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005130__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005130__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005130__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005130__SITE05,2L,23,23,TRUE,,1,1,1
AGAP004962__SITE01,2L,23,23,TRUE,,1,1,1
AGAP004962__SITE02,2L,23,23,TRUE,,0,0,0
AGAP004962__SITE03,2L,23,23,TRUE,,0,0,0
AGAP004962__SITE04,2L,23,23,TRUE,,0,0,0
AGAP004962__SITE05,2L,23,23,TRUE,,0,0,0
AGAP003594__SITE01,2R,23,23,TRUE,,1,1,1
AGAP003594__SITE02,2R,23,23,TRUE,,1,1,1
AGAP003594__SITE03,2R,23,23,TRUE,,1,1,1
AGAP003594__SITE04,2R,23,23,TRUE,,1,1,1
AGAP003594__SITE05,2R,23,23,TRUE,,1,1,1
AGAP004729__SITE01,2L,23,23,TRUE,,1,1,1
AGAP004729__SITE02,2L,23,23,TRUE,,1,1,1
AGAP004729__SITE03,2L,23,23,TRUE,,1,1,1
AGAP004729__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004729__SITE05,2L,23,23,TRUE,,1,1,1
AGAP007570__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007570__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007570__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007570__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007570__SITE05,2L,23,23,TRUE,,1,1,1
AGAP000627__SITE01,X,23,23,TRUE,,1,1,1
AGAP000627__SITE02,X,23,23,TRUE,,1,1,1
AGAP000627__SITE03,X,23,23,TRUE,,1,1,1
AGAP000627__SITE04,X,23,23,TRUE,,1,1,1
AGAP000627__SITE05,X,23,23,TRUE,,1,1,1
AGAP009936__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009936__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009936__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009936__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009936__SITE05,3R,23,23,TRUE,,1,1,1
AGAP007938__SITE01,3R,23,23,TRUE,,1,1,1
AGAP007938__SITE02,3R,23,23,TRUE,,1,1,1
AGAP007938__SITE03,3R,23,23,TRUE,,1,1,1
AGAP007938__SITE04,3R,23,23,TRUE,,1,1,1
AGAP007938__SITE05,3R,23,23,TRUE,,1,1,1
AGAP004521__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004521__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004521__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004521__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004521__SITE05,2R,23,23,TRUE,,1,1,1
AGAP007729__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007729__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007729__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007729__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007729__SITE05,2L,23,23,TRUE,,1,1,1
AGAP012142__SITE01,3L,23,23,TRUE,,1,1,1
AGAP012142__SITE02,3L,23,23,TRUE,,1,1,1
AGAP012142__SITE03,3L,23,23,TRUE,,1,1,1
AGAP012142__SITE04,3L,23,23,TRUE,,1,1,1
AGAP012142__SITE05,3L,23,23,TRUE,,1,1,1
AGAP006233__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006233__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006233__SITE03,2L,23,23,TRUE,,1,1,1
AGAP006233__SITE04,2L,23,23,TRUE,,1,1,1
AGAP006233__SITE05,2L,23,23,TRUE,,1,1,1
AGAP004057__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004057__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004057__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004057__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004057__SITE05,2R,23,23,TRUE,,1,1,1
