population_id,gene_id,portfolio_size,portfolio_site_ids,at_least_one_intact_fraction,all_targets_intact_fraction,n_haplotypes_total,n_haplotypes_callable_atleast1,n_haplotypes_callable_all,n_samples,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
GAgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,1,0.41304347826087,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.981818181818182,0.709090909090909,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,1,0.75,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.975,0.525,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.973214285714286,0.633928571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.987179487179487,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.993333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.951086956521739,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.968013468013468,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.729166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.86231884057971,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.936363636363636,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.916666666666667,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.9625,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE05,1,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,0.993333333333333,0.993333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,0.994565217391304,0.994565217391304,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,0.988215488215488,0.986531986531987,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,1,1,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE03,0.991071428571429,0.991071428571429,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.706666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.543478260869565,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,0.998316498316498,0.587542087542088,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.732394366197183,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.291666666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.550724637681159,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.727272727272727,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.75,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.5375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE04,1,0.683035714285714,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,1,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,0.993333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,0.972826086956522,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,0.981481481481481,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,1,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,1,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,1,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,0.972727272727273,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,0.916666666666667,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,1,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE02;AGAP007999__SITE05,1,0.991071428571429,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.706666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.543478260869565,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,0.998316498316498,0.589225589225589,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.732394366197183,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.291666666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.550724637681159,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.727272727272727,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.75,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.5375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE04,1,0.683035714285714,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,1,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,0.993333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,0.972826086956522,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,0.983164983164983,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,1,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,1,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,1,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,0.972727272727273,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,0.916666666666667,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,1,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE03;AGAP007999__SITE05,1,0.991071428571429,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.713333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,0.989130434782609,0.53804347826087,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,0.994949494949495,0.599326599326599,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.732394366197183,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.291666666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.550724637681159,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,0.990909090909091,0.709090909090909,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,0.958333333333333,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.5375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE04;AGAP007999__SITE05,1,0.691964285714286,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.987179487179487,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.986666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.967391304347826,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.95959595959596,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.729166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.86231884057971,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,1,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.9625,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,0.90625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.706666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.527173913043478,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.569023569023569,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.725352112676056,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.0208333333333333,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.41304347826087,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.709090909090909,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.75,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.525,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE04,1,0.625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.987179487179487,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.986666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.945652173913043,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.954545454545455,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.729166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.86231884057971,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.936363636363636,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.916666666666667,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.9625,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE05,1,0.90625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.706666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.527173913043478,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.570707070707071,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.725352112676056,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.0208333333333333,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.41304347826087,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.709090909090909,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.75,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.525,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE04,1,0.625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.987179487179487,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.986666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.945652173913043,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.956228956228956,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.729166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.86231884057971,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.936363636363636,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.916666666666667,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.9625,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE03;AGAP007999__SITE05,1,0.90625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.713333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.521739130434783,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.580808080808081,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.725352112676056,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.0208333333333333,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.41304347826087,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.690909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.525,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE04;AGAP007999__SITE05,1,0.633928571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,3,AGAP007999__SITE02;AGAP007999__SITE03;AGAP007999__SITE04,1,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,3,AGAP007999__SITE02;AGAP007999__SITE03;AGAP007999__SITE04,1,0.706666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,3,AGAP007999__SITE02;AGAP007999__SITE03;AGAP007999__SITE04,1,0.543478260869565,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,3,AGAP007999__SITE02;AGAP007999__SITE03;AGAP007999__SITE04,0.998316498316498,0.587542087542088,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,3,AGAP007999__SITE02;AGAP007999__SITE03;AGAP007999__SITE04,1,0.732394366197183,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,3,AGAP007999__SITE02;AGAP007999__SITE03;AGAP007999__SITE04,1,0.291666666666667,48,48,48,24,TRUE,TRUE,FALSE
