gene_id,min_population_n,gene_score_sensitivity,class_sensitivity,population_filtered_rank_sensitivity
AGAP001108,10,0.999652020979757,HIGHLY_ROBUST,75
AGAP010453,10,0.997198707168383,HIGHLY_ROBUST,76
AGAP006098,10,0.983769037511717,HIGHLY_ROBUST,77
AGAP006766,10,0.995073245959643,HIGHLY_ROBUST,78
AGAP007965,10,0.978997322075071,HIGHLY_ROBUST,79
AGAP007031,10,0.993914625243349,HIGHLY_ROBUST,80
AGAP004050,10,1,HIGHLY_ROBUST,81
AGAP028779,10,0.999416203314835,HIGHLY_ROBUST,82
AGAP004036,10,0.961961242892679,MULTIPLEX_RESCUABLE,83
AGAP011204,10,0.883824907038308,MULTIPLEX_RESCUABLE,84
AGAP003769,10,0.970842386282871,MULTIPLEX_RESCUABLE,85
AGAP006939,10,0.978355591993449,MULTIPLEX_RESCUABLE,86
AGAP009338,10,0.888205795754466,MULTIPLEX_RESCUABLE,87
AGAP004078,10,0.976409233760774,MULTIPLEX_RESCUABLE,88
AGAP007775,10,0.945073859391024,MULTIPLEX_RESCUABLE,89
AGAP000999,10,0.969992282406751,MULTIPLEX_RESCUABLE,90
AGAP004239,10,0.974940597493303,MULTIPLEX_RESCUABLE,91
AGAP007063,10,0.980444590428141,MULTIPLEX_RESCUABLE,92
AGAP007896,10,0.932322620528311,MULTIPLEX_RESCUABLE,93
AGAP005406,10,0.927511160267217,MULTIPLEX_RESCUABLE,94
AGAP004467,10,0.970786116350482,MULTIPLEX_RESCUABLE,95
AGAP008381,10,0.861664173383623,MULTIPLEX_RESCUABLE,96
AGAP007570,10,0.958874086877666,MULTIPLEX_RESCUABLE,97
AGAP006233,10,0.98235232172471,MULTIPLEX_RESCUABLE,98
AGAP004057,10,0.974015819582213,MULTIPLEX_RESCUABLE,99
AGAP011377,10,0.963236851457,MULTIPLEX_RESCUABLE,100
AGAP004962,10,0.997692220714609,INTERMEDIATE,101
AGAP006935,10,0.393159564421997,CONCERN,102
AGAP007365,10,,UNRESOLVED,103
AGAP012461,10,,UNRESOLVED,104
AGAP012499,10,,UNRESOLVED,105
AGAP012519,10,,UNRESOLVED,106
AGAP007999,20,0.99690381385072,HIGHLY_ROBUST,1
AGAP005917,20,0.999316381057675,HIGHLY_ROBUST,2
AGAP011966,20,0.996064876880479,HIGHLY_ROBUST,3
AGAP004825,20,0.993985052416489,HIGHLY_ROBUST,4
AGAP003595,20,0.994825329067653,HIGHLY_ROBUST,5
AGAP007413,20,0.994835593963413,HIGHLY_ROBUST,6
AGAP009600,20,0.99683425310044,HIGHLY_ROBUST,7
AGAP005763,20,0.993642496224236,HIGHLY_ROBUST,8
AGAP009921,20,0.998470938333694,HIGHLY_ROBUST,9
AGAP002300,20,0.997461009114227,HIGHLY_ROBUST,10
AGAP004038,20,0.994532671215454,HIGHLY_ROBUST,11
AGAP002004,20,0.997112238485814,HIGHLY_ROBUST,12
AGAP009488,20,0.998680310204212,HIGHLY_ROBUST,13
AGAP005127,20,0.996812342295898,HIGHLY_ROBUST,14
AGAP010711,20,0.994932987307054,HIGHLY_ROBUST,15
AGAP005321,20,0.993156767720752,HIGHLY_ROBUST,16
AGAP001099,20,1,HIGHLY_ROBUST,17
AGAP004957,20,0.996757063640133,HIGHLY_ROBUST,18
AGAP010175,20,0.997536383976855,HIGHLY_ROBUST,19
AGAP007280,20,0.996966072961365,HIGHLY_ROBUST,20
AGAP001135,20,0.997467157272534,HIGHLY_ROBUST,21
AGAP009048,20,0.993641708126037,HIGHLY_ROBUST,22
AGAP010313,20,0.999408973650267,HIGHLY_ROBUST,23
AGAP001015,20,0.999191610558158,HIGHLY_ROBUST,24
AGAP010219,20,0.999658190528837,HIGHLY_ROBUST,25
AGAP008191,20,0.994689604933908,HIGHLY_ROBUST,26
AGAP005871,20,0.998867798687721,HIGHLY_ROBUST,27
AGAP008015,20,0.997097674203388,HIGHLY_ROBUST,28
AGAP004852,20,1,HIGHLY_ROBUST,29
AGAP012424,20,1,HIGHLY_ROBUST,30
AGAP010722,20,0.996635324735021,HIGHLY_ROBUST,31
AGAP009792,20,0.994590428493603,HIGHLY_ROBUST,32
AGAP007217,20,0.995243827688035,HIGHLY_ROBUST,33
AGAP009091,20,0.994351197010699,HIGHLY_ROBUST,34
AGAP006989,20,0.996010923507463,HIGHLY_ROBUST,35
AGAP005062,20,1,HIGHLY_ROBUST,36
AGAP008118,20,0.998046947425141,HIGHLY_ROBUST,37
AGAP000099,20,0.998015324124012,HIGHLY_ROBUST,38
AGAP007122,20,0.998252854273235,HIGHLY_ROBUST,39
AGAP011938,20,0.997899234605741,HIGHLY_ROBUST,40
AGAP007333,20,0.996514064721038,HIGHLY_ROBUST,41
AGAP005959,20,0.996921155743541,HIGHLY_ROBUST,42
AGAP011849,20,0.996193623230004,HIGHLY_ROBUST,43
AGAP005874,20,0.999125196030716,HIGHLY_ROBUST,44
AGAP010380,20,1,HIGHLY_ROBUST,45
AGAP004685,20,1,HIGHLY_ROBUST,46
AGAP004502,20,1,HIGHLY_ROBUST,47
AGAP004699,20,1,HIGHLY_ROBUST,48
AGAP002171,20,0.989811976057214,HIGHLY_ROBUST,49
AGAP009515,20,1,HIGHLY_ROBUST,50
AGAP029982,20,0.996805850460002,HIGHLY_ROBUST,51
AGAP009232,20,0.992155292106318,HIGHLY_ROBUST,52
AGAP005958,20,0.994980672143939,HIGHLY_ROBUST,53
AGAP006241,20,0.994278409196255,HIGHLY_ROBUST,54
AGAP009782,20,0.996867490725592,HIGHLY_ROBUST,55
AGAP002475,20,0.99465849598163,HIGHLY_ROBUST,56
AGAP001526,20,0.990784478498209,HIGHLY_ROBUST,57
AGAP000399,20,0.9979393784153,HIGHLY_ROBUST,58
AGAP010197,20,0.999316381057675,HIGHLY_ROBUST,59
AGAP007855,20,0.997253320862618,HIGHLY_ROBUST,60
AGAP005130,20,0.998762677353971,HIGHLY_ROBUST,61
AGAP003594,20,0.995298004027482,HIGHLY_ROBUST,62
AGAP004729,20,1,HIGHLY_ROBUST,63
AGAP000627,20,0.999267343787123,HIGHLY_ROBUST,64
AGAP009936,20,0.997228991564436,HIGHLY_ROBUST,65
AGAP007938,20,0.995425148069178,HIGHLY_ROBUST,66
AGAP004521,20,0.986713798827128,HIGHLY_ROBUST,67
AGAP007729,20,1,HIGHLY_ROBUST,68
AGAP012142,20,0.999658190528837,HIGHLY_ROBUST,69
AGAP012991,20,0.997610238312082,HIGHLY_ROBUST,70
AGAP004739,20,1,HIGHLY_ROBUST,71
AGAP008578,20,0.997341141514649,HIGHLY_ROBUST,72
AGAP010220,20,0.994932987307054,HIGHLY_ROBUST,73
AGAP005920,20,0.997552720524362,HIGHLY_ROBUST,74
AGAP001108,20,0.999628872831609,HIGHLY_ROBUST,75
AGAP010453,20,0.997130045196552,HIGHLY_ROBUST,76
AGAP006098,20,0.983352351435112,HIGHLY_ROBUST,77
AGAP006766,20,0.99501986863045,HIGHLY_ROBUST,78
AGAP007965,20,0.978191805643146,HIGHLY_ROBUST,79
AGAP007031,20,0.993763810025957,HIGHLY_ROBUST,80
AGAP004050,20,1,HIGHLY_ROBUST,81
AGAP028779,20,0.999370327893959,HIGHLY_ROBUST,82
AGAP004036,20,0.978178828296406,MULTIPLEX_RESCUABLE,83
AGAP011204,20,0.88473518136543,MULTIPLEX_RESCUABLE,84
AGAP003769,20,0.969308011282871,MULTIPLEX_RESCUABLE,85
AGAP006939,20,0.977194586558666,MULTIPLEX_RESCUABLE,86
AGAP009338,20,0.881734920615112,MULTIPLEX_RESCUABLE,87
AGAP004078,20,0.974578599957957,MULTIPLEX_RESCUABLE,88
AGAP007775,20,0.941630870088659,MULTIPLEX_RESCUABLE,89
AGAP000999,20,0.96433235835808,MULTIPLEX_RESCUABLE,90
AGAP004239,20,0.972775934031764,MULTIPLEX_RESCUABLE,91
AGAP007063,20,0.979353745357719,MULTIPLEX_RESCUABLE,92
AGAP007896,20,0.942432594001396,MULTIPLEX_RESCUABLE,93
AGAP005406,20,0.9230771828115,MULTIPLEX_RESCUABLE,94
AGAP004467,20,0.96913186955561,MULTIPLEX_RESCUABLE,95
AGAP008381,20,0.862297865212628,MULTIPLEX_RESCUABLE,96
AGAP007570,20,0.956349310949369,MULTIPLEX_RESCUABLE,97
AGAP006233,20,0.981218988391377,MULTIPLEX_RESCUABLE,98
AGAP004057,20,0.972413723308921,MULTIPLEX_RESCUABLE,99
AGAP011377,20,0.961333949671286,MULTIPLEX_RESCUABLE,100
AGAP004962,20,0.997464947987336,INTERMEDIATE,101
AGAP006935,20,0.393159097476326,CONCERN,102
AGAP007365,20,,UNRESOLVED,103
AGAP012461,20,,UNRESOLVED,104
AGAP012499,20,,UNRESOLVED,105
AGAP012519,20,,UNRESOLVED,106
AGAP007999,30,0.996864544670826,HIGHLY_ROBUST,1
AGAP005917,30,0.999270084761378,HIGHLY_ROBUST,2
AGAP011966,30,0.996064058428098,HIGHLY_ROBUST,3
AGAP004825,30,0.993953802416489,HIGHLY_ROBUST,4
AGAP003595,30,0.995735709071104,HIGHLY_ROBUST,5
AGAP007413,30,0.994809778746021,HIGHLY_ROBUST,6
AGAP009600,30,0.996701734984498,HIGHLY_ROBUST,7
AGAP005763,30,0.993325227555405,HIGHLY_ROBUST,8
AGAP009921,30,0.998453999927897,HIGHLY_ROBUST,9
AGAP002300,30,0.997377275139868,HIGHLY_ROBUST,10
AGAP004038,30,0.994373769084721,HIGHLY_ROBUST,11
AGAP002004,30,0.997077543221839,HIGHLY_ROBUST,12
AGAP009488,30,0.998603820671201,HIGHLY_ROBUST,13
AGAP005127,30,0.99672583994848,HIGHLY_ROBUST,14
AGAP010711,30,0.994492282178849,HIGHLY_ROBUST,15
AGAP005321,30,0.99314444377709,HIGHLY_ROBUST,16
AGAP001099,30,1,HIGHLY_ROBUST,17
AGAP006939,30,0.990307261248107,HIGHLY_ROBUST,18
AGAP004957,30,0.996745605306799,HIGHLY_ROBUST,19
AGAP010175,30,0.997509695312259,HIGHLY_ROBUST,20
AGAP007280,30,0.996939247431822,HIGHLY_ROBUST,21
AGAP001135,30,0.997348223561573,HIGHLY_ROBUST,22
AGAP009048,30,0.993573954502848,HIGHLY_ROBUST,23
AGAP010313,30,0.999362677353971,HIGHLY_ROBUST,24
AGAP001015,30,0.999191610558158,HIGHLY_ROBUST,25
AGAP010219,30,0.999635042380689,HIGHLY_ROBUST,26
AGAP008191,30,0.994572830793697,HIGHLY_ROBUST,27
AGAP005871,30,0.998768161006561,HIGHLY_ROBUST,28
AGAP008015,30,0.99700518908434,HIGHLY_ROBUST,29
AGAP004852,30,1,HIGHLY_ROBUST,30
AGAP012424,30,1,HIGHLY_ROBUST,31
AGAP010722,30,0.99643505299589,HIGHLY_ROBUST,32
AGAP009792,30,0.99447670063531,HIGHLY_ROBUST,33
AGAP007217,30,0.995129066430271,HIGHLY_ROBUST,34
AGAP009091,30,0.994102761955926,HIGHLY_ROBUST,35
AGAP006989,30,0.995874048507462,HIGHLY_ROBUST,36
AGAP005062,30,1,HIGHLY_ROBUST,37
AGAP008118,30,0.997998907828868,HIGHLY_ROBUST,38
AGAP000099,30,0.998015324124012,HIGHLY_ROBUST,39
AGAP007122,30,0.998247689953986,HIGHLY_ROBUST,40
AGAP011938,30,0.997821729645424,HIGHLY_ROBUST,41
AGAP007333,30,0.996501787935323,HIGHLY_ROBUST,42
AGAP005959,30,0.996833834943742,HIGHLY_ROBUST,43
AGAP011849,30,0.996054200153081,HIGHLY_ROBUST,44
AGAP005874,30,0.999050467769846,HIGHLY_ROBUST,45
AGAP010380,30,1,HIGHLY_ROBUST,46
AGAP004685,30,1,HIGHLY_ROBUST,47
AGAP004502,30,1,HIGHLY_ROBUST,48
AGAP004699,30,1,HIGHLY_ROBUST,49
AGAP002171,30,0.989755510959811,HIGHLY_ROBUST,50
AGAP009515,30,1,HIGHLY_ROBUST,51
AGAP029982,30,0.99677286434889,HIGHLY_ROBUST,52
AGAP009232,30,0.992104925805952,HIGHLY_ROBUST,53
AGAP005958,30,0.994959321212262,HIGHLY_ROBUST,54
AGAP006241,30,0.994111017891907,HIGHLY_ROBUST,55
AGAP009782,30,0.996765046349189,HIGHLY_ROBUST,56
AGAP002475,30,0.9944892652124,HIGHLY_ROBUST,57
AGAP001526,30,0.990642494802557,HIGHLY_ROBUST,58
AGAP000399,30,0.9979393784153,HIGHLY_ROBUST,59
AGAP010197,30,0.999270084761378,HIGHLY_ROBUST,60
AGAP007855,30,0.997030933296481,HIGHLY_ROBUST,61
AGAP005130,30,0.998694158835452,HIGHLY_ROBUST,62
AGAP003594,30,0.995145226249704,HIGHLY_ROBUST,63
AGAP004729,30,1,HIGHLY_ROBUST,64
AGAP000627,30,0.999267343787123,HIGHLY_ROBUST,65
AGAP009936,30,0.997141670764637,HIGHLY_ROBUST,66
AGAP007938,30,0.995358481402511,HIGHLY_ROBUST,67
AGAP004521,30,0.986456543627618,HIGHLY_ROBUST,68
AGAP007729,30,1,HIGHLY_ROBUST,69
AGAP012142,30,0.999635042380689,HIGHLY_ROBUST,70
AGAP012991,30,0.997610238312082,HIGHLY_ROBUST,71
AGAP004739,30,1,HIGHLY_ROBUST,72
AGAP008578,30,0.99732725262576,HIGHLY_ROBUST,73
AGAP010220,30,0.994492282178849,HIGHLY_ROBUST,74
AGAP005920,30,0.99750549830214,HIGHLY_ROBUST,75
AGAP001108,30,0.999605724683461,HIGHLY_ROBUST,76
AGAP010453,30,0.997061383224721,HIGHLY_ROBUST,77
AGAP006098,30,0.982935665358507,HIGHLY_ROBUST,78
AGAP006766,30,0.994966491301258,HIGHLY_ROBUST,79
AGAP007965,30,0.977219622544554,HIGHLY_ROBUST,80
AGAP007031,30,0.993612994808566,HIGHLY_ROBUST,81
AGAP004050,30,1,HIGHLY_ROBUST,82
AGAP028779,30,0.999324452473084,HIGHLY_ROBUST,83
AGAP004036,30,0.976790888337814,MULTIPLEX_RESCUABLE,84
AGAP011204,30,0.887043669720755,MULTIPLEX_RESCUABLE,85
AGAP003769,30,0.977755707879115,MULTIPLEX_RESCUABLE,86
AGAP009338,30,0.874430712142425,MULTIPLEX_RESCUABLE,87
AGAP004078,30,0.972581299488473,MULTIPLEX_RESCUABLE,88
AGAP007775,30,0.937521214119628,MULTIPLEX_RESCUABLE,89
AGAP000999,30,0.96433235835808,MULTIPLEX_RESCUABLE,90
AGAP004239,30,0.970444603903559,MULTIPLEX_RESCUABLE,91
AGAP007063,30,0.978096233620629,MULTIPLEX_RESCUABLE,92
AGAP007896,30,0.938783283054191,MULTIPLEX_RESCUABLE,93
AGAP005406,30,0.918143205355784,MULTIPLEX_RESCUABLE,94
AGAP004467,30,0.967144289427405,MULTIPLEX_RESCUABLE,95
AGAP008381,30,0.853931557041632,MULTIPLEX_RESCUABLE,96
AGAP007570,30,0.953491201687738,MULTIPLEX_RESCUABLE,97
AGAP006233,30,0.979918988391377,MULTIPLEX_RESCUABLE,98
AGAP004057,30,0.970644960368962,MULTIPLEX_RESCUABLE,99
AGAP011377,30,0.959264381218905,MULTIPLEX_RESCUABLE,100
AGAP004962,30,0.997237675260063,INTERMEDIATE,101
AGAP006935,30,0.393693389888943,CONCERN,102
AGAP007365,30,,UNRESOLVED,103
AGAP012461,30,,UNRESOLVED,104
AGAP012499,30,,UNRESOLVED,105
AGAP012519,30,,UNRESOLVED,106
