contig,population_id,population_site_id,n_haplotypes_total,n_haplotypes_called_23bp,callable_fraction_23bp,target_23bp_exact_match_fraction,pam_intact_fraction,protospacer_exact_match_fraction,max_target_variant_alt_af,mean_target_heterozygosity_proxy,n_variable_positions,n_variant_positions_in_panel,n_samples,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
3R,GHcol,AGAP007999__SITE03,110,110,1,1,1,1,0,0,5,5,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP007999__SITE03,24,24,1,1,1,1,0,0,5,5,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP007999__SITE03,80,80,1,1,1,1,0,0,5,5,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP007999__SITE03,224,224,1,0.991071428571429,1,0.991071428571429,0.00892857142857143,0.000769465394853594,5,5,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP007999__SITE04,156,156,1,0.525641025641026,1,0.525641025641026,0.474358974358974,0.0216819598090501,6,6,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP007999__SITE04,150,150,1,0.713333333333333,1,0.713333333333333,0.28,0.0181062801932367,6,6,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP007999__SITE04,184,184,1,0.548913043478261,1,0.548913043478261,0.445652173913043,0.0228872154187557,6,6,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP007999__SITE04,594,594,1,0.599326599326599,1,0.599326599326599,0.382154882154882,0.02355571525532,6,6,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP007999__SITE04,142,142,1,0.732394366197183,1,0.732394366197183,0.267605633802817,0.0176509146735896,6,6,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP007999__SITE04,48,48,1,0.291666666666667,1,0.291666666666667,0.708333333333333,0.0179649758454106,6,6,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP007999__SITE04,138,138,1,0.550724637681159,1,0.550724637681159,0.449275362318841,0.0215153922723578,6,6,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP007999__SITE04,110,110,1,0.727272727272727,1,0.727272727272727,0.263636363636364,0.0176643909450234,6,6,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP007999__SITE04,24,24,1,0.75,1,0.75,0.25,0.016304347826087,6,6,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP007999__SITE04,80,80,1,0.5375,1,0.5375,0.4625,0.021616847826087,6,6,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP007999__SITE04,224,224,1,0.691964285714286,0.995535714285714,0.691964285714286,0.294642857142857,0.0196075033274179,6,6,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP007999__SITE05,156,156,1,1,1,1,0,0,10,10,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP007999__SITE05,150,150,1,1,1,1,0,0,10,10,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP007999__SITE05,184,184,1,0.978260869565217,1,0.978260869565217,0.0108695652173913,0.0023449700008219,10,10,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP007999__SITE05,594,594,1,0.994949494949495,0.998316498316498,0.996632996632997,0.00168350168350168,0.000438435001456521,10,10,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP007999__SITE05,142,142,1,1,1,1,0,0,10,10,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP007999__SITE05,48,48,1,1,1,1,0,0,10,10,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP007999__SITE05,138,138,1,1,1,1,0,0,10,10,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP007999__SITE05,110,110,1,0.972727272727273,0.990909090909091,0.981818181818182,0.00909090909090909,0.0023499820337765,10,10,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP007999__SITE05,24,24,1,0.916666666666667,1,0.916666666666667,0.0416666666666667,0.00694444444444444,10,10,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP007999__SITE05,80,80,1,1,1,1,0,0,10,10,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP007999__SITE05,224,224,1,1,1,1,0,0,10,10,112,TRUE,TRUE,TRUE
2L,AOcol,AGAP005917__SITE01,156,156,1,1,1,1,0,0,4,4,78,TRUE,TRUE,TRUE
2L,BFcol,AGAP005917__SITE01,150,150,1,0.966666666666667,1,0.966666666666667,0.02,0.00285603864734299,4,4,75,TRUE,TRUE,TRUE
2L,BFgam,AGAP005917__SITE01,184,184,1,0.994565217391304,1,0.994565217391304,0.00543478260869565,0.000470021369277554,4,4,92,TRUE,TRUE,TRUE
2L,CMgam,AGAP005917__SITE01,594,594,1,0.994949494949495,1,0.994949494949495,0.00336700336700337,0.000437942100948981,4,4,297,TRUE,TRUE,TRUE
2L,CIcol,AGAP005917__SITE01,142,142,1,1,1,1,0,0,4,4,71,TRUE,TRUE,TRUE
2L,FRgam,AGAP005917__SITE01,48,48,1,1,1,1,0,0,4,4,24,TRUE,TRUE,FALSE
2L,GAgam,AGAP005917__SITE01,138,138,1,1,1,1,0,0,4,4,69,TRUE,TRUE,TRUE
2L,GHcol,AGAP005917__SITE01,110,110,1,1,1,1,0,0,4,4,55,TRUE,TRUE,TRUE
2L,GHgam,AGAP005917__SITE01,24,24,1,1,1,1,0,0,4,4,12,FALSE,TRUE,FALSE
2L,GNgam,AGAP005917__SITE01,80,80,1,0.9875,1,0.9875,0.0125,0.00107336956521739,4,4,40,TRUE,TRUE,TRUE
2L,UGgam,AGAP005917__SITE01,224,224,1,0.995535714285714,1,0.995535714285714,0.00446428571428571,0.000386465727595386,4,4,112,TRUE,TRUE,TRUE
2L,AOcol,AGAP005917__SITE02,156,156,1,1,1,1,0,0,1,1,78,TRUE,TRUE,TRUE
2L,BFcol,AGAP005917__SITE02,150,150,1,1,1,1,0,0,1,1,75,TRUE,TRUE,TRUE
2L,BFgam,AGAP005917__SITE02,184,184,1,1,1,1,0,0,1,1,92,TRUE,TRUE,TRUE
2L,CMgam,AGAP005917__SITE02,594,594,1,0.996632996632997,1,0.996632996632997,0.00336700336700337,0.000291797100463474,1,1,297,TRUE,TRUE,TRUE
2L,CIcol,AGAP005917__SITE02,142,142,1,1,1,1,0,0,1,1,71,TRUE,TRUE,TRUE
2L,FRgam,AGAP005917__SITE02,48,48,1,1,1,1,0,0,1,1,24,TRUE,TRUE,FALSE
2L,GAgam,AGAP005917__SITE02,138,138,1,1,1,1,0,0,1,1,69,TRUE,TRUE,TRUE
2L,GHcol,AGAP005917__SITE02,110,110,1,1,1,1,0,0,1,1,55,TRUE,TRUE,TRUE
2L,GHgam,AGAP005917__SITE02,24,24,1,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
2L,GNgam,AGAP005917__SITE02,80,80,1,1,1,1,0,0,1,1,40,TRUE,TRUE,TRUE
2L,UGgam,AGAP005917__SITE02,224,224,1,1,1,1,0,0,1,1,112,TRUE,TRUE,TRUE
2L,AOcol,AGAP005917__SITE03,156,156,1,0,1,0,1,0,12,12,78,TRUE,TRUE,TRUE
2L,BFcol,AGAP005917__SITE03,150,150,1,0.02,1,0.02,0.98,0.0169661835748792,12,12,75,TRUE,TRUE,TRUE
2L,BFgam,AGAP005917__SITE03,184,184,1,0.0108695652173913,0.994565217391304,0.0108695652173913,0.989130434782609,0.0136023670584368,12,12,92,TRUE,TRUE,TRUE
2L,CMgam,AGAP005917__SITE03,594,594,1,0.00505050505050505,1,0.00505050505050505,0.981481481481481,0.0326509618706954,12,12,297,TRUE,TRUE,TRUE
2L,CIcol,AGAP005917__SITE03,142,142,1,0.112676056338028,1,0.112676056338028,0.887323943661972,0.0200012074898873,12,12,71,TRUE,TRUE,TRUE
2L,FRgam,AGAP005917__SITE03,48,48,1,0,1,0,1,0.016304347826087,12,12,24,TRUE,TRUE,FALSE
2L,GAgam,AGAP005917__SITE03,138,138,1,0,1,0,0.942028985507246,0.033241098417395,12,12,69,TRUE,TRUE,TRUE
2L,GHcol,AGAP005917__SITE03,110,110,1,0.109090909090909,1,0.109090909090909,0.890909090909091,0.0164211282788358,12,12,55,TRUE,TRUE,TRUE
2L,GHgam,AGAP005917__SITE03,24,24,1,0,1,0,1,0.0120772946859903,12,12,12,FALSE,TRUE,FALSE
2L,GNgam,AGAP005917__SITE03,80,80,1,0,1,0,1,0.0295380434782609,12,12,40,TRUE,TRUE,TRUE
2L,UGgam,AGAP005917__SITE03,224,224,1,0,1,0,1,0.0225189940106477,12,12,112,TRUE,TRUE,TRUE
2L,AOcol,AGAP005917__SITE04,156,156,1,0,1,0,1,0,14,14,78,TRUE,TRUE,TRUE
2L,BFcol,AGAP005917__SITE04,150,150,1,0.02,0.986666666666667,0.02,0.98,0.0192618357487923,14,14,75,TRUE,TRUE,TRUE
2L,BFgam,AGAP005917__SITE04,184,184,1,0.0108695652173913,0.983695652173913,0.0108695652173913,0.989130434782609,0.0145269992602942,14,14,92,TRUE,TRUE,TRUE
2L,CMgam,AGAP005917__SITE04,594,594,1,0.00505050505050505,0.984848484848485,0.00505050505050505,0.981481481481481,0.0320984204017435,14,14,297,TRUE,TRUE,TRUE
2L,CIcol,AGAP005917__SITE04,142,142,1,0.112676056338028,0.915492957746479,0.112676056338028,0.887323943661972,0.0267286511475466,14,14,71,TRUE,TRUE,TRUE
2L,FRgam,AGAP005917__SITE04,48,48,1,0,1,0,1,0.016304347826087,14,14,24,TRUE,TRUE,FALSE
2L,GAgam,AGAP005917__SITE04,138,138,1,0,1,0,0.942028985507246,0.033241098417395,14,14,69,TRUE,TRUE,TRUE
2L,GHcol,AGAP005917__SITE04,110,110,1,0.109090909090909,0.963636363636364,0.109090909090909,0.890909090909091,0.0194681997844053,14,14,55,TRUE,TRUE,TRUE
2L,GHgam,AGAP005917__SITE04,24,24,1,0,0.958333333333333,0,1,0.0155495169082126,14,14,12,FALSE,TRUE,FALSE
2L,GNgam,AGAP005917__SITE04,80,80,1,0,0.9875,0,1,0.0306114130434783,14,14,40,TRUE,TRUE,TRUE
2L,UGgam,AGAP005917__SITE04,224,224,1,0,0.982142857142857,0,1,0.0240579248003549,14,14,112,TRUE,TRUE,TRUE
2L,AOcol,AGAP005917__SITE05,156,156,1,1,1,1,0,0,5,5,78,TRUE,TRUE,TRUE
2L,BFcol,AGAP005917__SITE05,150,150,1,0.986666666666667,1,0.986666666666667,0.00666666666666667,0.00115169082125604,5,5,75,TRUE,TRUE,TRUE
2L,BFgam,AGAP005917__SITE05,184,184,1,0.994565217391304,1,0.994565217391304,0.00543478260869565,0.000470021369277554,5,5,92,TRUE,TRUE,TRUE
2L,CMgam,AGAP005917__SITE05,594,594,1,0.961279461279461,1,0.961279461279461,0.0202020202020202,0.00330169404975436,5,5,297,TRUE,TRUE,TRUE
2L,CIcol,AGAP005917__SITE05,142,142,1,1,1,1,0,0,5,5,71,TRUE,TRUE,TRUE
2L,FRgam,AGAP005917__SITE05,48,48,1,1,1,1,0,0,5,5,24,TRUE,TRUE,FALSE
2L,GAgam,AGAP005917__SITE05,138,138,1,1,1,1,0,0,5,5,69,TRUE,TRUE,TRUE
2L,GHcol,AGAP005917__SITE05,110,110,1,1,1,1,0,0,5,5,55,TRUE,TRUE,TRUE
2L,GHgam,AGAP005917__SITE05,24,24,1,1,1,1,0,0,5,5,12,FALSE,TRUE,FALSE
2L,GNgam,AGAP005917__SITE05,80,80,1,0.9875,1,0.9875,0.0125,0.00107336956521739,5,5,40,TRUE,TRUE,TRUE
2L,UGgam,AGAP005917__SITE05,224,224,1,0.995535714285714,1,0.995535714285714,0.00446428571428571,0.000386465727595386,5,5,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP011966__SITE01,156,156,1,0.993589743589744,1,0.993589743589744,0.00641025641025641,0.000553840436783581,7,7,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP011966__SITE01,150,150,1,0.993333333333333,1,0.993333333333333,0.00666666666666667,0.000575845410628019,7,7,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP011966__SITE01,184,184,1,0.956521739130435,0.994565217391304,0.96195652173913,0.016304347826087,0.00372934988082518,7,7,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP011966__SITE01,594,594,1,0.984848484848485,0.998316498316498,0.986531986531987,0.0101010101010101,0.00130741859624893,7,7,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP011966__SITE01,142,142,1,1,1,1,0,0,7,7,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP011966__SITE01,48,48,1,1,1,1,0,0,7,7,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP011966__SITE01,138,138,1,1,1,1,0,0,7,7,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP011966__SITE01,110,110,1,1,1,1,0,0,7,7,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP011966__SITE01,24,24,1,1,1,1,0,0,7,7,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP011966__SITE01,80,80,1,0.975,1,0.975,0.025,0.0021195652173913,7,7,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP011966__SITE01,224,224,1,1,1,1,0,0,7,7,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP011966__SITE02,156,156,1,0.564102564102564,0.993589743589744,0.57051282051282,0.429487179487179,0.0218606180144642,5,5,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP011966__SITE02,150,150,1,0.506666666666667,1,0.506666666666667,0.493333333333333,0.0217352657004831,5,5,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP011966__SITE02,184,184,1,0.380434782608696,0.978260869565217,0.402173913043478,0.597826086956522,0.0227716363935235,5,5,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP011966__SITE02,594,594,1,0.427609427609428,1,0.427609427609428,0.567340067340067,0.0219284042296778,5,5,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP011966__SITE02,142,142,1,0.309859154929577,1,0.309859154929577,0.690140845070423,0.0185953442639918,5,5,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP011966__SITE02,48,48,1,0.458333333333333,1,0.458333333333333,0.541666666666667,0.0215881642512077,5,5,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP011966__SITE02,138,138,1,0.681159420289855,1,0.681159420289855,0.318840579710145,0.0188853273426299,5,5,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP011966__SITE02,110,110,1,0.290909090909091,1,0.290909090909091,0.709090909090909,0.0179374775422206,5,5,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP011966__SITE02,24,24,1,0.666666666666667,1,0.666666666666667,0.333333333333333,0.0193236714975845,5,5,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP011966__SITE02,80,80,1,0.35,1,0.35,0.65,0.0197826086956522,5,5,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP011966__SITE02,224,224,1,0.375,1,0.375,0.602678571428571,0.0227200255102041,5,5,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP011966__SITE03,156,156,1,0.57051282051282,1,0.57051282051282,0.429487179487179,0.0213067775776806,2,2,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP011966__SITE03,150,150,1,0.506666666666667,1,0.506666666666667,0.493333333333333,0.0217352657004831,2,2,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP011966__SITE03,184,184,1,0.402173913043478,1,0.402173913043478,0.597826086956522,0.0209069614531109,2,2,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP011966__SITE03,594,594,1,0.429292929292929,1,0.429292929292929,0.567340067340067,0.0216366071292144,2,2,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP011966__SITE03,142,142,1,0.309859154929577,1,0.309859154929577,0.690140845070423,0.0185953442639918,2,2,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP011966__SITE03,48,48,1,0.458333333333333,1,0.458333333333333,0.541666666666667,0.0215881642512077,2,2,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP011966__SITE03,138,138,1,0.681159420289855,1,0.681159420289855,0.318840579710145,0.0188853273426299,2,2,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP011966__SITE03,110,110,1,0.290909090909091,1,0.290909090909091,0.709090909090909,0.0179374775422206,2,2,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP011966__SITE03,24,24,1,0.666666666666667,1,0.666666666666667,0.333333333333333,0.0193236714975845,2,2,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP011966__SITE03,80,80,1,0.35,1,0.35,0.65,0.0197826086956522,2,2,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP011966__SITE03,224,224,1,0.375,1,0.375,0.602678571428571,0.0227200255102041,2,2,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP011966__SITE04,156,156,1,1,1,1,0,0,9,9,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP011966__SITE04,150,150,1,0.986666666666667,1,0.986666666666667,0.0133333333333333,0.00114396135265701,9,9,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP011966__SITE04,184,184,1,0.989130434782609,1,0.989130434782609,0.00543478260869565,0.000940042738555108,9,9,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP011966__SITE04,594,594,1,0.98989898989899,0.998316498316498,0.991582491582492,0.00673400673400673,0.000873912599867804,9,9,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP011966__SITE04,142,142,1,1,1,1,0,0,9,9,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP011966__SITE04,48,48,1,1,1,1,0,0,9,9,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP011966__SITE04,138,138,1,1,1,1,0,0,9,9,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP011966__SITE04,110,110,1,1,1,1,0,0,9,9,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP011966__SITE04,24,24,1,1,1,1,0,0,9,9,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP011966__SITE04,80,80,1,1,1,1,0,0,9,9,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP011966__SITE04,224,224,1,0.986607142857143,1,0.986607142857143,0.00446428571428571,0.00115939718278616,9,9,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP011966__SITE05,156,156,1,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.942307692307692,0.0339593516851042,11,11,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP011966__SITE05,150,150,1,0.02,0.0933333333333333,0.02,0.98,0.0182454106280193,11,11,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP011966__SITE05,184,184,1,0.0217391304347826,0.0543478260869565,0.0217391304347826,0.978260869565217,0.0205216980356703,11,11,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP011966__SITE05,594,594,1,0.0252525252525253,0.0589225589225589,0.0252525252525253,0.974747474747475,0.0189722334357088,11,11,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP011966__SITE05,142,142,1,0.0211267605633803,0.0492957746478873,0.0211267605633803,0.97887323943662,0.0171592937909145,11,11,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP011966__SITE05,48,48,1,0.458333333333333,0.458333333333333,0.458333333333333,0.541666666666667,0.0585371376811594,11,11,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP011966__SITE05,138,138,1,0.195652173913043,0.195652173913043,0.195652173913043,0.804347826086957,0.0273691131749815,11,11,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP011966__SITE05,110,110,1,0,0.0272727272727273,0,1,0.0088393819619116,11,11,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP011966__SITE05,24,24,1,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.958333333333333,0.022493961352657,11,11,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP011966__SITE05,80,80,1,0.0375,0.05,0.0375,0.9625,0.0159510869565217,11,11,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP011966__SITE05,224,224,1,0.0223214285714286,0.0401785714285714,0.0267857142857143,0.973214285714286,0.014401480700976,11,11,112,TRUE,TRUE,TRUE
2R,AOcol,AGAP004036__SITE01,156,156,1,1,1,1,0,0,6,6,78,TRUE,TRUE,TRUE
2R,BFcol,AGAP004036__SITE01,150,150,1,0.9,1,0.9,0.0533333333333333,0.00825893719806763,6,6,75,TRUE,TRUE,TRUE
2R,BFgam,AGAP004036__SITE01,184,184,1,0.771739130434783,1,0.771739130434783,0.21195652173913,0.0159293580997781,6,6,92,TRUE,TRUE,TRUE
2R,CMgam,AGAP004036__SITE01,594,594,1,0.695286195286195,1,0.695286195286195,0.207070707070707,0.0219673433697735,6,6,297,TRUE,TRUE,TRUE
2R,CIcol,AGAP004036__SITE01,142,142,1,0.816901408450704,1,0.816901408450704,0.133802816901408,0.0142570055975781,6,6,71,TRUE,TRUE,TRUE
2R,FRgam,AGAP004036__SITE01,48,48,1,1,1,1,0,0,6,6,24,TRUE,TRUE,FALSE
2R,GAgam,AGAP004036__SITE01,138,138,1,0.659420289855073,1,0.659420289855073,0.333333333333333,0.0199492251353844,6,6,69,TRUE,TRUE,TRUE
2R,GHcol,AGAP004036__SITE01,110,110,1,0.845454545454546,1,0.845454545454546,0.0909090909090909,0.0124541861300755,6,6,55,TRUE,TRUE,TRUE
2R,GHgam,AGAP004036__SITE01,24,24,1,0.875,1,0.875,0.0833333333333333,0.0101147342995169,6,6,12,FALSE,TRUE,FALSE
2R,GNgam,AGAP004036__SITE01,80,80,1,0.8125,1,0.8125,0.175,0.0136277173913043,6,6,40,TRUE,TRUE,TRUE
2R,UGgam,AGAP004036__SITE01,224,224,1,0.669642857142857,1,0.669642857142857,0.3125,0.0202071317657498,6,6,112,TRUE,TRUE,TRUE
2R,AOcol,AGAP004036__SITE02,156,156,1,0.243589743589744,1,0.243589743589744,0.756410256410256,0.0160220678615327,3,3,78,TRUE,TRUE,TRUE
2R,BFcol,AGAP004036__SITE02,150,150,1,0.613333333333333,1,0.613333333333333,0.386666666666667,0.0206222222222222,3,3,75,TRUE,TRUE,TRUE
2R,BFgam,AGAP004036__SITE02,184,184,1,0.407608695652174,1,0.407608695652174,0.592391304347826,0.0214668776197912,3,3,92,TRUE,TRUE,TRUE
2R,CMgam,AGAP004036__SITE02,594,594,1,0.321548821548822,1,0.321548821548822,0.678451178451178,0.0189700153834248,3,3,297,TRUE,TRUE,TRUE
2R,CIcol,AGAP004036__SITE02,142,142,1,0.309859154929577,1,0.309859154929577,0.690140845070423,0.0185953442639918,3,3,71,TRUE,TRUE,TRUE
2R,FRgam,AGAP004036__SITE02,48,48,1,0.458333333333333,1,0.458333333333333,0.541666666666667,0.0215881642512077,3,3,24,TRUE,TRUE,FALSE
2R,GAgam,AGAP004036__SITE02,138,138,1,0.268115942028986,0.992753623188406,0.268115942028986,0.731884057971015,0.0176890130863995,3,3,69,TRUE,TRUE,TRUE
2R,GHcol,AGAP004036__SITE02,110,110,1,0.309090909090909,1,0.309090909090909,0.690909090909091,0.0185698886094143,3,3,55,TRUE,TRUE,TRUE
2R,GHgam,AGAP004036__SITE02,24,24,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0.0193236714975845,3,3,12,FALSE,TRUE,FALSE
2R,GNgam,AGAP004036__SITE02,80,80,1,0.4375,1,0.4375,0.5625,0.0213994565217391,3,3,40,TRUE,TRUE,TRUE
