population_site_id,gene_id,min_population_n,populations_assessed_sensitivity,population_q10_sensitivity,population_breadth_sensitivity,max_alt_af_sensitivity,site_score_sensitivity,class_sensitivity
AGAP002004__SITE02,AGAP002004,10,11,0.987784679089027,1,0.00641025641025641,0.994812606817798,ROBUST
AGAP002004__SITE03,AGAP002004,10,11,0.968025362318841,1,0.0223214285714286,0.98401726808504,ROBUST
AGAP002004__SITE04,AGAP002004,10,11,0.932222222222222,0.909090909090909,0.0448717948717949,0.953124976184678,ROBUST
AGAP002004__SITE05,AGAP002004,10,11,0.924456521739131,0.727272727272727,0.0869565217391304,0.917570154942397,INTERMEDIATE
AGAP009488__SITE01,AGAP009488,10,11,0.869444444444445,0.636363636363636,0.166666666666667,0.875759864099416,INTERMEDIATE
AGAP009488__SITE02,AGAP009488,10,11,0.995349631581515,1,0.0072463768115942,0.997739635885861,ROBUST
AGAP009488__SITE03,AGAP009488,10,11,0.969076682316119,1,0.0266666666666667,0.987177130778035,ROBUST
AGAP009488__SITE04,AGAP009488,10,11,0.969076682316119,1,0.0266666666666667,0.987177130778035,ROBUST
AGAP009488__SITE05,AGAP009488,10,11,0.95389898989899,1,0.0466666666666667,0.97989017036032,ROBUST
AGAP005127__SITE01,AGAP005127,10,11,0.930666666666667,0.818181818181818,0.0833333333333333,0.937865510111779,INTERMEDIATE
AGAP005127__SITE02,AGAP005127,10,11,0.988574635241302,1,0.0134680134680135,0.993691313753503,ROBUST
AGAP005127__SITE03,AGAP005127,10,11,0.965333333333333,1,0.0416666666666667,0.984448116560057,ROBUST
AGAP005127__SITE04,AGAP005127,10,11,0.94927536231884,0.909090909090909,0.0760869565217391,0.959543930544904,INTERMEDIATE
AGAP005127__SITE05,AGAP005127,10,11,0.989602503912363,1,0.0133333333333333,0.99436153571512,ROBUST
AGAP010711__SITE01,AGAP010711,10,11,0.982905982905983,1,0.0320512820512821,0.991588531700472,ROBUST
AGAP010711__SITE02,AGAP010711,10,11,0.982905982905983,1,0.0320512820512821,0.991588531700472,ROBUST
AGAP010711__SITE03,AGAP010711,10,11,0.975632850241545,1,0.0266666666666667,0.987989946746598,ROBUST
AGAP010711__SITE04,AGAP010711,10,11,0.94498506188647,0.909090909090909,0.0633802816901408,0.962007481342146,INTERMEDIATE
AGAP010711__SITE05,AGAP010711,10,11,0.94498506188647,0.909090909090909,0.0633802816901408,0.9621673960543,INTERMEDIATE
AGAP005321__SITE01,AGAP005321,10,11,0.972249253094324,1,0.028169014084507,0.987580166662572,ROBUST
AGAP005321__SITE02,AGAP005321,10,11,0.804861111111111,0.545454545454545,0.291666666666667,0.833717539197949,INTERMEDIATE
AGAP005321__SITE03,AGAP005321,10,11,0.804861111111111,0.545454545454545,0.291666666666667,0.833717539197949,INTERMEDIATE
AGAP005321__SITE04,AGAP005321,10,11,0.94,0.909090909090909,0.0833333333333333,0.957806422433288,INTERMEDIATE
AGAP005321__SITE05,AGAP005321,10,11,0.94,0.909090909090909,0.0833333333333333,0.957806422433288,INTERMEDIATE
AGAP001099__SITE01,AGAP001099,10,11,0.991285874619208,1,0.0133928571428571,0.995389432407467,ROBUST
AGAP001099__SITE02,AGAP001099,10,11,0.996047779381113,1,0.00446428571428571,0.997952509877261,ROBUST
AGAP001099__SITE03,AGAP001099,10,11,0.996047779381113,1,0.00446428571428571,0.998005814781312,ROBUST
AGAP001099__SITE04,AGAP001099,10,11,1,1,0,1,ROBUST
AGAP001099__SITE05,AGAP001099,10,11,0.50770579029734,0.636363636363636,0.54,0.72677651541694,CONCERN
AGAP006939__SITE01,AGAP006939,10,11,0.790222222222222,0.272727272727273,0.270833333333333,0.782649969847731,CONCERN
AGAP006939__SITE02,AGAP006939,10,11,0.790222222222222,0.363636363636364,0.270833333333333,0.803375885722901,INTERMEDIATE
AGAP006939__SITE03,AGAP006939,10,11,0.939975845410628,0.909090909090909,0.0597826086956522,0.95842304686805,INTERMEDIATE
AGAP006939__SITE04,AGAP006939,10,11,0.951449275362319,0.909090909090909,0.0625,0.96064653089718,INTERMEDIATE
AGAP006939__SITE05,AGAP006939,10,11,0.752275362318841,0.272727272727273,0.24,0.764626119122063,INTERMEDIATE
AGAP004957__SITE01,AGAP004957,10,11,0.53659420289855,0,0.347826086956522,0.58454717870276,CONCERN
AGAP004957__SITE02,AGAP004957,10,11,0.965939393939394,1,0.0272727272727273,0.986891904115785,ROBUST
AGAP004957__SITE03,AGAP004957,10,11,0.965939393939394,1,0.0272727272727273,0.986891904115785,ROBUST
AGAP004957__SITE04,AGAP004957,10,11,0.836231884057971,0.818181818181818,0.25,0.897083751204452,INTERMEDIATE
AGAP004957__SITE05,AGAP004957,10,11,0.971555555555556,1,0.0416666666666667,0.987416252072969,ROBUST
AGAP010175__SITE01,AGAP010175,10,11,0.903550724637681,0.454545454545455,0.0875,0.864050842624821,INTERMEDIATE
AGAP010175__SITE02,AGAP010175,10,11,0.949227486128895,0.909090909090909,0.0633802816901408,0.964720539428339,INTERMEDIATE
AGAP010175__SITE03,AGAP010175,10,11,0.949227486128895,0.909090909090909,0.0633802816901408,0.964720539428339,INTERMEDIATE
AGAP010175__SITE04,AGAP010175,10,11,0.990036231884058,1,0.0108695652173913,0.995569222984457,ROBUST
AGAP010175__SITE05,AGAP010175,10,11,0.934747474747475,0.727272727272727,0.0666666666666667,0.927342454394693,INTERMEDIATE
AGAP007280__SITE01,AGAP007280,10,11,0.190277777777778,0,0.6875,0.34678319710969,CONCERN
AGAP007280__SITE02,AGAP007280,10,11,0.794768194768195,0.727272727272727,0.314102564102564,0.852172274933469,INTERMEDIATE
AGAP007280__SITE03,AGAP007280,10,11,0.72989898989899,0.181818181818182,0.166666666666667,0.73612451810213,INTERMEDIATE
AGAP007280__SITE04,AGAP007280,10,11,0.72989898989899,0.181818181818182,0.166666666666667,0.730847332601064,CONCERN
AGAP007280__SITE05,AGAP007280,10,11,0.988089929394277,1,0.00704225352112676,0.994532542710742,ROBUST
AGAP001135__SITE01,AGAP001135,10,11,0.98995203102674,1,0.00704225352112676,0.995611074515447,ROBUST
AGAP001135__SITE02,AGAP001135,10,11,0.679505759940543,0.181818181818182,0.326086956521739,0.69273876584876,CONCERN
AGAP001135__SITE03,AGAP001135,10,11,0.933387010198604,0.909090909090909,0.108695652173913,0.952630802373934,INTERMEDIATE
AGAP001135__SITE04,AGAP001135,10,11,0.3975,0,0.8125,0.512794509594882,CONCERN
AGAP001135__SITE05,AGAP001135,10,11,0.795652173913044,0.272727272727273,0.25,0.776202731402277,INTERMEDIATE
AGAP009048__SITE01,AGAP009048,10,11,0.946020202020202,0.818181818181818,0.0363636363636364,0.946454168551183,ROBUST
AGAP009048__SITE02,AGAP009048,10,11,0.964401709401709,1,0.0448717948717949,0.981202800102054,ROBUST
AGAP009048__SITE03,AGAP009048,10,11,0.970555555555556,1,0.0217391304347826,0.986866894821956,ROBUST
AGAP009048__SITE04,AGAP009048,10,11,0.975632850241545,1,0.0217391304347826,0.988562657725863,ROBUST
AGAP009048__SITE05,AGAP009048,10,11,0.857004830917875,0.454545454545455,0.125,0.849304028043483,INTERMEDIATE
AGAP010313__SITE01,AGAP010313,10,11,0.997101449275362,1,0.00543478260869565,0.998545316893792,ROBUST
AGAP010313__SITE02,AGAP010313,10,11,0.997619047619047,1,0.00446428571428571,0.998771766169154,ROBUST
AGAP010313__SITE03,AGAP010313,10,11,0.997619047619047,1,0.00446428571428571,0.998771766169154,ROBUST
AGAP010313__SITE04,AGAP010313,10,11,0.998204264870932,1,0.00168350168350168,0.999009581721025,ROBUST
AGAP010313__SITE05,AGAP010313,10,11,0.997101449275362,1,0.00543478260869565,0.998545316893792,ROBUST
AGAP009338__SITE01,AGAP009338,10,11,0.783209560392659,0.181818181818182,0.211267605633803,0.751761789643333,INTERMEDIATE
AGAP009338__SITE02,AGAP009338,10,11,0.817850241545894,0.181818181818182,0.181159420289855,0.773880539660066,INTERMEDIATE
AGAP009338__SITE03,AGAP009338,10,11,0.752149758454106,0.181818181818182,0.181159420289855,0.741996996712279,INTERMEDIATE
AGAP009338__SITE04,AGAP009338,10,11,0,0,1,0.152425373134328,CONCERN
AGAP009338__SITE05,AGAP009338,10,11,0.720549981419546,0.545454545454545,0.371794871794872,0.796737810462664,INTERMEDIATE
AGAP001015__SITE01,AGAP001015,10,11,0.919957264957265,0.909090909090909,0.128205128205128,0.948555858986187,INTERMEDIATE
AGAP001015__SITE02,AGAP001015,10,11,0.989850746268657,1,0.0125,0.99518809640323,ROBUST
AGAP001015__SITE03,AGAP001015,10,11,0.974764794299393,1,0.0352112676056338,0.987593959402107,ROBUST
AGAP001015__SITE04,AGAP001015,10,11,0.827065527065527,0.818181818181818,0.275641025641026,0.886385055442432,INTERMEDIATE
AGAP001015__SITE05,AGAP001015,10,11,0.997619047619047,1,0.00446428571428571,0.998753415300546,ROBUST
AGAP010219__SITE01,AGAP010219,10,11,0.941526374859708,0.818181818181818,0.0625,0.943276776889961,INTERMEDIATE
AGAP010219__SITE02,AGAP010219,10,11,0.95270092226614,1,0.0489130434782609,0.974888403830649,ROBUST
AGAP010219__SITE03,AGAP010219,10,11,0.982332643202209,1,0.0267857142857143,0.991225484894369,ROBUST
AGAP010219__SITE04,AGAP010219,10,11,0.837464788732394,0.727272727272727,0.2,0.88744964358744,INTERMEDIATE
AGAP010219__SITE05,AGAP010219,10,11,0.999102132435466,1,0.00168350168350168,0.999420615776337,ROBUST
AGAP008191__SITE01,AGAP008191,10,11,0.861322463768116,0.363636363636364,0.115942028985507,0.818569714070809,INTERMEDIATE
AGAP008191__SITE02,AGAP008191,10,11,0.982077721661055,1,0.0072463768115942,0.990557052862036,ROBUST
AGAP008191__SITE03,AGAP008191,10,11,0,0,1,0.150533049040512,CONCERN
AGAP008191__SITE04,AGAP008191,10,11,0,0,1,0.150746268656716,CONCERN
AGAP008191__SITE05,AGAP008191,10,11,0,0,1,0.150692963752665,CONCERN
AGAP005871__SITE01,AGAP005871,10,11,0.996135265700483,1,0.0072463768115942,0.998122611579782,ROBUST
AGAP005871__SITE02,AGAP005871,10,11,0.738888888888889,0.454545454545455,0.270833333333333,0.804552050354289,INTERMEDIATE
AGAP005871__SITE03,AGAP005871,10,11,0.0309565217391304,0,0.98,0.265149578195977,CONCERN
AGAP005871__SITE04,AGAP005871,10,11,0.566956521739131,0,0.461956521739131,0.595223648836563,CONCERN
AGAP005871__SITE05,AGAP005871,10,11,0.144444444444445,0,0.48,0.377743307273158,CONCERN
AGAP008015__SITE01,AGAP008015,10,11,0.870238095238095,0.272727272727273,0.125,0.817610405763391,INTERMEDIATE
AGAP008015__SITE02,AGAP008015,10,11,0.737346711259755,0.0909090909090909,0.268115942028986,0.715644389679107,CONCERN
AGAP008015__SITE03,AGAP008015,10,11,0.956739223218097,1,0.0492957746478873,0.976126230471932,INTERMEDIATE
AGAP008015__SITE04,AGAP008015,10,11,0.989746031746032,1,0.00892857142857143,0.994891198768064,ROBUST
AGAP008015__SITE05,AGAP008015,10,11,0.684320124320124,0.181818181818182,0.448717948717949,0.706092903779471,CONCERN
AGAP004078__SITE01,AGAP004078,10,11,0.554059829059829,0.545454545454545,0.653846153846154,0.723605240116434,CONCERN
AGAP004078__SITE02,AGAP004078,10,11,0.651282051282051,0.909090909090909,0.653846153846154,0.814769683053265,CONCERN
AGAP004078__SITE03,AGAP004078,10,11,0.115111111111111,0.181818181818182,1,0.433849012513192,CONCERN
AGAP004078__SITE04,AGAP004078,10,11,0.938084507042253,0.909090909090909,0.0985915492957746,0.957107697746861,INTERMEDIATE
AGAP004078__SITE05,AGAP004078,10,11,0.370735129068462,0,0.632996632996633,0.484607999564467,CONCERN
AGAP004852__SITE01,AGAP004852,10,11,0.886161128190114,0.909090909090909,0.188405797101449,0.928802144671169,INTERMEDIATE
AGAP004852__SITE02,AGAP004852,10,11,0.977665995975855,1,0.0357142857142857,0.988739526712514,ROBUST
AGAP004852__SITE03,AGAP004852,10,11,0.929380341880342,0.909090909090909,0.108974358974359,0.951094868025838,INTERMEDIATE
AGAP004852__SITE04,AGAP004852,10,11,1,1,0,1,ROBUST
AGAP004852__SITE05,AGAP004852,10,11,0.965388669301713,1,0.0363636363636364,0.984352594733841,ROBUST
AGAP012424__SITE01,AGAP012424,10,11,0.981873015873016,1,0.0223214285714286,0.99113056740109,ROBUST
AGAP012424__SITE02,AGAP012424,10,11,0.953956466069142,0.909090909090909,0.0633802816901408,0.965529650085042,INTERMEDIATE
AGAP012424__SITE03,AGAP012424,10,11,0.994361111111111,1,0.00666666666666667,0.997017427742241,ROBUST
AGAP012424__SITE04,AGAP012424,10,11,1,1,0,1,ROBUST
AGAP012424__SITE05,AGAP012424,10,11,1,1,0,1,ROBUST
AGAP007775__SITE01,AGAP007775,10,11,0,0,1,0.149626865671642,CONCERN
AGAP007775__SITE02,AGAP007775,10,11,0,0,1,0.163459488272921,CONCERN
AGAP007775__SITE03,AGAP007775,10,11,0.75,0.454545454545455,0.25,0.78622552820314,INTERMEDIATE
AGAP007775__SITE04,AGAP007775,10,11,0.743333333333333,0.454545454545455,0.25,0.780187859404277,INTERMEDIATE
AGAP007775__SITE05,AGAP007775,10,11,0.917606837606838,0.636363636363636,0.0961538461538462,0.901434900091616,INTERMEDIATE
AGAP010722__SITE01,AGAP010722,10,11,0.242735042735043,0,0.791666666666667,0.415232445829461,CONCERN
AGAP010722__SITE02,AGAP010722,10,11,0.88075117370892,0.636363636363636,0.125,0.89266792523572,INTERMEDIATE
AGAP010722__SITE03,AGAP010722,10,11,0.986797101449275,1,0.0133333333333333,0.994246539043911,ROBUST
AGAP010722__SITE04,AGAP010722,10,11,0.94553872053872,0.909090909090909,0.063973063973064,0.956409645495467,INTERMEDIATE
AGAP010722__SITE05,AGAP010722,10,11,0.408484848484848,0,0.6875,0.507624943464496,CONCERN
AGAP009792__SITE01,AGAP009792,10,11,0.913812730479398,0.727272727272727,0.0714285714285714,0.915289294269394,INTERMEDIATE
AGAP009792__SITE02,AGAP009792,10,11,0.98212072414971,1,0.0217391304347826,0.990371193367083,ROBUST
AGAP009792__SITE03,AGAP009792,10,11,0.0951690821256038,0,0.916666666666667,0.281832426892453,CONCERN
AGAP009792__SITE04,AGAP009792,10,11,0.602191142191142,0,0.403846153846154,0.568398777839076,CONCERN
AGAP009792__SITE05,AGAP009792,10,11,0.76875,0.454545454545455,0.25,0.811675288331072,INTERMEDIATE
AGAP000999__SITE01,AGAP000999,10,11,0.961200635113679,0.909090909090909,0.0641025641025641,0.966769932174422,INTERMEDIATE
AGAP000999__SITE02,AGAP000999,10,11,0.961200635113679,0.909090909090909,0.0641025641025641,0.967121220230629,INTERMEDIATE
AGAP000999__SITE03,AGAP000999,10,11,1,1,0,0.971739130434783,UNRESOLVED_ACCESSIBILITY
AGAP000999__SITE04,AGAP000999,10,11,1,1,0,0.95,UNRESOLVED_ACCESSIBILITY
AGAP000999__SITE05,AGAP000999,10,11,1,1,0,0.95,UNRESOLVED_ACCESSIBILITY
AGAP007217__SITE01,AGAP007217,10,11,0.966119658119658,0.909090909090909,0.0576923076923077,0.969459074921761,INTERMEDIATE
AGAP007217__SITE02,AGAP007217,10,11,0.861965811965812,0.636363636363636,0.166666666666667,0.878501080180185,INTERMEDIATE
AGAP007217__SITE03,AGAP007217,10,11,0.0194444444444445,0,1,0.244493307273158,CONCERN
AGAP007217__SITE04,AGAP007217,10,11,0.93024154589372,0.818181818181818,0.072463768115942,0.936180941237722,INTERMEDIATE
AGAP007217__SITE05,AGAP007217,10,11,0.967632850241545,1,0.0416666666666667,0.985102953143187,ROBUST
AGAP009091__SITE01,AGAP009091,10,11,0.963614163614164,1,0.0401785714285714,0.979796131521878,INTERMEDIATE
AGAP009091__SITE02,AGAP009091,10,11,0.980262721107792,1,0.0211267605633803,0.990181149209949,ROBUST
AGAP009091__SITE03,AGAP009091,10,11,0.969254845311183,1,0.028169014084507,0.985472289663482,ROBUST
AGAP009091__SITE04,AGAP009091,10,11,0.624508547008547,0.0909090909090909,0.474358974358974,0.641837197835332,CONCERN
AGAP009091__SITE05,AGAP009091,10,11,0.905555555555556,0.909090909090909,0.145833333333333,0.944251281471431,INTERMEDIATE
AGAP006989__SITE01,AGAP006989,10,11,0.971944444444444,1,0.0416666666666667,0.986927120350628,ROBUST
AGAP006989__SITE02,AGAP006989,10,11,0.827657004830918,0.818181818181818,0.270833333333333,0.891550727915102,INTERMEDIATE
AGAP006989__SITE03,AGAP006989,10,11,0.046695652173913,0.0909090909090909,0.953333333333333,0.312253062749494,CONCERN
AGAP006989__SITE04,AGAP006989,10,11,0.751111111111111,0.272727272727273,0.166666666666667,0.77918438112468,INTERMEDIATE
AGAP006989__SITE05,AGAP006989,10,11,0.078,0,0.92,0.33203091684435,CONCERN
AGAP005062__SITE01,AGAP005062,10,11,1,1,0,1,ROBUST
AGAP005062__SITE02,AGAP005062,10,11,0.930917874396135,0.909090909090909,0.104166666666667,0.955691363669138,INTERMEDIATE
AGAP005062__SITE03,AGAP005062,10,11,0.989405162738496,1,0.0125,0.994608753371191,ROBUST
AGAP005062__SITE04,AGAP005062,10,11,0.989405162738496,1,0.0125,0.994608753371191,ROBUST
AGAP005062__SITE05,AGAP005062,10,11,0.961947982237837,0.909090909090909,0.0434782608695652,0.966719223746587,ROBUST
AGAP008118__SITE01,AGAP008118,10,11,0.923840579710145,0.909090909090909,0.0625,0.950572715193091,INTERMEDIATE
AGAP008118__SITE02,AGAP008118,10,11,0.285454545454546,0,0.727272727272727,0.39279947664276,CONCERN
AGAP008118__SITE03,AGAP008118,10,11,0.992701863354037,1,0.00892857142857143,0.996536340038936,ROBUST
AGAP008118__SITE04,AGAP008118,10,11,0.979399061032864,1,0.0211267605633803,0.98988527683514,ROBUST
AGAP008118__SITE05,AGAP008118,10,11,0.855,0.272727272727273,0.15,0.811087662337662,INTERMEDIATE
AGAP000099__SITE01,AGAP000099,10,11,0.962587064676617,1,0.0375,0.980954143218334,ROBUST
AGAP000099__SITE02,AGAP000099,10,11,0.962587064676617,1,0.0375,0.980193019096554,ROBUST
AGAP000099__SITE03,AGAP000099,10,11,0.963568075117371,1,0.0375,0.981931245945619,ROBUST
AGAP000099__SITE04,AGAP000099,10,11,0.992733515520987,1,0.00746268656716418,0.996412520059596,ROBUST
AGAP000099__SITE05,AGAP000099,10,11,0.985292903073565,1,0.0149253731343284,0.992957152155192,ROBUST
AGAP004239__SITE01,AGAP004239,10,11,0.932628205128205,0.909090909090909,0.115384615384615,0.954437449987823,INTERMEDIATE
AGAP004239__SITE02,AGAP004239,10,11,0.932628205128205,0.909090909090909,0.115384615384615,0.954437449987823,INTERMEDIATE
AGAP004239__SITE03,AGAP004239,10,11,0.837246376811594,0.727272727272727,0.146739130434783,0.887310679802568,INTERMEDIATE
AGAP004239__SITE04,AGAP004239,10,11,0.842466922748613,0.636363636363636,0.176056338028169,0.868876090100076,INTERMEDIATE
AGAP004239__SITE05,AGAP004239,10,11,0.881139007960808,0.727272727272727,0.130434782608696,0.900473973865018,INTERMEDIATE
AGAP006935__SITE01,AGAP006935,10,11,0.0552995169082124,0.181818181818182,0.986666666666667,0.396881899321387,CONCERN
AGAP006935__SITE02,AGAP006935,10,11,0.0552995169082124,0.181818181818182,0.986666666666667,0.397095118937591,CONCERN
