population_site_id,population_exact_mean,population_exact_sd,population_exact_min,population_exact_max,populations_assessed,population_exact_range
AGAP009600__SITE03,0.936709875011926,0.0527928024128335,0.864130434782609,1,10,0.135869565217391
AGAP009600__SITE04,0.928482374855079,0.0611091031040099,0.831521739130435,1,10,0.168478260869565
AGAP009600__SITE05,0.991772499843152,0.0126467427119853,0.967391304347826,1,10,0.0326086956521739
AGAP005763__SITE01,0.996017015392015,0.00740197860674936,0.977678571428571,1,10,0.022321428571429
AGAP005763__SITE02,0.0526373805001331,0.0428756748071559,0,0.147435897435897,10,0.147435897435897
AGAP005763__SITE03,0.0526373805001331,0.0428756748071559,0,0.147435897435897,10,0.147435897435897
AGAP005763__SITE04,0.936302208839334,0.0674565433803542,0.790909090909091,1,10,0.209090909090909
AGAP005763__SITE05,0.936201198738324,0.0650862492328316,0.8,1,10,0.2
AGAP011204__SITE01,0.916589569909916,0.0558415511893337,0.789855072463768,0.974358974358974,10,0.184503901895206
AGAP011204__SITE02,0.909556212912306,0.0459498171680671,0.797101449275362,0.955128205128205,10,0.158026755852843
AGAP011204__SITE03,0.719052067860243,0.134084947868181,0.434782608695652,0.916666666666667,10,0.481884057971015
AGAP011204__SITE04,0.783813513424046,0.123756505401794,0.586956521739131,0.979166666666667,10,0.392210144927536
AGAP011204__SITE05,0.897501783272068,0.0643342503368903,0.75,0.974358974358974,10,0.224358974358974
AGAP009921__SITE01,0.993196566605017,0.0108732034797506,0.971830985915493,1,10,0.028169014084507
AGAP009921__SITE02,0.998045774647887,0.00431603428298896,0.9875,1,10,0.0125
AGAP009921__SITE03,0.998621504904114,0.00253449528336855,0.993333333333333,1,10,0.00666666666666704
AGAP009921__SITE04,0.949614045641143,0.079324011547521,0.763636363636364,1,10,0.236363636363636
AGAP009921__SITE05,0.981344110115237,0.0284502450067906,0.929577464788732,1,10,0.070422535211268
AGAP002300__SITE01,0.934574866156388,0.0698478110430097,0.798913043478261,1,10,0.201086956521739
AGAP002300__SITE02,0.257515178650589,0.130948380973014,0.0579710144927536,0.505434782608696,10,0.447463768115942
AGAP002300__SITE03,0.9920465835932,0.0114790366071559,0.963768115942029,1,10,0.036231884057971
AGAP002300__SITE04,0.990253105332331,0.0108230729033072,0.963768115942029,1,10,0.036231884057971
AGAP002300__SITE05,0.997940624190624,0.00418682162559778,0.9875,1,10,0.0125
AGAP004038__SITE01,0.993616672320898,0.00889209009147644,0.974358974358974,1,10,0.025641025641026
AGAP004038__SITE02,0.898389314188227,0.161244703405095,0.461538461538462,1,10,0.538461538461538
AGAP004038__SITE03,0.0132121212121212,0.02949882360056,0,0.0866666666666667,10,0.0866666666666667
AGAP004038__SITE04,1,0,1,1,10,0
AGAP004038__SITE05,0.840990566919302,0.131930404582532,0.608695652173913,1,10,0.391304347826087
AGAP003769__SITE01,0.965382738584361,0.0321621471106989,0.918181818181818,1,10,0.081818181818182
AGAP003769__SITE02,0.97258358208098,0.0469103901395982,0.854545454545455,1,10,0.145454545454545
AGAP003769__SITE03,0.979752240717029,0.0265066749470158,0.9375,1,10,0.0625
AGAP003769__SITE04,0.891014508047576,0.0765900940458964,0.763636363636364,1,10,0.236363636363636
AGAP003769__SITE05,0.952705687204769,0.0598734745907852,0.827272727272727,1,10,0.172727272727273
AGAP002004__SITE01,0.955725171462771,0.0582026284680926,0.823943661971831,1,10,0.176056338028169
AGAP002004__SITE02,0.996596031786249,0.00509982759382313,0.986607142857143,1,10,0.013392857142857
AGAP002004__SITE03,0.988236504409269,0.0131642766046065,0.967391304347826,1,10,0.0326086956521739
AGAP002004__SITE04,0.971489939926713,0.017853192622349,0.95,1,10,0.05
AGAP002004__SITE05,0.97055321067821,0.0303885385049284,0.91304347826087,1,10,0.08695652173913
AGAP009488__SITE01,0.951248950727212,0.0510901814195789,0.833333333333333,1,10,0.166666666666667
AGAP009488__SITE02,0.99910701215049,0.00229419271253513,0.992753623188406,1,10,0.00724637681159401
AGAP009488__SITE03,0.991390557799009,0.0130599022249362,0.966666666666667,1,10,0.033333333333333
AGAP009488__SITE04,0.991390557799009,0.0130599022249362,0.966666666666667,1,10,0.033333333333333
AGAP009488__SITE05,0.98521321079014,0.0185320203938111,0.953333333333333,1,10,0.046666666666667
AGAP005127__SITE01,0.979648421858924,0.0213692556714999,0.946666666666667,1,10,0.053333333333333
AGAP005127__SITE02,0.997744107744108,0.00486645565948734,0.986531986531987,1,10,0.013468013468013
AGAP005127__SITE03,0.994663885229103,0.00864425837341484,0.973333333333333,1,10,0.026666666666667
AGAP005127__SITE04,0.986669110881067,0.0235791906204702,0.923913043478261,1,10,0.076086956521739
AGAP005127__SITE05,0.996369936597049,0.00449847313341312,0.986666666666667,1,10,0.013333333333333
AGAP010711__SITE01,0.996794871794872,0.0101355053210525,0.967948717948718,1,10,0.0320512820512821
AGAP010711__SITE02,0.996794871794872,0.0101355053210525,0.967948717948718,1,10,0.0320512820512821
AGAP010711__SITE03,0.993269140682184,0.0102283944671885,0.973333333333333,1,10,0.026666666666667
AGAP010711__SITE04,0.982082225088196,0.0235181831032738,0.936619718309859,1,10,0.063380281690141
AGAP010711__SITE05,0.982082225088196,0.0235181831032738,0.936619718309859,1,10,0.063380281690141
AGAP005321__SITE01,0.992125851691911,0.0108347737077767,0.971830985915493,1,10,0.028169014084507
AGAP005321__SITE02,0.957925108880482,0.0336823553179616,0.915178571428571,1,10,0.084821428571429
AGAP005321__SITE03,0.957925108880482,0.0336823553179616,0.915178571428571,1,10,0.084821428571429
AGAP005321__SITE04,0.984227549825376,0.0259088065916408,0.916666666666667,1,10,0.083333333333333
AGAP005321__SITE05,0.984227549825376,0.0259088065916408,0.916666666666667,1,10,0.083333333333333
AGAP001099__SITE01,0.998324013949014,0.00425069983377102,0.986607142857143,1,10,0.013392857142857
AGAP001099__SITE02,0.999216871091871,0.00167111571993472,0.995535714285714,1,10,0.00446428571428603
AGAP001099__SITE03,0.999216871091871,0.00167111571993472,0.995535714285714,1,10,0.00446428571428603
AGAP001099__SITE04,1,0,1,1,10,0
AGAP001099__SITE05,0.853536149950954,0.220875986800965,0.446666666666667,1,10,0.553333333333333
AGAP006939__SITE01,0.921433782978945,0.0777389091914119,0.729166666666667,1,10,0.270833333333333
AGAP006939__SITE02,0.923812082014853,0.0785562368419846,0.729166666666667,1,10,0.270833333333333
AGAP006939__SITE03,0.983359345565867,0.0242893451805303,0.923913043478261,1,10,0.076086956521739
AGAP006939__SITE04,0.982049635722401,0.020275384860985,0.9375,1,10,0.0625
AGAP006939__SITE05,0.887778564005906,0.0928577768850515,0.74,1,10,0.26
AGAP004957__SITE01,0.687305856628346,0.111886108066783,0.478260869565217,0.878205128205128,10,0.399944258639911
AGAP004957__SITE02,0.992568501920615,0.0143027711010034,0.96,1,10,0.04
AGAP004957__SITE03,0.992568501920615,0.0143027711010034,0.96,1,10,0.04
AGAP004957__SITE04,0.95569712602949,0.0746819726920077,0.75,1,10,0.25
AGAP004957__SITE05,0.996258409666018,0.00523167364728463,0.986666666666667,1,10,0.013333333333333
AGAP010175__SITE01,0.946027191843787,0.0377939355186,0.9,1,10,0.1
AGAP010175__SITE02,0.989358941527956,0.0217345023895652,0.936619718309859,1,10,0.063380281690141
AGAP010175__SITE03,0.989358941527956,0.0217345023895652,0.936619718309859,1,10,0.063380281690141
AGAP010175__SITE04,0.998020186335404,0.0041988121905684,0.989130434782609,1,10,0.010869565217391
AGAP010175__SITE05,0.971819663745567,0.0249936630459669,0.933333333333333,1,10,0.066666666666667
AGAP007280__SITE01,0.332418880616447,0.0970291248665023,0.0833333333333333,0.449275362318841,10,0.365942028985508
AGAP007280__SITE02,0.940829917063613,0.0939800952690607,0.685897435897436,1,10,0.314102564102564
AGAP007280__SITE03,0.854366706890896,0.083983813694647,0.754545454545455,1,10,0.245454545454545
AGAP007280__SITE04,0.854366706890896,0.083983813694647,0.754545454545455,1,10,0.245454545454545
AGAP007280__SITE05,0.995645321437651,0.00482680647978531,0.987179487179487,1,10,0.012820512820513
AGAP001135__SITE01,0.997264942126776,0.00452611365719266,0.985915492957746,1,10,0.0140845070422539
AGAP001135__SITE02,0.832525964266166,0.0955465579470106,0.673913043478261,1,10,0.326086956521739
AGAP001135__SITE03,0.98295879764358,0.0327692684538249,0.891304347826087,1,10,0.108695652173913
AGAP001135__SITE04,0.650689832326391,0.16663860106019,0.1875,0.767857142857143,10,0.580357142857143
AGAP001135__SITE05,0.911843726500417,0.0603699945337775,0.847826086956522,1,10,0.152173913043478
AGAP009048__SITE01,0.973932837206567,0.0166016742817266,0.945454545454546,1,10,0.054545454545454
AGAP009048__SITE02,0.985558323290871,0.0142913261168876,0.955128205128205,1,10,0.0448717948717951
AGAP009048__SITE03,0.989905211535646,0.0125218595879791,0.966666666666667,1,10,0.033333333333333
AGAP009048__SITE04,0.991821878202313,0.00995910241321454,0.973333333333333,1,10,0.026666666666667
AGAP009048__SITE05,0.953652265809875,0.042381402098939,0.884057971014493,1,10,0.115942028985507
AGAP010313__SITE01,0.99945652173913,0.0017186291631351,0.994565217391304,1,10,0.00543478260869601
AGAP010313__SITE02,0.999553571428571,0.00141173109828956,0.995535714285714,1,10,0.00446428571428603
AGAP010313__SITE03,0.999553571428571,0.00141173109828956,0.995535714285714,1,10,0.00446428571428603
AGAP010313__SITE04,0.9996632996633,0.00106473995291854,0.996632996632997,1,10,0.00336700336700302
AGAP010313__SITE05,0.99945652173913,0.0017186291631351,0.994565217391304,1,10,0.00543478260869601
AGAP009338__SITE01,0.86930465774388,0.0741341207189212,0.76056338028169,1,10,0.23943661971831
AGAP009338__SITE02,0.893201867786451,0.0651917688256454,0.811594202898551,1,10,0.188405797101449
AGAP009338__SITE03,0.872905022117208,0.0913066275647932,0.688405797101449,1,10,0.311594202898551
AGAP009338__SITE04,0.00927290934157132,0.0151853411137513,0,0.0454545454545455,10,0.0454545454545455
AGAP009338__SITE05,0.905035849968566,0.1087715958173,0.628205128205128,0.979166666666667,10,0.350961538461539
AGAP001015__SITE01,0.98253803362499,0.0423274368377044,0.871794871794872,1,9,0.128205128205128
AGAP001015__SITE02,0.997123162186433,0.00464498702093282,0.9875,1,9,0.0125
AGAP001015__SITE03,0.994550526699945,0.0120620368846028,0.964788732394366,1,9,0.035211267605634
AGAP001015__SITE04,0.957048227603443,0.0894671864295966,0.724358974358974,1,9,0.275641025641026
AGAP001015__SITE05,0.999503968253968,0.00148809523809534,0.995535714285714,1,9,0.00446428571428603
AGAP010219__SITE01,0.982313363970973,0.0238816824512664,0.9375,1,10,0.0625
AGAP010219__SITE02,0.983021833239225,0.0208223946677701,0.951086956521739,1,10,0.048913043478261
AGAP010219__SITE03,0.9960533126294,0.00845746164101214,0.973214285714286,1,10,0.026785714285714
AGAP010219__SITE04,0.956358135344051,0.0731377174051868,0.8,1,10,0.2
AGAP010219__SITE05,0.99983164983165,0.000532369976459408,0.998316498316498,1,10,0.00168350168350195
AGAP008191__SITE01,0.915005191671067,0.0426445903196553,0.853260869565217,0.963636363636364,10,0.110375494071147
AGAP008191__SITE02,0.993993901227597,0.00754773207561339,0.978114478114478,1,10,0.021885521885522
AGAP008191__SITE03,0.00315151515151515,0.00674154460270358,0,0.0181818181818182,10,0.0181818181818182
AGAP008191__SITE04,0.00315151515151515,0.00674154460270358,0,0.0181818181818182,10,0.0181818181818182
AGAP008191__SITE05,0.00315151515151515,0.00674154460270358,0,0.0181818181818182,10,0.0181818181818182
AGAP005871__SITE01,0.999275362318841,0.00229150555084659,0.992753623188406,1,10,0.00724637681159401
AGAP005871__SITE02,0.928494033027484,0.0810740204462475,0.729166666666667,1,10,0.270833333333333
AGAP005871__SITE03,0.317578518222042,0.206518366086353,0.02,0.6875,10,0.6675
AGAP005871__SITE04,0.722018971491415,0.105656498385741,0.53804347826087,0.836363636363636,10,0.298320158102766
AGAP005871__SITE05,0.485190783395009,0.223405638437169,0.125,0.833333333333333,10,0.708333333333333
AGAP008015__SITE01,0.92947348111846,0.0360736660627346,0.866071428571429,1,10,0.133928571428571
AGAP008015__SITE02,0.883722984175449,0.0840070607564845,0.731884057971015,1,10,0.268115942028985
AGAP008015__SITE03,0.980372323532765,0.016788566238963,0.950704225352113,1,10,0.049295774647887
AGAP008015__SITE04,0.996945518853128,0.00454066783385183,0.986607142857143,1,10,0.013392857142857
AGAP008015__SITE05,0.86653902099692,0.12014458453439,0.551282051282051,0.979166666666667,10,0.427884615384616
AGAP004078__SITE01,0.911774621915926,0.201768810267916,0.346153846153846,1,10,0.653846153846154
AGAP004078__SITE02,0.934615384615385,0.206764308549471,0.346153846153846,1,10,0.653846153846154
AGAP004078__SITE03,0.607017732879491,0.348563577725636,0,1,10,1
AGAP004078__SITE04,0.984529184991371,0.0302640193347177,0.901408450704225,1,10,0.098591549295775
AGAP004078__SITE05,0.677460661469464,0.227648954886376,0.367003367003367,0.923076923076923,10,0.556073556073556
AGAP004852__SITE01,0.978297467427902,0.0592600883107741,0.811594202898551,1,10,0.188405797101449
AGAP004852__SITE02,0.995012517647239,0.0110991730245925,0.964285714285714,1,10,0.035714285714286
AGAP004852__SITE03,0.980425163805599,0.0329771574346387,0.891025641025641,1,10,0.108974358974359
AGAP004852__SITE04,1,0,1,1,10,0
AGAP004852__SITE05,0.991477887048539,0.0142133800620182,0.963636363636364,1,10,0.036363636363636
AGAP012424__SITE01,0.994679473304473,0.00799097761599661,0.977678571428571,1,10,0.022321428571429
AGAP012424__SITE02,0.98881632449506,0.021772588491805,0.929577464788732,1,10,0.070422535211268
AGAP012424__SITE03,0.998550204425204,0.00246513310367859,0.993333333333333,1,10,0.00666666666666704
AGAP012424__SITE04,1,0,1,1,10,0
AGAP012424__SITE05,1,0,1,1,10,0
AGAP007775__SITE01,0,0,0,0,10,0
AGAP007775__SITE02,0.0556211884099208,0.0987639756437662,0,0.263636363636364,10,0.263636363636364
AGAP007775__SITE03,0.899120735343562,0.0996612987355387,0.75,1,10,0.25
AGAP007775__SITE04,0.898092719421945,0.0982689502576751,0.7375,1,10,0.2625
AGAP007775__SITE05,0.962846625772223,0.0317286150796105,0.903846153846154,1,10,0.096153846153846
AGAP010722__SITE01,0.487428361434102,0.150484708230126,0.208333333333333,0.674107142857143,10,0.46577380952381
AGAP010722__SITE02,0.954924007302375,0.0489881059802164,0.875,1,10,0.125
AGAP010722__SITE03,0.996841742999352,0.00625881612908696,0.98,1,10,0.02
AGAP010722__SITE04,0.984638535980927,0.0200438822630968,0.934343434343434,1,10,0.065656565656566
AGAP010722__SITE05,0.603487989749472,0.123947449810948,0.3125,0.725,10,0.4125
AGAP009792__SITE01,0.969480349561871,0.0361662883111684,0.897321428571429,1,10,0.102678571428571
AGAP009792__SITE02,0.993169540777088,0.00742251272646082,0.978260869565217,1,10,0.021739130434783
AGAP009792__SITE03,0.327699448300107,0.146848137371047,0.108695652173913,0.5,10,0.391304347826087
AGAP009792__SITE04,0.690580996431502,0.0811090767339363,0.596153846153846,0.833333333333333,10,0.237179487179487
AGAP009792__SITE05,0.947310896229374,0.0683943243068504,0.790178571428571,1,10,0.209821428571429
AGAP000999__SITE01,0.990178764662325,0.0207442409808236,0.935897435897436,1,9,0.064102564102564
AGAP000999__SITE02,0.991779556996948,0.0212090785250276,0.935897435897436,1,9,0.064102564102564
AGAP000999__SITE03,1,0,1,1,9,0
AGAP000999__SITE04,1,0,1,1,9,0
AGAP000999__SITE05,1,0,1,1,9,0
AGAP007217__SITE01,0.992515573798182,0.0178503810070536,0.942307692307692,1,10,0.057692307692308
AGAP007217__SITE02,0.955765089036522,0.0527867999725977,0.814102564102564,1,10,0.185897435897436
AGAP007217__SITE03,0.268469512748371,0.140245995336679,0,0.448717948717949,10,0.448717948717949
AGAP007217__SITE04,0.971596176569003,0.0273592890177494,0.927536231884058,1,10,0.072463768115942
AGAP007217__SITE05,0.994065084070519,0.00764437476056024,0.978260869565217,1,10,0.021739130434783
AGAP009091__SITE01,0.984550391407939,0.0141783384960354,0.959821428571429,1,10,0.040178571428571
AGAP009091__SITE02,0.993412736103796,0.0085590798114186,0.971830985915493,1,10,0.028169014084507
AGAP009091__SITE03,0.985669564995346,0.0110845751221843,0.964788732394366,1,10,0.035211267605634
AGAP009091__SITE04,0.795562142258866,0.122493640798616,0.525641025641026,0.958333333333333,10,0.432692307692307
AGAP009091__SITE05,0.979378359160968,0.0453645533611991,0.854166666666667,1,10,0.145833333333333
AGAP006989__SITE01,0.995518537995651,0.00444140666454931,0.9875,1,10,0.0125
AGAP006989__SITE02,0.952813482011966,0.0810601295019749,0.729166666666667,1,10,0.270833333333333
AGAP006989__SITE03,0.37444924597244,0.292572648931305,0.04,0.974358974358974,10,0.934358974358974
AGAP006989__SITE04,0.910448343127921,0.0650215907345371,0.8,1,10,0.2
AGAP006989__SITE05,0.443518546435647,0.307758712858186,0.0733333333333333,0.942307692307692,10,0.868974358974359
AGAP005062__SITE01,1,0,1,1,10,0
AGAP005062__SITE02,0.983122310977562,0.0322565087701555,0.895833333333333,1,10,0.104166666666667
AGAP005062__SITE03,0.996698104230713,0.0046195309730016,0.9875,1,10,0.0125
AGAP005062__SITE04,0.996698104230713,0.0046195309730016,0.9875,1,10,0.0125
AGAP005062__SITE05,0.987041808750321,0.0166011708295471,0.949275362318841,1,10,0.050724637681159
AGAP008118__SITE01,0.971121009397035,0.0294537796513123,0.9,1,10,0.1
AGAP008118__SITE02,0.418372668204649,0.14366820218973,0.272727272727273,0.729166666666667,10,0.456439393939394
AGAP008118__SITE03,0.998395314427923,0.00309731550118476,0.991071428571429,1,10,0.00892857142857095
AGAP008118__SITE04,0.991861858668197,0.00869727098084997,0.97887323943662,1,10,0.02112676056338
AGAP008118__SITE05,0.920296589169829,0.0412052898942215,0.8375,0.979166666666667,10,0.141666666666667
AGAP000099__SITE01,0.981426880565697,0.0171659510374517,0.9625,1,9,0.0375
AGAP000099__SITE02,0.981426880565697,0.0171659510374517,0.9625,1,9,0.0375
AGAP000099__SITE03,0.984741807887333,0.0144947437569231,0.9625,1,9,0.0375
AGAP000099__SITE04,0.997729578461863,0.00342861135621097,0.992537313432836,1,9,0.00746268656716398
AGAP000099__SITE05,0.996853676282618,0.00747731860055859,0.977611940298507,1,9,0.022388059701493
AGAP004239__SITE01,0.987211538461539,0.036262027862411,0.884615384615385,1,10,0.115384615384615
AGAP004239__SITE02,0.987211538461539,0.036262027862411,0.884615384615385,1,10,0.115384615384615
AGAP004239__SITE03,0.950046519675806,0.0667694427899045,0.826086956521739,1,10,0.173913043478261
AGAP004239__SITE04,0.947150548621844,0.0652173281080603,0.823943661971831,1,10,0.176056338028169
AGAP004239__SITE05,0.954545102620271,0.0474556645921717,0.869565217391304,1,10,0.130434782608696
AGAP006935__SITE01,0.582883081369992,0.319965636585573,0.0133333333333333,0.967948717948718,10,0.954615384615385
AGAP006935__SITE02,0.582862669040945,0.319113861528324,0.0133333333333333,0.967948717948718,10,0.954615384615385
AGAP006935__SITE03,1,0,1,1,10,0
AGAP006935__SITE04,1,0,1,1,10,0
AGAP006935__SITE05,1,0,1,1,10,0
AGAP007365__SITE01,1,0,1,1,10,0
AGAP007365__SITE02,1,0,1,1,10,0
AGAP007365__SITE03,1,0,1,1,10,0
AGAP007365__SITE04,1,0,1,1,10,0
AGAP007365__SITE05,1,0,1,1,10,0
AGAP007122__SITE01,0.995152288934898,0.00745945604125102,0.981481481481481,1,10,0.018518518518519
AGAP007122__SITE02,0.991981581996738,0.00990343374107397,0.972826086956522,1,10,0.0271739130434781
AGAP007122__SITE03,0.991981581996738,0.00990343374107397,0.972826086956522,1,10,0.0271739130434781
AGAP007122__SITE04,0.996473210364515,0.00541511597608025,0.983695652173913,1,10,0.016304347826087
AGAP007122__SITE05,0.99829240764452,0.00291005487250207,0.992957746478873,1,10,0.00704225352112697
AGAP011938__SITE01,0.943899282279717,0.0731115908753716,0.760869565217391,1,10,0.239130434782609
AGAP011938__SITE02,0.943899282279717,0.0731115908753716,0.760869565217391,1,10,0.239130434782609
AGAP011938__SITE03,0.906460346215781,0.20244614307059,0.333333333333333,1,10,0.666666666666667
AGAP011938__SITE04,0.668947853661954,0.119191279225522,0.375,0.8,10,0.425
AGAP011938__SITE05,0.99854347041847,0.00334573472716096,0.98989898989899,1,10,0.0101010101010101
AGAP007333__SITE01,0.883991371902349,0.0684990412583163,0.818181818181818,0.987179487179487,10,0.168997668997669
AGAP007333__SITE02,0.995320390760608,0.00568193824762035,0.986607142857143,1,10,0.013392857142857
AGAP007333__SITE03,0.978426767795721,0.0279308781223259,0.929577464788732,1,10,0.070422535211268
AGAP007333__SITE04,0.995122346654955,0.00556924784763312,0.986666666666667,1,10,0.013333333333333
AGAP007333__SITE05,0.995122346654955,0.00556924784763312,0.986666666666667,1,10,0.013333333333333
AGAP007063__SITE01,0.896287664208056,0.107995393769765,0.686666666666667,1,10,0.313333333333333
AGAP007063__SITE02,0.98517765875344,0.0191902472771484,0.94,1,10,0.0600000000000001
AGAP007063__SITE03,0.969172075712951,0.0321259250829144,0.9,1,10,0.1
AGAP007063__SITE04,0.0968343699857785,0.129035652831664,0,0.365384615384615,10,0.365384615384615
AGAP007063__SITE05,0.0968343699857785,0.129035652831664,0,0.365384615384615,10,0.365384615384615
AGAP007896__SITE01,0.0902076518178019,0.0615353484579173,0,0.174107142857143,10,0.174107142857143
AGAP007896__SITE02,0.0902076518178019,0.0615353484579173,0,0.174107142857143,10,0.174107142857143
AGAP007896__SITE03,0.0902076518178019,0.0615353484579173,0,0.174107142857143,10,0.174107142857143
AGAP007896__SITE04,0.902429679826648,0.0381133627969778,0.821428571428571,0.961538461538461,10,0.14010989010989
AGAP007896__SITE05,0.968215422862162,0.0515851692179423,0.833333333333333,1,10,0.166666666666667
AGAP005406__SITE01,0.94352308345756,0.0715835292355597,0.753623188405797,1,10,0.246376811594203
AGAP005406__SITE02,0.949329580735429,0.0708071993920775,0.775641025641026,1,10,0.224358974358974
AGAP005406__SITE03,0.949329580735429,0.0708071993920775,0.775641025641026,1,10,0.224358974358974
AGAP005406__SITE04,0.676066797777759,0.247769068637763,0.26056338028169,0.987179487179487,10,0.726616106897797
AGAP005406__SITE05,0.750385332784292,0.17129490851545,0.333333333333333,0.918181818181818,10,0.584848484848485
AGAP005959__SITE01,0.846947046755835,0.164969065300561,0.435897435897436,1,10,0.564102564102564
AGAP005959__SITE02,0.984592372603242,0.0141138433041856,0.956521739130435,1,10,0.043478260869565
AGAP005959__SITE03,0.997283088260201,0.00471984827651472,0.986607142857143,1,10,0.013392857142857
AGAP005959__SITE04,0.135102889164203,0.213923172731932,0,0.717948717948718,10,0.717948717948718
AGAP005959__SITE05,0.134436222497536,0.214331731376626,0,0.717948717948718,10,0.717948717948718
AGAP011849__SITE01,0.994010033042642,0.00674227092732486,0.982142857142857,1,10,0.017857142857143
AGAP011849__SITE02,0.0725729990026531,0.112730461888417,0,0.384057971014493,10,0.384057971014493
AGAP011849__SITE03,0.893959344518515,0.0527903774888916,0.770833333333333,0.955128205128205,10,0.184294871794872
AGAP011849__SITE04,0.894166122442684,0.0524284644327057,0.770833333333333,0.955128205128205,10,0.184294871794872
AGAP011849__SITE05,0.996831131831132,0.00635423367407747,0.980769230769231,1,10,0.0192307692307691
AGAP005874__SITE01,0.892222777033019,0.112143340664304,0.693333333333333,1,10,0.306666666666667
AGAP005874__SITE02,0.995508161323379,0.00678680521401893,0.981818181818182,1,10,0.018181818181818
AGAP005874__SITE03,0.99945652173913,0.0017186291631351,0.994565217391304,1,10,0.00543478260869601
AGAP005874__SITE04,0.503853630294996,0.275466059701445,0.0333333333333333,0.956521739130435,10,0.923188405797102
AGAP005874__SITE05,0.769152654890867,0.167902313824542,0.395833333333333,0.927272727272727,10,0.531439393939394
AGAP010380__SITE01,1,0,1,1,10,0
AGAP010380__SITE02,1,0,1,1,10,0
AGAP010380__SITE03,0.965771756423931,0.0792459264781999,0.743589743589744,1,10,0.256410256410256
AGAP010380__SITE04,0.990022274022274,0.0281151262160855,0.91025641025641,1,10,0.08974358974359
AGAP010380__SITE05,0.248237292699249,0.244289016956636,0,0.623188405797102,10,0.623188405797102
