gene_id,10,20,30
AGAP009338,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP009488,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009515,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009600,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009782,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009792,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009921,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009936,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010175,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010197,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010219,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010220,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010313,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010380,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010453,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010711,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP010722,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP011204,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP011377,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP011849,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP011938,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP011966,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP012142,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP012424,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP012461,UNRESOLVED,UNRESOLVED,UNRESOLVED
AGAP012499,UNRESOLVED,UNRESOLVED,UNRESOLVED
AGAP012519,UNRESOLVED,UNRESOLVED,UNRESOLVED
AGAP012991,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP028779,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP029982,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
