gene_id,portfolio_size,portfolio_site_ids,n_sites_callable,portfolio_span_bp,global_at_least_one_intact_fraction,population_q10_at_least_one_intact,population_breadth_ge_0_95,global_all_targets_intact_fraction,populations_assessed,multiplex_robustness_score,portfolio_rank_within_gene_size
AGAP004057,3,AGAP004057__SITE03;AGAP004057__SITE04;AGAP004057__SITE05,3,95,0.995202558635394,0.97263198757764,1,0.633262260127932,10,0.988911131454529,1
AGAP004078,2,AGAP004078__SITE03;AGAP004078__SITE04,2,82,1,1,1,0.639658848614073,10,1,1
AGAP004078,3,AGAP004078__SITE03;AGAP004078__SITE04;AGAP004078__SITE05,3,88,1,1,1,0.313432835820896,10,1,1
AGAP004239,2,AGAP004239__SITE04;AGAP004239__SITE05,2,189,1,1,1,0.898720682302772,10,1,1
AGAP004239,3,AGAP004239__SITE01;AGAP004239__SITE02;AGAP004239__SITE03,3,325,1,1,1,0.942963752665245,10,1,1
AGAP004467,2,AGAP004467__SITE01;AGAP004467__SITE02,2,66,1,1,1,0.86727078891258,10,1,1
AGAP004467,3,AGAP004467__SITE01;AGAP004467__SITE02;AGAP004467__SITE03,3,69,1,1,1,0.86727078891258,10,1,1
AGAP004502,2,AGAP004502__SITE02;AGAP004502__SITE03,2,38,1,1,1,0.98454157782516,10,1,1
AGAP004502,3,AGAP004502__SITE01;AGAP004502__SITE02;AGAP004502__SITE03,3,111,1,1,1,0.981876332622601,10,1,1
AGAP004521,2,AGAP004521__SITE02;AGAP004521__SITE03,2,164,0.996268656716418,0.991965788840789,1,0.814498933901919,10,0.995350930682087,1
AGAP004521,3,AGAP004521__SITE02;AGAP004521__SITE03;AGAP004521__SITE04,3,168,0.996268656716418,0.991965788840789,1,0.814498933901919,10,0.995350930682087,1
AGAP004685,2,AGAP004685__SITE04;AGAP004685__SITE05,2,423,1,1,1,0.999466950959488,10,1,1
AGAP004699,2,AGAP004699__SITE04;AGAP004699__SITE05,2,65,1,1,1,1,10,1,1
AGAP004699,3,AGAP004699__SITE01;AGAP004699__SITE02;AGAP004699__SITE03,3,143,1,1,1,0.998933901918977,10,1,1
AGAP004729,2,AGAP004729__SITE04;AGAP004729__SITE05,2,32,1,1,1,1,10,1,1
AGAP004729,3,AGAP004729__SITE03;AGAP004729__SITE04;AGAP004729__SITE05,3,42,1,1,1,1,10,1,1
AGAP004739,2,AGAP004739__SITE03;AGAP004739__SITE04,2,27,1,1,1,0.989872068230277,10,1,1
AGAP004739,3,AGAP004739__SITE02;AGAP004739__SITE03;AGAP004739__SITE04,3,28,1,1,1,0.989872068230277,10,1,1
AGAP004825,2,AGAP004825__SITE02;AGAP004825__SITE03,2,77,1,1,1,0.740405117270789,10,1,1
AGAP004825,3,AGAP004825__SITE02;AGAP004825__SITE03;AGAP004825__SITE04,3,93,1,1,1,0.724946695095949,10,1,1
AGAP004852,2,AGAP004852__SITE03;AGAP004852__SITE04,2,33,1,1,1,0.980810234541578,10,1,1
AGAP004852,3,AGAP004852__SITE03;AGAP004852__SITE04;AGAP004852__SITE05,3,117,1,1,1,0.971215351812367,10,1,1
AGAP004957,2,AGAP004957__SITE03;AGAP004957__SITE04,2,50,1,1,1,0.966950959488273,10,1,1
AGAP004957,3,AGAP004957__SITE02;AGAP004957__SITE03;AGAP004957__SITE04,3,51,1,1,1,0.966950959488273,10,1,1
AGAP005062,2,AGAP005062__SITE04;AGAP005062__SITE05,2,44,1,1,1,0.979211087420043,10,1,1
AGAP005062,3,AGAP005062__SITE03;AGAP005062__SITE04;AGAP005062__SITE05,3,45,1,1,1,0.979211087420043,10,1,1
AGAP005127,2,AGAP005127__SITE02;AGAP005127__SITE03,2,65,1,1,1,0.98773987206823,10,1,1
AGAP005127,3,AGAP005127__SITE01;AGAP005127__SITE02;AGAP005127__SITE03,3,138,1,1,1,0.961620469083156,10,1,1
AGAP005130,2,AGAP005130__SITE02;AGAP005130__SITE03,2,52,1,1,1,0.995202558635394,10,1,1
AGAP005130,3,AGAP005130__SITE02;AGAP005130__SITE03;AGAP005130__SITE04,3,59,1,1,1,0.995202558635394,10,1,1
AGAP005321,2,AGAP005321__SITE01;AGAP005321__SITE04,2,127,1,1,1,0.977611940298507,10,1,1
AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,3,127,1,1,1,0.923773987206823,10,1,1
AGAP005406,2,AGAP005406__SITE01;AGAP005406__SITE02,2,96,1,1,1,0.890191897654584,10,1,1
AGAP005406,3,AGAP005406__SITE01;AGAP005406__SITE02;AGAP005406__SITE03,3,97,1,1,1,0.890191897654584,10,1,1
AGAP005763,2,AGAP005763__SITE01;AGAP005763__SITE04,2,271,0.997334754797441,0.990283289241623,1,0.937100213219616,10,0.995485839650951,1
AGAP005763,3,AGAP005763__SITE01;AGAP005763__SITE02;AGAP005763__SITE04,3,271,0.997334754797441,0.990283289241623,1,0.0485074626865672,10,0.995485839650951,1
AGAP005871,2,AGAP005871__SITE01;AGAP005871__SITE02,2,40,1,1,1,0.938699360341151,10,1,1
AGAP005871,3,AGAP005871__SITE01;AGAP005871__SITE02;AGAP005871__SITE03,3,78,1,1,1,0.300106609808102,10,1,1
AGAP005874,2,AGAP005874__SITE02;AGAP005874__SITE03,2,93,1,1,1,0.995735607675906,10,1,1
AGAP005874,3,AGAP005874__SITE01;AGAP005874__SITE02;AGAP005874__SITE03,3,102,1,1,1,0.906183368869936,10,1,1
AGAP005917,2,AGAP005917__SITE02;AGAP005917__SITE05,2,93,1,1,1,0.982942430703625,10,1,1
AGAP005917,3,AGAP005917__SITE02;AGAP005917__SITE03;AGAP005917__SITE05,3,93,1,1,1,0.0202558635394456,10,1,1
AGAP005920,2,AGAP005920__SITE02;AGAP005920__SITE03,2,73,1,1,1,0.968550106609808,10,1,1
AGAP005920,3,AGAP005920__SITE02;AGAP005920__SITE03;AGAP005920__SITE04,3,82,1,1,1,0.964285714285714,10,1,1
AGAP005958,2,AGAP005958__SITE02;AGAP005958__SITE03,2,244,1,1,1,0.983475479744136,10,1,1
AGAP005958,3,AGAP005958__SITE02;AGAP005958__SITE03;AGAP005958__SITE04,3,418,1,1,1,0.944029850746269,10,1,1
AGAP005959,2,AGAP005959__SITE02;AGAP005959__SITE03,2,37,1,1,1,0.975479744136461,10,1,1
AGAP005959,3,AGAP005959__SITE01;AGAP005959__SITE02;AGAP005959__SITE03,3,132,1,1,1,0.840085287846482,10,1,1
AGAP006098,2,AGAP006098__SITE03;AGAP006098__SITE04,2,135,0.991471215351812,0.970704365079365,1,0.92910447761194,10,0.986094038734897,1
AGAP006098,3,AGAP006098__SITE03;AGAP006098__SITE04;AGAP006098__SITE05,3,140,0.991471215351812,0.970704365079365,1,0.92910447761194,10,0.986094038734897,1
AGAP006233,2,AGAP006233__SITE04;AGAP006233__SITE05,2,117,1,1,1,0.686567164179104,10,1,1
AGAP006233,3,AGAP006233__SITE03;AGAP006233__SITE04;AGAP006233__SITE05,3,176,1,1,1,0.659381663113006,10,1,1
AGAP006241,2,AGAP006241__SITE01;AGAP006241__SITE02,2,46,1,1,1,0.975479744136461,10,1,1
AGAP006241,3,AGAP006241__SITE03;AGAP006241__SITE04;AGAP006241__SITE05,3,90,1,1,1,0.930170575692964,10,1,1
AGAP006766,2,AGAP006766__SITE01;AGAP006766__SITE03,2,60,1,1,1,0.978144989339019,10,1,1
AGAP006766,3,AGAP006766__SITE01;AGAP006766__SITE02;AGAP006766__SITE03,3,60,1,1,1,0.75,10,1,1
AGAP006935,2,AGAP006935__SITE01;AGAP006935__SITE02,2,26,0.585287846481876,0.0463067632850241,0.2,0.584221748400853,10,0.385064736874633,1
AGAP006939,2,AGAP006939__SITE02;AGAP006939__SITE03,2,218,1,1,1,0.918443496801706,10,1,1
AGAP006939,3,AGAP006939__SITE03;AGAP006939__SITE04;AGAP006939__SITE05,3,117,1,1,1,0.86407249466951,10,1,1
AGAP006989,2,AGAP006989__SITE01;AGAP006989__SITE04,2,644,0.999466950959488,0.995777777777778,1,0.901918976545842,10,0.998413503909026,1
AGAP006989,3,AGAP006989__SITE01;AGAP006989__SITE02;AGAP006989__SITE04,3,644,0.999466950959488,0.995777777777778,1,0.876865671641791,10,0.998413503909026,1
AGAP007031,2,AGAP007031__SITE02;AGAP007031__SITE03,2,76,1,1,1,0.943496801705757,10,1,1
AGAP007031,3,AGAP007031__SITE01;AGAP007031__SITE02;AGAP007031__SITE03,3,78,1,1,1,0.943496801705757,10,1,1
AGAP007063,2,AGAP007063__SITE01;AGAP007063__SITE02,2,60,1,1,1,0.886993603411514,10,1,1
AGAP007063,3,AGAP007063__SITE01;AGAP007063__SITE02;AGAP007063__SITE03,3,77,1,1,1,0.86727078891258,10,1,1
AGAP007122,2,AGAP007122__SITE03;AGAP007122__SITE04,2,151,1,1,1,0.986140724946695,10,1,1
AGAP007122,3,AGAP007122__SITE02;AGAP007122__SITE03;AGAP007122__SITE04,3,158,1,1,1,0.986140724946695,10,1,1
AGAP007217,2,AGAP007217__SITE01;AGAP007217__SITE02,2,103,1,1,1,0.949893390191898,10,1,1
AGAP007217,3,AGAP007217__SITE03;AGAP007217__SITE04;AGAP007217__SITE05,3,225,1,1,1,0.230277185501066,10,1,1
AGAP007280,2,AGAP007280__SITE02;AGAP007280__SITE05,2,315,1,1,1,0.926972281449893,10,1,1
AGAP007280,3,AGAP007280__SITE02;AGAP007280__SITE03;AGAP007280__SITE05,3,315,1,1,1,0.788912579957356,10,1,1
AGAP007333,2,AGAP007333__SITE02;AGAP007333__SITE03,2,77,1,1,1,0.976545842217484,10,1,1
AGAP007333,3,AGAP007333__SITE03;AGAP007333__SITE04;AGAP007333__SITE05,3,173,1,1,1,0.976012793176972,10,1,1
AGAP007413,2,AGAP007413__SITE03;AGAP007413__SITE04,2,135,1,1,1,0.98134328358209,10,1,1
AGAP007413,3,AGAP007413__SITE02;AGAP007413__SITE03;AGAP007413__SITE04,3,144,1,1,1,0.943496801705757,10,1,1
AGAP007570,2,AGAP007570__SITE01;AGAP007570__SITE05,2,361,0.999466950959488,0.998933782267116,1,0.84861407249467,10,0.999360305255827,1
AGAP007570,3,AGAP007570__SITE01;AGAP007570__SITE03;AGAP007570__SITE05,3,361,1,1,1,0.736140724946695,10,1,1
AGAP007729,2,AGAP007729__SITE03;AGAP007729__SITE04,2,29,1,1,1,0.998933901918977,10,1,1
AGAP007729,3,AGAP007729__SITE03;AGAP007729__SITE04;AGAP007729__SITE05,3,95,1,1,1,0.997867803837953,10,1,1
AGAP007775,2,AGAP007775__SITE04;AGAP007775__SITE05,2,92,0.998933901918977,0.996555335097002,1,0.834754797441365,10,0.998326941680486,1
AGAP007775,3,AGAP007775__SITE03;AGAP007775__SITE04;AGAP007775__SITE05,3,101,0.998933901918977,0.996555335097002,1,0.832622601279318,10,0.998326941680486,1
AGAP007855,2,AGAP007855__SITE01;AGAP007855__SITE02,2,61,1,1,1,0.976545842217484,10,1,1
AGAP007855,3,AGAP007855__SITE01;AGAP007855__SITE02;AGAP007855__SITE03,3,62,1,1,1,0.976545842217484,10,1,1
AGAP007896,2,AGAP007896__SITE04;AGAP007896__SITE05,2,54,0.988805970149254,0.965747929606625,1,0.863539445628998,10,0.98300796097154,1
AGAP007896,3,AGAP007896__SITE03;AGAP007896__SITE04;AGAP007896__SITE05,3,326,0.990938166311301,0.974230072463768,1,0.082089552238806,10,0.986831921525911,1
AGAP007938,2,AGAP007938__SITE01;AGAP007938__SITE04,2,45,1,1,1,0.98773987206823,10,1,1
AGAP007938,3,AGAP007938__SITE01;AGAP007938__SITE02;AGAP007938__SITE04,3,45,1,1,1,0.98773987206823,10,1,1
AGAP007965,2,AGAP007965__SITE02;AGAP007965__SITE04,2,367,1,1,1,0.95362473347548,10,1,1
AGAP007965,3,AGAP007965__SITE02;AGAP007965__SITE03;AGAP007965__SITE04,3,367,1,1,1,0.600213219616205,10,1,1
AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,2,155,1,1,1,0.949360341151386,10,1,1
AGAP007999,3,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,3,156,1,1,1,0.949360341151386,10,1,1
AGAP008015,2,AGAP008015__SITE02;AGAP008015__SITE04,2,167,1,1,1,0.87046908315565,10,1,1
AGAP008015,3,AGAP008015__SITE02;AGAP008015__SITE03;AGAP008015__SITE04,3,167,1,1,1,0.859808102345416,10,1,1
AGAP008118,2,AGAP008118__SITE01;AGAP008118__SITE03,2,129,1,1,1,0.968017057569296,10,1,1
AGAP008118,3,AGAP008118__SITE01;AGAP008118__SITE02;AGAP008118__SITE03,3,129,1,1,1,0.406716417910448,10,1,1
AGAP008191,2,AGAP008191__SITE01;AGAP008191__SITE02,2,196,1,1,1,0.886460554371002,10,1,1
AGAP008191,3,AGAP008191__SITE01;AGAP008191__SITE02;AGAP008191__SITE03,3,245,1,1,1,0.00213219616204691,10,1,1
AGAP008381,2,AGAP008381__SITE03;AGAP008381__SITE05,2,135,0.986140724946695,0.97501102292769,1,0.526652452025586,10,0.984187741846324,1
AGAP008381,3,AGAP008381__SITE03;AGAP008381__SITE04;AGAP008381__SITE05,3,135,0.992537313432836,0.978097442680776,1,0.522388059701493,10,0.988951620863934,1
AGAP008578,2,AGAP008578__SITE04;AGAP008578__SITE05,2,45,1,1,1,0.992004264392324,10,1,1
AGAP008578,3,AGAP008578__SITE03;AGAP008578__SITE04;AGAP008578__SITE05,3,53,1,1,1,0.973347547974414,10,1,1
AGAP009048,2,AGAP009048__SITE04;AGAP009048__SITE05,2,49,1,1,1,0.932302771855011,10,1,1
AGAP009048,3,AGAP009048__SITE03;AGAP009048__SITE04;AGAP009048__SITE05,3,55,1,1,1,0.931236673773987,10,1,1
AGAP009091,2,AGAP009091__SITE01;AGAP009091__SITE02,2,84,1,1,1,0.975479744136461,10,1,1
AGAP009091,3,AGAP009091__SITE03;AGAP009091__SITE04;AGAP009091__SITE05,3,207,1,1,1,0.755863539445629,10,1,1
AGAP009232,2,AGAP009232__SITE01;AGAP009232__SITE04,2,228,1,1,1,0.932835820895522,10,1,1
AGAP009232,3,AGAP009232__SITE01;AGAP009232__SITE02;AGAP009232__SITE04,3,228,1,1,1,0.599680170575693,10,1,1
AGAP009338,2,AGAP009338__SITE03;AGAP009338__SITE05,2,167,1,1,1,0.775586353944563,10,1,1
AGAP009338,3,AGAP009338__SITE03;AGAP009338__SITE04;AGAP009338__SITE05,3,167,1,1,1,0.00533049040511727,10,1,1
AGAP009488,2,AGAP009488__SITE04;AGAP009488__SITE05,2,120,1,1,1,0.981876332622601,10,1,1
AGAP009488,3,AGAP009488__SITE03;AGAP009488__SITE04;AGAP009488__SITE05,3,121,1,1,1,0.981876332622601,10,1,1
AGAP009515,2,AGAP009515__SITE04;AGAP009515__SITE05,2,66,1,1,1,0.997867803837953,10,1,1
AGAP009515,3,AGAP009515__SITE02;AGAP009515__SITE03;AGAP009515__SITE04,3,108,1,1,1,0.948294243070363,10,1,1
AGAP009600,2,AGAP009600__SITE03;AGAP009600__SITE05,2,34,1,1,1,0.908848614072495,10,1,1
AGAP009600,3,AGAP009600__SITE03;AGAP009600__SITE04;AGAP009600__SITE05,3,34,1,1,1,0.908848614072495,10,1,1
AGAP009782,2,AGAP009782__SITE03;AGAP009782__SITE04,2,89,1,1,1,0.972814498933902,10,1,1
AGAP009782,3,AGAP009782__SITE03;AGAP009782__SITE04;AGAP009782__SITE05,3,138,1,1,1,0.766524520255864,10,1,1
AGAP009792,2,AGAP009792__SITE02;AGAP009792__SITE05,2,194,1,1,1,0.923773987206823,10,1,1
AGAP009792,3,AGAP009792__SITE02;AGAP009792__SITE03;AGAP009792__SITE05,3,194,1,1,1,0.284648187633262,10,1,1
AGAP009921,2,AGAP009921__SITE03;AGAP009921__SITE04,2,55,1,1,1,0.963219616204691,10,1,1
AGAP009921,3,AGAP009921__SITE03;AGAP009921__SITE04;AGAP009921__SITE05,3,97,1,1,1,0.950426439232409,10,1,1
AGAP009936,2,AGAP009936__SITE03;AGAP009936__SITE04,2,34,1,1,1,0.988272921108742,10,1,1
AGAP009936,3,AGAP009936__SITE02;AGAP009936__SITE03;AGAP009936__SITE04,3,35,1,1,1,0.988272921108742,10,1,1
AGAP010175,2,AGAP010175__SITE03;AGAP010175__SITE04,2,96,1,1,1,0.990405117270789,10,1,1
AGAP010175,3,AGAP010175__SITE02;AGAP010175__SITE03;AGAP010175__SITE04,3,102,1,1,1,0.990405117270789,10,1,1
AGAP010197,2,AGAP010197__SITE01;AGAP010197__SITE02,2,40,1,1,1,0.997867803837953,10,1,1
AGAP010197,3,AGAP010197__SITE01;AGAP010197__SITE02;AGAP010197__SITE03,3,98,1,1,1,0.9136460554371,10,1,1
AGAP010219,2,AGAP010219__SITE04;AGAP010219__SITE05,2,47,1,1,1,0.968017057569296,10,1,1
AGAP010219,3,AGAP010219__SITE01;AGAP010219__SITE02;AGAP010219__SITE03,3,188,1,1,1,0.946695095948827,10,1,1
AGAP010220,2,AGAP010220__SITE01;AGAP010220__SITE02,2,46,1,1,1,0.950959488272921,10,1,1
AGAP010220,3,AGAP010220__SITE01;AGAP010220__SITE02;AGAP010220__SITE03,3,47,1,1,1,0.950959488272921,10,1,1
AGAP010313,2,AGAP010313__SITE04;AGAP010313__SITE05,2,42,1,1,1,0.998400852878465,10,1,1
AGAP010313,3,AGAP010313__SITE02;AGAP010313__SITE03;AGAP010313__SITE04,3,127,1,1,1,0.998400852878465,10,1,1
AGAP010380,2,AGAP010380__SITE01;AGAP010380__SITE02,2,54,1,1,1,1,10,1,1
AGAP010380,3,AGAP010380__SITE01;AGAP010380__SITE02;AGAP010380__SITE03,3,106,1,1,1,0.969616204690831,10,1,1
AGAP010453,2,AGAP010453__SITE02;AGAP010453__SITE03,2,48,1,1,1,0.950959488272921,10,1,1
AGAP010453,3,AGAP010453__SITE02;AGAP010453__SITE03;AGAP010453__SITE04,3,64,1,1,1,0.950959488272921,10,1,1
AGAP010711,2,AGAP010711__SITE03;AGAP010711__SITE04,2,212,1,1,1,0.979744136460554,10,1,1
AGAP010711,3,AGAP010711__SITE03;AGAP010711__SITE04;AGAP010711__SITE05,3,212,1,1,1,0.979744136460554,10,1,1
AGAP010722,2,AGAP010722__SITE01;AGAP010722__SITE02,2,52,1,1,1,0.495735607675906,10,1,1
AGAP010722,3,AGAP010722__SITE02;AGAP010722__SITE03;AGAP010722__SITE04,3,92,1,1,1,0.94136460554371,10,1,1
AGAP011204,2,AGAP011204__SITE02;AGAP011204__SITE04,2,47,0.987206823027719,0.962642339544513,1,0.696162046908316,10,0.981116795679985,1
AGAP011204,3,AGAP011204__SITE02;AGAP011204__SITE04;AGAP011204__SITE05,3,82,0.995202558635394,0.976527777777778,1,0.655650319829424,10,0.99007986851457,1
AGAP011377,2,AGAP011377__SITE04;AGAP011377__SITE05,2,53,0.999466950959488,0.997172619047619,1,0.8363539445629,10,0.998831956289979,1
AGAP011377,3,AGAP011377__SITE03;AGAP011377__SITE04;AGAP011377__SITE05,3,78,0.999466950959488,0.997172619047619,1,0.320362473347548,10,0.998831956289979,1
AGAP011849,2,AGAP011849__SITE04;AGAP011849__SITE05,2,250,1,1,1,0.893390191897655,10,1,1
AGAP011849,3,AGAP011849__SITE03;AGAP011849__SITE04;AGAP011849__SITE05,3,253,1,1,1,0.892857142857143,10,1,1
AGAP011938,2,AGAP011938__SITE02;AGAP011938__SITE03,2,320,1,1,1,0.893390191897655,10,1,1
AGAP011938,3,AGAP011938__SITE01;AGAP011938__SITE02;AGAP011938__SITE03,3,321,1,1,1,0.893390191897655,10,1,1
AGAP011966,2,AGAP011966__SITE01;AGAP011966__SITE04,2,121,1,1,1,0.980810234541578,10,1,1
AGAP011966,3,AGAP011966__SITE01;AGAP011966__SITE02;AGAP011966__SITE04,3,121,1,1,1,0.433368869936034,10,1,1
AGAP012142,2,AGAP012142__SITE03;AGAP012142__SITE04,2,136,1,1,1,0.858208955223881,10,1,1
AGAP012142,3,AGAP012142__SITE01;AGAP012142__SITE02;AGAP012142__SITE03,3,206,1,1,1,0.122601279317697,10,1,1
AGAP012424,2,AGAP012424__SITE04;AGAP012424__SITE05,2,30,1,1,1,1,10,1,1
AGAP012424,3,AGAP012424__SITE01;AGAP012424__SITE02;AGAP012424__SITE03,3,554,1,1,1,0.983475479744136,10,1,1
AGAP012991,2,AGAP012991__SITE03;AGAP012991__SITE04,2,33,1,1,1,0.9596018735363,9,1,1
AGAP012991,3,AGAP012991__SITE02;AGAP012991__SITE03;AGAP012991__SITE04,3,43,1,1,1,0.959016393442623,9,1,1
AGAP028779,2,AGAP028779__SITE04;AGAP028779__SITE05,2,24,0.999466950959488,0.998933782267116,1,0.999466950959488,10,0.999360305255827,1
AGAP028779,3,AGAP028779__SITE01;AGAP028779__SITE03;AGAP028779__SITE04,3,40,0.999466950959488,0.998933782267116,1,0.949360341151386,10,0.999360305255827,1
AGAP029982,2,AGAP029982__SITE02;AGAP029982__SITE03,2,76,1,1,1,0.965351812366738,10,1,1
AGAP029982,3,AGAP029982__SITE01;AGAP029982__SITE02;AGAP029982__SITE03,3,362,1,1,1,0.961087420042644,10,1,1
