population_site_id,gene_id,scenario,robust_under_scenario
AGAP001099__SITE02,AGAP001099,strict,TRUE
AGAP001099__SITE03,AGAP001099,strict,TRUE
AGAP001099__SITE04,AGAP001099,strict,TRUE
AGAP001099__SITE05,AGAP001099,strict,FALSE
AGAP006939__SITE01,AGAP006939,strict,FALSE
AGAP006939__SITE02,AGAP006939,strict,FALSE
AGAP006939__SITE03,AGAP006939,strict,FALSE
AGAP006939__SITE04,AGAP006939,strict,FALSE
AGAP006939__SITE05,AGAP006939,strict,FALSE
AGAP004957__SITE01,AGAP004957,strict,FALSE
AGAP004957__SITE02,AGAP004957,strict,FALSE
AGAP004957__SITE03,AGAP004957,strict,FALSE
AGAP004957__SITE04,AGAP004957,strict,FALSE
AGAP004957__SITE05,AGAP004957,strict,TRUE
AGAP010175__SITE01,AGAP010175,strict,FALSE
AGAP010175__SITE02,AGAP010175,strict,FALSE
AGAP010175__SITE03,AGAP010175,strict,FALSE
AGAP010175__SITE04,AGAP010175,strict,TRUE
AGAP010175__SITE05,AGAP010175,strict,FALSE
AGAP007280__SITE01,AGAP007280,strict,FALSE
AGAP007280__SITE02,AGAP007280,strict,FALSE
AGAP007280__SITE03,AGAP007280,strict,FALSE
AGAP007280__SITE04,AGAP007280,strict,FALSE
AGAP007280__SITE05,AGAP007280,strict,TRUE
AGAP001135__SITE01,AGAP001135,strict,TRUE
AGAP001135__SITE02,AGAP001135,strict,FALSE
AGAP001135__SITE03,AGAP001135,strict,FALSE
AGAP001135__SITE04,AGAP001135,strict,FALSE
AGAP001135__SITE05,AGAP001135,strict,FALSE
AGAP009048__SITE01,AGAP009048,strict,FALSE
AGAP009048__SITE02,AGAP009048,strict,FALSE
AGAP009048__SITE03,AGAP009048,strict,FALSE
AGAP009048__SITE04,AGAP009048,strict,FALSE
AGAP009048__SITE05,AGAP009048,strict,FALSE
AGAP010313__SITE01,AGAP010313,strict,TRUE
AGAP010313__SITE02,AGAP010313,strict,TRUE
AGAP010313__SITE03,AGAP010313,strict,TRUE
AGAP010313__SITE04,AGAP010313,strict,TRUE
AGAP010313__SITE05,AGAP010313,strict,TRUE
AGAP009338__SITE01,AGAP009338,strict,FALSE
AGAP009338__SITE02,AGAP009338,strict,FALSE
AGAP009338__SITE03,AGAP009338,strict,FALSE
AGAP009338__SITE04,AGAP009338,strict,FALSE
AGAP009338__SITE05,AGAP009338,strict,FALSE
AGAP001015__SITE01,AGAP001015,strict,FALSE
AGAP001015__SITE02,AGAP001015,strict,TRUE
AGAP001015__SITE03,AGAP001015,strict,FALSE
AGAP001015__SITE04,AGAP001015,strict,FALSE
AGAP001015__SITE05,AGAP001015,strict,TRUE
AGAP010219__SITE01,AGAP010219,strict,FALSE
AGAP010219__SITE02,AGAP010219,strict,FALSE
AGAP010219__SITE03,AGAP010219,strict,FALSE
AGAP010219__SITE04,AGAP010219,strict,FALSE
AGAP010219__SITE05,AGAP010219,strict,TRUE
AGAP008191__SITE01,AGAP008191,strict,FALSE
AGAP008191__SITE02,AGAP008191,strict,FALSE
AGAP008191__SITE03,AGAP008191,strict,FALSE
AGAP008191__SITE04,AGAP008191,strict,FALSE
AGAP008191__SITE05,AGAP008191,strict,FALSE
AGAP005871__SITE01,AGAP005871,strict,TRUE
AGAP005871__SITE02,AGAP005871,strict,FALSE
AGAP005871__SITE03,AGAP005871,strict,FALSE
AGAP005871__SITE04,AGAP005871,strict,FALSE
AGAP005871__SITE05,AGAP005871,strict,FALSE
AGAP008015__SITE01,AGAP008015,strict,FALSE
AGAP008015__SITE02,AGAP008015,strict,FALSE
AGAP008015__SITE03,AGAP008015,strict,FALSE
AGAP008015__SITE04,AGAP008015,strict,TRUE
AGAP008015__SITE05,AGAP008015,strict,FALSE
AGAP004078__SITE01,AGAP004078,strict,FALSE
AGAP004078__SITE02,AGAP004078,strict,FALSE
AGAP004078__SITE03,AGAP004078,strict,FALSE
AGAP004078__SITE04,AGAP004078,strict,FALSE
AGAP004078__SITE05,AGAP004078,strict,FALSE
AGAP004852__SITE01,AGAP004852,strict,FALSE
AGAP004852__SITE02,AGAP004852,strict,FALSE
AGAP004852__SITE03,AGAP004852,strict,FALSE
AGAP004852__SITE04,AGAP004852,strict,TRUE
AGAP004852__SITE05,AGAP004852,strict,FALSE
AGAP012424__SITE01,AGAP012424,strict,FALSE
AGAP012424__SITE02,AGAP012424,strict,FALSE
AGAP012424__SITE03,AGAP012424,strict,TRUE
AGAP012424__SITE04,AGAP012424,strict,TRUE
AGAP012424__SITE05,AGAP012424,strict,TRUE
AGAP007775__SITE01,AGAP007775,strict,FALSE
AGAP007775__SITE02,AGAP007775,strict,FALSE
AGAP007775__SITE03,AGAP007775,strict,FALSE
AGAP007775__SITE04,AGAP007775,strict,FALSE
AGAP007775__SITE05,AGAP007775,strict,FALSE
AGAP010722__SITE01,AGAP010722,strict,FALSE
AGAP010722__SITE02,AGAP010722,strict,FALSE
AGAP010722__SITE03,AGAP010722,strict,TRUE
AGAP010722__SITE04,AGAP010722,strict,FALSE
AGAP010722__SITE05,AGAP010722,strict,FALSE
AGAP009792__SITE01,AGAP009792,strict,FALSE
AGAP009792__SITE02,AGAP009792,strict,FALSE
AGAP009792__SITE03,AGAP009792,strict,FALSE
AGAP009792__SITE04,AGAP009792,strict,FALSE
AGAP009792__SITE05,AGAP009792,strict,FALSE
AGAP000999__SITE01,AGAP000999,strict,FALSE
AGAP000999__SITE02,AGAP000999,strict,FALSE
AGAP000999__SITE03,AGAP000999,strict,FALSE
AGAP000999__SITE04,AGAP000999,strict,FALSE
AGAP000999__SITE05,AGAP000999,strict,FALSE
AGAP007217__SITE01,AGAP007217,strict,FALSE
AGAP007217__SITE02,AGAP007217,strict,FALSE
AGAP007217__SITE03,AGAP007217,strict,FALSE
AGAP007217__SITE04,AGAP007217,strict,FALSE
AGAP007217__SITE05,AGAP007217,strict,TRUE
AGAP009091__SITE01,AGAP009091,strict,FALSE
AGAP009091__SITE02,AGAP009091,strict,FALSE
AGAP009091__SITE03,AGAP009091,strict,FALSE
AGAP009091__SITE04,AGAP009091,strict,FALSE
AGAP009091__SITE05,AGAP009091,strict,FALSE
AGAP006989__SITE01,AGAP006989,strict,TRUE
AGAP006989__SITE02,AGAP006989,strict,FALSE
AGAP006989__SITE03,AGAP006989,strict,FALSE
AGAP006989__SITE04,AGAP006989,strict,FALSE
AGAP006989__SITE05,AGAP006989,strict,FALSE
AGAP005062__SITE01,AGAP005062,strict,TRUE
AGAP005062__SITE02,AGAP005062,strict,FALSE
AGAP005062__SITE03,AGAP005062,strict,TRUE
AGAP005062__SITE04,AGAP005062,strict,TRUE
AGAP005062__SITE05,AGAP005062,strict,FALSE
AGAP008118__SITE01,AGAP008118,strict,FALSE
AGAP008118__SITE02,AGAP008118,strict,FALSE
AGAP008118__SITE03,AGAP008118,strict,TRUE
AGAP008118__SITE04,AGAP008118,strict,FALSE
AGAP008118__SITE05,AGAP008118,strict,FALSE
AGAP000099__SITE01,AGAP000099,strict,FALSE
AGAP000099__SITE02,AGAP000099,strict,FALSE
AGAP000099__SITE03,AGAP000099,strict,FALSE
AGAP000099__SITE04,AGAP000099,strict,TRUE
AGAP000099__SITE05,AGAP000099,strict,TRUE
AGAP004239__SITE01,AGAP004239,strict,FALSE
AGAP004239__SITE02,AGAP004239,strict,FALSE
AGAP004239__SITE03,AGAP004239,strict,FALSE
AGAP004239__SITE04,AGAP004239,strict,FALSE
AGAP004239__SITE05,AGAP004239,strict,FALSE
AGAP006935__SITE01,AGAP006935,strict,FALSE
AGAP006935__SITE02,AGAP006935,strict,FALSE
AGAP006935__SITE03,AGAP006935,strict,FALSE
AGAP006935__SITE04,AGAP006935,strict,FALSE
AGAP006935__SITE05,AGAP006935,strict,FALSE
AGAP007365__SITE01,AGAP007365,strict,FALSE
AGAP007365__SITE02,AGAP007365,strict,FALSE
AGAP007365__SITE03,AGAP007365,strict,FALSE
AGAP007365__SITE04,AGAP007365,strict,FALSE
AGAP007365__SITE05,AGAP007365,strict,FALSE
AGAP007122__SITE01,AGAP007122,strict,TRUE
AGAP007122__SITE02,AGAP007122,strict,TRUE
AGAP007122__SITE03,AGAP007122,strict,TRUE
AGAP007122__SITE04,AGAP007122,strict,TRUE
AGAP007122__SITE05,AGAP007122,strict,TRUE
AGAP011938__SITE01,AGAP011938,strict,FALSE
AGAP011938__SITE02,AGAP011938,strict,FALSE
AGAP011938__SITE03,AGAP011938,strict,FALSE
AGAP011938__SITE04,AGAP011938,strict,FALSE
AGAP011938__SITE05,AGAP011938,strict,TRUE
AGAP007333__SITE01,AGAP007333,strict,FALSE
AGAP007333__SITE02,AGAP007333,strict,TRUE
AGAP007333__SITE03,AGAP007333,strict,FALSE
AGAP007333__SITE04,AGAP007333,strict,TRUE
AGAP007333__SITE05,AGAP007333,strict,TRUE
AGAP007063__SITE01,AGAP007063,strict,FALSE
AGAP007063__SITE02,AGAP007063,strict,FALSE
AGAP007063__SITE03,AGAP007063,strict,FALSE
AGAP007063__SITE04,AGAP007063,strict,FALSE
AGAP007063__SITE05,AGAP007063,strict,FALSE
AGAP007896__SITE01,AGAP007896,strict,FALSE
AGAP007896__SITE02,AGAP007896,strict,FALSE
AGAP007896__SITE03,AGAP007896,strict,FALSE
AGAP007896__SITE04,AGAP007896,strict,FALSE
AGAP007896__SITE05,AGAP007896,strict,FALSE
AGAP005406__SITE01,AGAP005406,strict,FALSE
AGAP005406__SITE02,AGAP005406,strict,FALSE
AGAP005406__SITE03,AGAP005406,strict,FALSE
AGAP005406__SITE04,AGAP005406,strict,FALSE
AGAP005406__SITE05,AGAP005406,strict,FALSE
AGAP005959__SITE01,AGAP005959,strict,FALSE
AGAP005959__SITE02,AGAP005959,strict,FALSE
AGAP005959__SITE03,AGAP005959,strict,TRUE
AGAP005959__SITE04,AGAP005959,strict,FALSE
AGAP005959__SITE05,AGAP005959,strict,FALSE
AGAP011849__SITE01,AGAP011849,strict,TRUE
AGAP011849__SITE02,AGAP011849,strict,FALSE
AGAP011849__SITE03,AGAP011849,strict,FALSE
AGAP011849__SITE04,AGAP011849,strict,FALSE
AGAP011849__SITE05,AGAP011849,strict,TRUE
AGAP005874__SITE01,AGAP005874,strict,FALSE
AGAP005874__SITE02,AGAP005874,strict,TRUE
AGAP005874__SITE03,AGAP005874,strict,TRUE
AGAP005874__SITE04,AGAP005874,strict,FALSE
AGAP005874__SITE05,AGAP005874,strict,FALSE
AGAP010380__SITE01,AGAP010380,strict,TRUE
AGAP010380__SITE02,AGAP010380,strict,TRUE
AGAP010380__SITE03,AGAP010380,strict,FALSE
AGAP010380__SITE04,AGAP010380,strict,FALSE
AGAP010380__SITE05,AGAP010380,strict,FALSE
AGAP004467__SITE01,AGAP004467,strict,FALSE
AGAP004467__SITE02,AGAP004467,strict,FALSE
AGAP004467__SITE03,AGAP004467,strict,FALSE
AGAP004467__SITE04,AGAP004467,strict,FALSE
AGAP004467__SITE05,AGAP004467,strict,FALSE
AGAP004685__SITE01,AGAP004685,strict,FALSE
AGAP004685__SITE02,AGAP004685,strict,FALSE
AGAP004685__SITE03,AGAP004685,strict,FALSE
AGAP004685__SITE04,AGAP004685,strict,TRUE
AGAP004685__SITE05,AGAP004685,strict,TRUE
AGAP004502__SITE01,AGAP004502,strict,TRUE
AGAP004502__SITE02,AGAP004502,strict,TRUE
AGAP004502__SITE03,AGAP004502,strict,FALSE
AGAP004502__SITE04,AGAP004502,strict,TRUE
AGAP004502__SITE05,AGAP004502,strict,FALSE
AGAP004699__SITE01,AGAP004699,strict,TRUE
AGAP004699__SITE02,AGAP004699,strict,TRUE
AGAP004699__SITE03,AGAP004699,strict,TRUE
AGAP004699__SITE04,AGAP004699,strict,TRUE
AGAP004699__SITE05,AGAP004699,strict,TRUE
AGAP002171__SITE01,AGAP002171,strict,FALSE
AGAP002171__SITE02,AGAP002171,strict,FALSE
AGAP002171__SITE03,AGAP002171,strict,FALSE
AGAP002171__SITE04,AGAP002171,strict,FALSE
AGAP002171__SITE05,AGAP002171,strict,FALSE
AGAP009515__SITE01,AGAP009515,strict,FALSE
AGAP009515__SITE02,AGAP009515,strict,FALSE
AGAP009515__SITE03,AGAP009515,strict,FALSE
AGAP009515__SITE04,AGAP009515,strict,TRUE
AGAP009515__SITE05,AGAP009515,strict,TRUE
AGAP029982__SITE01,AGAP029982,strict,TRUE
AGAP029982__SITE02,AGAP029982,strict,FALSE
AGAP029982__SITE03,AGAP029982,strict,FALSE
AGAP029982__SITE04,AGAP029982,strict,FALSE
AGAP029982__SITE05,AGAP029982,strict,FALSE
AGAP009232__SITE01,AGAP009232,strict,FALSE
AGAP009232__SITE02,AGAP009232,strict,FALSE
AGAP009232__SITE03,AGAP009232,strict,FALSE
AGAP009232__SITE04,AGAP009232,strict,FALSE
AGAP009232__SITE05,AGAP009232,strict,FALSE
AGAP005958__SITE01,AGAP005958,strict,FALSE
AGAP005958__SITE02,AGAP005958,strict,FALSE
AGAP005958__SITE03,AGAP005958,strict,TRUE
AGAP005958__SITE04,AGAP005958,strict,FALSE
AGAP005958__SITE05,AGAP005958,strict,FALSE
AGAP006241__SITE01,AGAP006241,strict,FALSE
AGAP006241__SITE02,AGAP006241,strict,FALSE
AGAP006241__SITE03,AGAP006241,strict,FALSE
AGAP006241__SITE04,AGAP006241,strict,FALSE
AGAP006241__SITE05,AGAP006241,strict,FALSE
AGAP009782__SITE01,AGAP009782,strict,FALSE
AGAP009782__SITE02,AGAP009782,strict,FALSE
AGAP009782__SITE03,AGAP009782,strict,TRUE
AGAP009782__SITE04,AGAP009782,strict,FALSE
AGAP009782__SITE05,AGAP009782,strict,FALSE
AGAP002475__SITE01,AGAP002475,strict,FALSE
AGAP002475__SITE02,AGAP002475,strict,FALSE
AGAP002475__SITE03,AGAP002475,strict,FALSE
AGAP002475__SITE04,AGAP002475,strict,FALSE
AGAP002475__SITE05,AGAP002475,strict,FALSE
AGAP001526__SITE01,AGAP001526,strict,FALSE
AGAP001526__SITE02,AGAP001526,strict,FALSE
AGAP001526__SITE03,AGAP001526,strict,FALSE
AGAP001526__SITE04,AGAP001526,strict,FALSE
AGAP001526__SITE05,AGAP001526,strict,FALSE
AGAP008381__SITE01,AGAP008381,strict,FALSE
AGAP008381__SITE02,AGAP008381,strict,FALSE
AGAP008381__SITE03,AGAP008381,strict,FALSE
AGAP008381__SITE04,AGAP008381,strict,FALSE
AGAP008381__SITE05,AGAP008381,strict,FALSE
AGAP000399__SITE01,AGAP000399,strict,FALSE
AGAP000399__SITE02,AGAP000399,strict,TRUE
AGAP000399__SITE03,AGAP000399,strict,FALSE
AGAP000399__SITE04,AGAP000399,strict,TRUE
AGAP000399__SITE05,AGAP000399,strict,TRUE
AGAP010197__SITE01,AGAP010197,strict,TRUE
AGAP010197__SITE02,AGAP010197,strict,TRUE
AGAP010197__SITE03,AGAP010197,strict,FALSE
AGAP010197__SITE04,AGAP010197,strict,FALSE
AGAP010197__SITE05,AGAP010197,strict,FALSE
AGAP007855__SITE01,AGAP007855,strict,FALSE
AGAP007855__SITE02,AGAP007855,strict,TRUE
AGAP007855__SITE03,AGAP007855,strict,TRUE
AGAP007855__SITE04,AGAP007855,strict,FALSE
AGAP007855__SITE05,AGAP007855,strict,FALSE
AGAP005130__SITE01,AGAP005130,strict,FALSE
AGAP005130__SITE02,AGAP005130,strict,TRUE
AGAP005130__SITE03,AGAP005130,strict,TRUE
AGAP005130__SITE04,AGAP005130,strict,TRUE
AGAP005130__SITE05,AGAP005130,strict,FALSE
AGAP004962__SITE01,AGAP004962,strict,TRUE
AGAP004962__SITE02,AGAP004962,strict,FALSE
AGAP004962__SITE03,AGAP004962,strict,FALSE
AGAP004962__SITE04,AGAP004962,strict,FALSE
AGAP004962__SITE05,AGAP004962,strict,FALSE
AGAP003594__SITE01,AGAP003594,strict,TRUE
AGAP003594__SITE02,AGAP003594,strict,FALSE
AGAP003594__SITE03,AGAP003594,strict,FALSE
AGAP003594__SITE04,AGAP003594,strict,FALSE
AGAP003594__SITE05,AGAP003594,strict,FALSE
AGAP004729__SITE01,AGAP004729,strict,FALSE
AGAP004729__SITE02,AGAP004729,strict,FALSE
AGAP004729__SITE03,AGAP004729,strict,TRUE
AGAP004729__SITE04,AGAP004729,strict,TRUE
AGAP004729__SITE05,AGAP004729,strict,TRUE
AGAP007570__SITE01,AGAP007570,strict,FALSE
AGAP007570__SITE02,AGAP007570,strict,FALSE
AGAP007570__SITE03,AGAP007570,strict,FALSE
AGAP007570__SITE04,AGAP007570,strict,FALSE
AGAP007570__SITE05,AGAP007570,strict,FALSE
AGAP000627__SITE01,AGAP000627,strict,TRUE
AGAP000627__SITE02,AGAP000627,strict,TRUE
AGAP000627__SITE03,AGAP000627,strict,TRUE
AGAP000627__SITE04,AGAP000627,strict,TRUE
AGAP000627__SITE05,AGAP000627,strict,TRUE
AGAP009936__SITE01,AGAP009936,strict,FALSE
AGAP009936__SITE02,AGAP009936,strict,TRUE
AGAP009936__SITE03,AGAP009936,strict,TRUE
AGAP009936__SITE04,AGAP009936,strict,FALSE
AGAP009936__SITE05,AGAP009936,strict,FALSE
AGAP007938__SITE01,AGAP007938,strict,TRUE
AGAP007938__SITE02,AGAP007938,strict,TRUE
AGAP007938__SITE03,AGAP007938,strict,TRUE
AGAP007938__SITE04,AGAP007938,strict,TRUE
AGAP007938__SITE05,AGAP007938,strict,TRUE
AGAP004521__SITE01,AGAP004521,strict,FALSE
AGAP004521__SITE02,AGAP004521,strict,FALSE
AGAP004521__SITE03,AGAP004521,strict,FALSE
AGAP004521__SITE04,AGAP004521,strict,FALSE
AGAP004521__SITE05,AGAP004521,strict,FALSE
AGAP007729__SITE01,AGAP007729,strict,FALSE
AGAP007729__SITE02,AGAP007729,strict,TRUE
AGAP007729__SITE03,AGAP007729,strict,TRUE
AGAP007729__SITE04,AGAP007729,strict,TRUE
AGAP007729__SITE05,AGAP007729,strict,TRUE
AGAP012142__SITE01,AGAP012142,strict,FALSE
AGAP012142__SITE02,AGAP012142,strict,FALSE
AGAP012142__SITE03,AGAP012142,strict,TRUE
AGAP012142__SITE04,AGAP012142,strict,FALSE
AGAP012142__SITE05,AGAP012142,strict,FALSE
AGAP006233__SITE01,AGAP006233,strict,FALSE
AGAP006233__SITE02,AGAP006233,strict,FALSE
AGAP006233__SITE03,AGAP006233,strict,FALSE
AGAP006233__SITE04,AGAP006233,strict,FALSE
AGAP006233__SITE05,AGAP006233,strict,FALSE
AGAP004057__SITE01,AGAP004057,strict,FALSE
AGAP004057__SITE02,AGAP004057,strict,FALSE
AGAP004057__SITE03,AGAP004057,strict,FALSE
AGAP004057__SITE04,AGAP004057,strict,FALSE
AGAP004057__SITE05,AGAP004057,strict,FALSE
AGAP012991__SITE01,AGAP012991,strict,FALSE
AGAP012991__SITE02,AGAP012991,strict,TRUE
AGAP012991__SITE03,AGAP012991,strict,TRUE
AGAP012991__SITE04,AGAP012991,strict,FALSE
AGAP012991__SITE05,AGAP012991,strict,FALSE
AGAP004739__SITE01,AGAP004739,strict,FALSE
AGAP004739__SITE02,AGAP004739,strict,FALSE
AGAP004739__SITE03,AGAP004739,strict,FALSE
AGAP004739__SITE04,AGAP004739,strict,FALSE
AGAP004739__SITE05,AGAP004739,strict,TRUE
AGAP008578__SITE01,AGAP008578,strict,FALSE
AGAP008578__SITE02,AGAP008578,strict,FALSE
AGAP008578__SITE03,AGAP008578,strict,FALSE
AGAP008578__SITE04,AGAP008578,strict,TRUE
AGAP008578__SITE05,AGAP008578,strict,TRUE
AGAP010220__SITE01,AGAP010220,strict,FALSE
AGAP010220__SITE02,AGAP010220,strict,FALSE
AGAP010220__SITE03,AGAP010220,strict,FALSE
AGAP010220__SITE04,AGAP010220,strict,FALSE
AGAP010220__SITE05,AGAP010220,strict,FALSE
AGAP005920__SITE01,AGAP005920,strict,FALSE
AGAP005920__SITE02,AGAP005920,strict,TRUE
AGAP005920__SITE03,AGAP005920,strict,FALSE
AGAP005920__SITE04,AGAP005920,strict,TRUE
AGAP005920__SITE05,AGAP005920,strict,TRUE
AGAP001108__SITE01,AGAP001108,strict,TRUE
AGAP001108__SITE02,AGAP001108,strict,FALSE
AGAP001108__SITE03,AGAP001108,strict,FALSE
AGAP001108__SITE04,AGAP001108,strict,FALSE
AGAP001108__SITE05,AGAP001108,strict,TRUE
AGAP010453__SITE01,AGAP010453,strict,FALSE
AGAP010453__SITE02,AGAP010453,strict,FALSE
AGAP010453__SITE03,AGAP010453,strict,FALSE
AGAP010453__SITE04,AGAP010453,strict,FALSE
AGAP010453__SITE05,AGAP010453,strict,TRUE
AGAP006098__SITE01,AGAP006098,strict,FALSE
AGAP006098__SITE02,AGAP006098,strict,FALSE
AGAP006098__SITE03,AGAP006098,strict,FALSE
AGAP006098__SITE04,AGAP006098,strict,FALSE
AGAP006098__SITE05,AGAP006098,strict,FALSE
AGAP012461__SITE01,AGAP012461,strict,FALSE
AGAP012461__SITE02,AGAP012461,strict,FALSE
AGAP012461__SITE03,AGAP012461,strict,FALSE
AGAP012461__SITE04,AGAP012461,strict,FALSE
AGAP012461__SITE05,AGAP012461,strict,FALSE
AGAP006766__SITE01,AGAP006766,strict,TRUE
AGAP006766__SITE02,AGAP006766,strict,FALSE
AGAP006766__SITE03,AGAP006766,strict,FALSE
AGAP006766__SITE04,AGAP006766,strict,FALSE
AGAP006766__SITE05,AGAP006766,strict,FALSE
AGAP012499__SITE01,AGAP012499,strict,FALSE
AGAP012499__SITE02,AGAP012499,strict,FALSE
AGAP012499__SITE03,AGAP012499,strict,FALSE
AGAP012499__SITE04,AGAP012499,strict,FALSE
AGAP012499__SITE05,AGAP012499,strict,FALSE
AGAP007965__SITE01,AGAP007965,strict,FALSE
AGAP007965__SITE02,AGAP007965,strict,FALSE
AGAP007965__SITE03,AGAP007965,strict,FALSE
AGAP007965__SITE04,AGAP007965,strict,FALSE
AGAP007965__SITE05,AGAP007965,strict,FALSE
AGAP012519__SITE01,AGAP012519,strict,FALSE
AGAP012519__SITE02,AGAP012519,strict,FALSE
AGAP012519__SITE03,AGAP012519,strict,FALSE
AGAP012519__SITE04,AGAP012519,strict,FALSE
AGAP012519__SITE05,AGAP012519,strict,FALSE
AGAP007031__SITE01,AGAP007031,strict,FALSE
AGAP007031__SITE02,AGAP007031,strict,FALSE
AGAP007031__SITE03,AGAP007031,strict,FALSE
AGAP007031__SITE04,AGAP007031,strict,FALSE
AGAP007031__SITE05,AGAP007031,strict,FALSE
AGAP011377__SITE01,AGAP011377,strict,FALSE
