gene_id,primary_gene_score,primary_class,primary_rank,recalculated_gene_score,recalculated_class,recalculated_rank,abs_score_difference,class_matches,rank_matches
AGAP004057,0.972413723308922,MULTIPLEX_RESCUABLE,99,0.972413723308921,MULTIPLEX_RESCUABLE,99,8.88178419700125e-16,TRUE,TRUE
AGAP004078,0.974578599957957,MULTIPLEX_RESCUABLE,88,0.974578599957957,MULTIPLEX_RESCUABLE,88,3.33066907387547e-16,TRUE,TRUE
AGAP004239,0.972775934031764,MULTIPLEX_RESCUABLE,91,0.972775934031764,MULTIPLEX_RESCUABLE,91,3.33066907387547e-16,TRUE,TRUE
AGAP004467,0.96913186955561,MULTIPLEX_RESCUABLE,95,0.96913186955561,MULTIPLEX_RESCUABLE,95,2.22044604925031e-16,TRUE,TRUE
AGAP004502,1,HIGHLY_ROBUST,47,1,HIGHLY_ROBUST,47,0,TRUE,TRUE
AGAP004521,0.986713798827128,HIGHLY_ROBUST,67,0.986713798827128,HIGHLY_ROBUST,67,2.22044604925031e-16,TRUE,TRUE
AGAP004685,1,HIGHLY_ROBUST,46,1,HIGHLY_ROBUST,46,0,TRUE,TRUE
AGAP004699,1,HIGHLY_ROBUST,48,1,HIGHLY_ROBUST,48,0,TRUE,TRUE
AGAP004729,1,HIGHLY_ROBUST,63,1,HIGHLY_ROBUST,63,0,TRUE,TRUE
AGAP004739,1,HIGHLY_ROBUST,71,1,HIGHLY_ROBUST,71,0,TRUE,TRUE
AGAP004825,0.993985052416489,HIGHLY_ROBUST,4,0.993985052416489,HIGHLY_ROBUST,4,0,TRUE,TRUE
AGAP004852,1,HIGHLY_ROBUST,29,1,HIGHLY_ROBUST,29,0,TRUE,TRUE
AGAP004957,0.996757063640132,HIGHLY_ROBUST,18,0.996757063640133,HIGHLY_ROBUST,18,7.7715611723761e-16,TRUE,TRUE
AGAP004962,0.997464947987336,INTERMEDIATE,101,0.997464947987336,INTERMEDIATE,101,1.11022302462516e-16,TRUE,TRUE
AGAP005062,1,HIGHLY_ROBUST,36,1,HIGHLY_ROBUST,36,0,TRUE,TRUE
AGAP005127,0.996812342295898,HIGHLY_ROBUST,14,0.996812342295898,HIGHLY_ROBUST,14,1.11022302462516e-16,TRUE,TRUE
AGAP005130,0.998762677353971,HIGHLY_ROBUST,61,0.998762677353971,HIGHLY_ROBUST,61,0,TRUE,TRUE
AGAP005321,0.993156767720752,HIGHLY_ROBUST,16,0.993156767720752,HIGHLY_ROBUST,16,3.33066907387547e-16,TRUE,TRUE
AGAP005406,0.9230771828115,MULTIPLEX_RESCUABLE,94,0.9230771828115,MULTIPLEX_RESCUABLE,94,3.33066907387547e-16,TRUE,TRUE
AGAP005763,0.993642496224236,HIGHLY_ROBUST,8,0.993642496224236,HIGHLY_ROBUST,8,0,TRUE,TRUE
AGAP005871,0.998867798687721,HIGHLY_ROBUST,27,0.998867798687721,HIGHLY_ROBUST,27,3.33066907387547e-16,TRUE,TRUE
AGAP005874,0.999125196030716,HIGHLY_ROBUST,44,0.999125196030716,HIGHLY_ROBUST,44,1.11022302462516e-16,TRUE,TRUE
AGAP005917,0.999316381057674,HIGHLY_ROBUST,2,0.999316381057675,HIGHLY_ROBUST,2,7.7715611723761e-16,TRUE,TRUE
AGAP005920,0.997552720524362,HIGHLY_ROBUST,74,0.997552720524362,HIGHLY_ROBUST,74,3.33066907387547e-16,TRUE,TRUE
AGAP005958,0.994980672143939,HIGHLY_ROBUST,53,0.994980672143939,HIGHLY_ROBUST,53,3.33066907387547e-16,TRUE,TRUE
AGAP005959,0.996921155743541,HIGHLY_ROBUST,42,0.996921155743541,HIGHLY_ROBUST,42,2.22044604925031e-16,TRUE,TRUE
AGAP006098,0.983352351435112,HIGHLY_ROBUST,77,0.983352351435112,HIGHLY_ROBUST,77,1.11022302462516e-16,TRUE,TRUE
AGAP006233,0.981218988391376,MULTIPLEX_RESCUABLE,98,0.981218988391377,MULTIPLEX_RESCUABLE,98,5.55111512312578e-16,TRUE,TRUE
AGAP006241,0.994278409196255,HIGHLY_ROBUST,54,0.994278409196255,HIGHLY_ROBUST,54,2.22044604925031e-16,TRUE,TRUE
AGAP006766,0.995019868630451,HIGHLY_ROBUST,78,0.99501986863045,HIGHLY_ROBUST,78,8.88178419700125e-16,TRUE,TRUE
AGAP006935,0.393159097476326,CONCERN,102,0.393159097476326,CONCERN,102,4.9960036108132e-16,TRUE,TRUE
AGAP006939,0.977194586558666,MULTIPLEX_RESCUABLE,86,0.977194586558666,MULTIPLEX_RESCUABLE,86,3.33066907387547e-16,TRUE,TRUE
AGAP006989,0.996010923507462,HIGHLY_ROBUST,35,0.996010923507463,HIGHLY_ROBUST,35,5.55111512312578e-16,TRUE,TRUE
AGAP007031,0.993763810025957,HIGHLY_ROBUST,80,0.993763810025957,HIGHLY_ROBUST,80,2.22044604925031e-16,TRUE,TRUE
AGAP007063,0.979353745357719,MULTIPLEX_RESCUABLE,92,0.979353745357719,MULTIPLEX_RESCUABLE,92,5.55111512312578e-16,TRUE,TRUE
AGAP007122,0.998252854273234,HIGHLY_ROBUST,39,0.998252854273235,HIGHLY_ROBUST,39,7.7715611723761e-16,TRUE,TRUE
AGAP007217,0.995243827688035,HIGHLY_ROBUST,33,0.995243827688035,HIGHLY_ROBUST,33,0,TRUE,TRUE
AGAP007280,0.996966072961365,HIGHLY_ROBUST,20,0.996966072961365,HIGHLY_ROBUST,20,3.33066907387547e-16,TRUE,TRUE
AGAP007333,0.996514064721038,HIGHLY_ROBUST,41,0.996514064721038,HIGHLY_ROBUST,41,4.44089209850063e-16,TRUE,TRUE
AGAP007365,,UNRESOLVED,103,,UNRESOLVED,103,,TRUE,TRUE
AGAP007413,0.994835593963413,HIGHLY_ROBUST,6,0.994835593963413,HIGHLY_ROBUST,6,3.33066907387547e-16,TRUE,TRUE
AGAP007570,0.956349310949368,MULTIPLEX_RESCUABLE,97,0.956349310949369,MULTIPLEX_RESCUABLE,97,6.66133814775094e-16,TRUE,TRUE
AGAP007729,1,HIGHLY_ROBUST,68,1,HIGHLY_ROBUST,68,0,TRUE,TRUE
AGAP007775,0.941630870088659,MULTIPLEX_RESCUABLE,89,0.941630870088659,MULTIPLEX_RESCUABLE,89,3.33066907387547e-16,TRUE,TRUE
AGAP007855,0.997253320862618,HIGHLY_ROBUST,60,0.997253320862618,HIGHLY_ROBUST,60,2.22044604925031e-16,TRUE,TRUE
AGAP007896,0.942432594001396,MULTIPLEX_RESCUABLE,93,0.942432594001396,MULTIPLEX_RESCUABLE,93,2.22044604925031e-16,TRUE,TRUE
AGAP007938,0.995425148069178,HIGHLY_ROBUST,66,0.995425148069178,HIGHLY_ROBUST,66,1.11022302462516e-16,TRUE,TRUE
AGAP007965,0.978191805643146,HIGHLY_ROBUST,79,0.978191805643146,HIGHLY_ROBUST,79,2.22044604925031e-16,TRUE,TRUE
AGAP007999,0.99690381385072,HIGHLY_ROBUST,1,0.99690381385072,HIGHLY_ROBUST,1,1.11022302462516e-16,TRUE,TRUE
AGAP008015,0.997097674203388,HIGHLY_ROBUST,28,0.997097674203388,HIGHLY_ROBUST,28,2.22044604925031e-16,TRUE,TRUE
AGAP008118,0.998046947425141,HIGHLY_ROBUST,37,0.998046947425141,HIGHLY_ROBUST,37,4.44089209850063e-16,TRUE,TRUE
AGAP008191,0.994689604933908,HIGHLY_ROBUST,26,0.994689604933908,HIGHLY_ROBUST,26,3.33066907387547e-16,TRUE,TRUE
AGAP008381,0.862297865212627,MULTIPLEX_RESCUABLE,96,0.862297865212628,MULTIPLEX_RESCUABLE,96,4.44089209850063e-16,TRUE,TRUE
AGAP008578,0.997341141514649,HIGHLY_ROBUST,72,0.997341141514649,HIGHLY_ROBUST,72,1.11022302462516e-16,TRUE,TRUE
AGAP009048,0.993641708126036,HIGHLY_ROBUST,22,0.993641708126037,HIGHLY_ROBUST,22,5.55111512312578e-16,TRUE,TRUE
AGAP009091,0.994351197010699,HIGHLY_ROBUST,34,0.994351197010699,HIGHLY_ROBUST,34,1.11022302462516e-16,TRUE,TRUE
AGAP009232,0.992155292106318,HIGHLY_ROBUST,52,0.992155292106318,HIGHLY_ROBUST,52,2.22044604925031e-16,TRUE,TRUE
AGAP009338,0.881734920615112,MULTIPLEX_RESCUABLE,87,0.881734920615112,MULTIPLEX_RESCUABLE,87,0,TRUE,TRUE
AGAP009488,0.998680310204212,HIGHLY_ROBUST,13,0.998680310204212,HIGHLY_ROBUST,13,4.44089209850063e-16,TRUE,TRUE
AGAP009515,1,HIGHLY_ROBUST,50,1,HIGHLY_ROBUST,50,0,TRUE,TRUE
AGAP009600,0.99683425310044,HIGHLY_ROBUST,7,0.99683425310044,HIGHLY_ROBUST,7,3.33066907387547e-16,TRUE,TRUE
AGAP009782,0.996867490725592,HIGHLY_ROBUST,55,0.996867490725592,HIGHLY_ROBUST,55,3.33066907387547e-16,TRUE,TRUE
AGAP009792,0.994590428493603,HIGHLY_ROBUST,32,0.994590428493603,HIGHLY_ROBUST,32,2.22044604925031e-16,TRUE,TRUE
AGAP009921,0.998470938333694,HIGHLY_ROBUST,9,0.998470938333694,HIGHLY_ROBUST,9,2.22044604925031e-16,TRUE,TRUE
AGAP009936,0.997228991564437,HIGHLY_ROBUST,65,0.997228991564436,HIGHLY_ROBUST,65,7.7715611723761e-16,TRUE,TRUE
AGAP010175,0.997536383976855,HIGHLY_ROBUST,19,0.997536383976855,HIGHLY_ROBUST,19,0,TRUE,TRUE
AGAP010197,0.999316381057674,HIGHLY_ROBUST,59,0.999316381057675,HIGHLY_ROBUST,59,7.7715611723761e-16,TRUE,TRUE
AGAP010219,0.999658190528837,HIGHLY_ROBUST,25,0.999658190528837,HIGHLY_ROBUST,25,2.22044604925031e-16,TRUE,TRUE
AGAP010220,0.994932987307054,HIGHLY_ROBUST,73,0.994932987307054,HIGHLY_ROBUST,73,3.33066907387547e-16,TRUE,TRUE
AGAP010313,0.999408973650267,HIGHLY_ROBUST,23,0.999408973650267,HIGHLY_ROBUST,23,2.22044604925031e-16,TRUE,TRUE
AGAP010380,1,HIGHLY_ROBUST,45,1,HIGHLY_ROBUST,45,0,TRUE,TRUE
AGAP010453,0.997130045196552,HIGHLY_ROBUST,76,0.997130045196552,HIGHLY_ROBUST,76,4.44089209850063e-16,TRUE,TRUE
AGAP010711,0.994932987307054,HIGHLY_ROBUST,15,0.994932987307054,HIGHLY_ROBUST,15,3.33066907387547e-16,TRUE,TRUE
AGAP010722,0.99663532473502,HIGHLY_ROBUST,31,0.996635324735021,HIGHLY_ROBUST,31,5.55111512312578e-16,TRUE,TRUE
AGAP011204,0.88473518136543,MULTIPLEX_RESCUABLE,84,0.88473518136543,MULTIPLEX_RESCUABLE,84,3.33066907387547e-16,TRUE,TRUE
AGAP011377,0.961333949671286,MULTIPLEX_RESCUABLE,100,0.961333949671286,MULTIPLEX_RESCUABLE,100,2.22044604925031e-16,TRUE,TRUE
AGAP011849,0.996193623230004,HIGHLY_ROBUST,43,0.996193623230004,HIGHLY_ROBUST,43,1.11022302462516e-16,TRUE,TRUE
AGAP011938,0.997899234605741,HIGHLY_ROBUST,40,0.997899234605741,HIGHLY_ROBUST,40,0,TRUE,TRUE
AGAP011966,0.996064876880478,HIGHLY_ROBUST,3,0.996064876880479,HIGHLY_ROBUST,3,7.7715611723761e-16,TRUE,TRUE
AGAP012142,0.999658190528837,HIGHLY_ROBUST,69,0.999658190528837,HIGHLY_ROBUST,69,2.22044604925031e-16,TRUE,TRUE
AGAP012424,1,HIGHLY_ROBUST,30,1,HIGHLY_ROBUST,30,0,TRUE,TRUE
AGAP012461,,UNRESOLVED,104,,UNRESOLVED,104,,TRUE,TRUE
AGAP012499,,UNRESOLVED,105,,UNRESOLVED,105,,TRUE,TRUE
AGAP012519,,UNRESOLVED,106,,UNRESOLVED,106,,TRUE,TRUE
AGAP012991,0.997610238312082,HIGHLY_ROBUST,70,0.997610238312082,HIGHLY_ROBUST,70,5.55111512312578e-16,TRUE,TRUE
AGAP028779,0.99937032789396,HIGHLY_ROBUST,82,0.999370327893959,HIGHLY_ROBUST,82,4.44089209850063e-16,TRUE,TRUE
AGAP029982,0.996805850460002,HIGHLY_ROBUST,51,0.996805850460002,HIGHLY_ROBUST,51,4.44089209850063e-16,TRUE,TRUE
