population_site_id,primary_score,primary_class,recalculated_score,recalculated_class,abs_score_difference,class_matches
AGAP001135__SITE03,0.949012737668913,INTERMEDIATE,0.949012737668913,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP001135__SITE04,0.501544509594883,CONCERN,0.501544509594883,CONCERN,4.44089209850063e-16,TRUE
AGAP001135__SITE05,0.804550703880685,INTERMEDIATE,0.804550703880685,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP001526__SITE01,0.983244506360381,ROBUST,0.983244506360381,ROBUST,0,TRUE
AGAP001526__SITE02,0.469273694931141,CONCERN,0.469273694931141,CONCERN,2.22044604925031e-16,TRUE
AGAP001526__SITE03,0.955952647047715,INTERMEDIATE,0.955952647047715,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP001526__SITE04,0.926330413507731,INTERMEDIATE,0.926330413507731,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP001526__SITE05,0.92331868642884,INTERMEDIATE,0.92331868642884,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP002004__SITE01,0.87828468322372,INTERMEDIATE,0.878284683223721,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP002004__SITE02,0.994749524519662,ROBUST,0.994749524519662,ROBUST,4.44089209850063e-16,TRUE
AGAP002004__SITE03,0.983983300693736,ROBUST,0.983983300693736,ROBUST,2.22044604925031e-16,TRUE
AGAP002004__SITE04,0.971305421946645,ROBUST,0.971305421946645,ROBUST,2.22044604925031e-16,TRUE
AGAP002004__SITE05,0.91286783280801,INTERMEDIATE,0.91286783280801,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP002171__SITE01,0.989361918088131,ROBUST,0.989361918088131,ROBUST,4.44089209850063e-16,TRUE
AGAP002171__SITE02,0.279241293532338,CONCERN,0.279241293532338,CONCERN,2.77555756156289e-16,TRUE
AGAP002171__SITE03,0.303972023475847,CONCERN,0.303972023475847,CONCERN,3.88578058618805e-16,TRUE
AGAP002171__SITE04,0.304371810256231,CONCERN,0.304371810256231,CONCERN,4.44089209850063e-16,TRUE
AGAP002171__SITE05,0.29754878253768,CONCERN,0.29754878253768,CONCERN,2.77555756156289e-16,TRUE
AGAP002300__SITE01,0.833502518463583,INTERMEDIATE,0.833502518463583,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP002300__SITE02,0.276922066685208,CONCERN,0.276922066685207,CONCERN,5.55111512312578e-16,TRUE
AGAP002300__SITE03,0.986550509343464,ROBUST,0.986550509343464,ROBUST,3.33066907387547e-16,TRUE
AGAP002300__SITE04,0.986070765207004,ROBUST,0.986070765207004,ROBUST,0,TRUE
AGAP002300__SITE05,0.995383652934959,ROBUST,0.995383652934959,ROBUST,1.11022302462516e-16,TRUE
AGAP002475__SITE01,0.990288174512055,ROBUST,0.990288174512055,ROBUST,1.11022302462516e-16,TRUE
AGAP002475__SITE02,0.279199982231699,CONCERN,0.279199982231699,CONCERN,4.9960036108132e-16,TRUE
AGAP002475__SITE03,0.279199982231699,CONCERN,0.279199982231699,CONCERN,4.9960036108132e-16,TRUE
AGAP002475__SITE04,0.800121492988949,INTERMEDIATE,0.800121492988949,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP002475__SITE05,0.787230057549554,INTERMEDIATE,0.787230057549554,INTERMEDIATE,0,TRUE
AGAP003594__SITE01,0.991450916413603,ROBUST,0.991450916413603,ROBUST,1.11022302462516e-16,TRUE
AGAP003594__SITE02,0.911938856442426,INTERMEDIATE,0.911938856442426,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP003594__SITE03,0.983341674563689,ROBUST,0.98334167456369,ROBUST,5.55111512312578e-16,TRUE
AGAP003594__SITE04,0.983501589275843,ROBUST,0.983501589275843,ROBUST,1.11022302462516e-16,TRUE
AGAP003594__SITE05,0.781433938936271,CONCERN,0.781433938936271,CONCERN,2.22044604925031e-16,TRUE
AGAP003595__SITE01,0.984377066712047,ROBUST,0.984377066712047,ROBUST,1.11022302462516e-16,TRUE
AGAP003595__SITE02,0.809576727170011,INTERMEDIATE,0.809576727170011,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP003595__SITE03,0.874084331861818,INTERMEDIATE,0.874084331861818,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP003595__SITE04,0.990591507395733,ROBUST,0.990591507395734,ROBUST,7.7715611723761e-16,TRUE
AGAP003595__SITE05,0.969927038182662,ROBUST,0.969927038182662,ROBUST,3.33066907387547e-16,TRUE
AGAP003769__SITE01,0.90432820744761,INTERMEDIATE,0.90432820744761,INTERMEDIATE,5.55111512312578e-16,TRUE
AGAP003769__SITE02,0.920503909026297,INTERMEDIATE,0.920503909026297,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP003769__SITE03,0.944196384150675,INTERMEDIATE,0.944196384150675,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP003769__SITE04,0.788582839100497,INTERMEDIATE,0.788582839100497,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP003769__SITE05,0.879070858893751,INTERMEDIATE,0.879070858893751,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004036__SITE01,0.682421494365646,CONCERN,0.682421494365646,CONCERN,1.11022302462516e-16,TRUE
AGAP004036__SITE02,0.358719996925708,CONCERN,0.358719996925708,CONCERN,2.22044604925031e-16,TRUE
AGAP004036__SITE03,0.961280814483483,INTERMEDIATE,0.961280814483484,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004036__SITE04,0.961094247319304,INTERMEDIATE,0.961094247319304,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP004036__SITE05,0.838961688820209,INTERMEDIATE,0.838961688820209,INTERMEDIATE,5.55111512312578e-16,TRUE
AGAP004038__SITE01,0.990059402209917,ROBUST,0.990059402209917,ROBUST,2.22044604925031e-16,TRUE
AGAP004038__SITE02,0.735079538775901,CONCERN,0.735079538775901,CONCERN,1.11022302462516e-16,TRUE
AGAP004038__SITE03,0.153731343283582,CONCERN,0.153731343283582,CONCERN,8.32667268468867e-17,TRUE
AGAP004038__SITE04,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004038__SITE05,0.693765537606996,CONCERN,0.693765537606996,CONCERN,1.11022302462516e-16,TRUE
AGAP004050__SITE01,1,ROBUST,1,ROBUST,0,TRUE
AGAP004050__SITE02,1,ROBUST,1,ROBUST,0,TRUE
AGAP004050__SITE03,0.827639785530022,INTERMEDIATE,0.827639785530022,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP004050__SITE04,0.832224007278423,INTERMEDIATE,0.832224007278423,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004050__SITE05,0.534331963371548,CONCERN,0.534331963371548,CONCERN,1.11022302462516e-16,TRUE
AGAP004057__SITE01,0.212686567164179,CONCERN,0.212686567164179,CONCERN,0,TRUE
AGAP004057__SITE02,0.212686567164179,CONCERN,0.212686567164179,CONCERN,0,TRUE
AGAP004057__SITE03,0.555174737724421,CONCERN,0.555174737724421,CONCERN,3.33066907387547e-16,TRUE
AGAP004057__SITE04,0.555398386560984,CONCERN,0.555398386560984,CONCERN,1.11022302462516e-16,TRUE
AGAP004057__SITE05,0.958915843917061,INTERMEDIATE,0.958915843917061,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004078__SITE01,0.731725626674321,CONCERN,0.731725626674321,CONCERN,2.22044604925031e-16,TRUE
AGAP004078__SITE02,0.797059892843475,CONCERN,0.797059892843475,CONCERN,1.11022302462516e-16,TRUE
AGAP004078__SITE03,0.430409618573798,CONCERN,0.430409618573798,CONCERN,2.22044604925031e-16,TRUE
AGAP004078__SITE04,0.95377927265083,INTERMEDIATE,0.95377927265083,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP004078__SITE05,0.485404460551146,CONCERN,0.485404460551146,CONCERN,3.33066907387547e-16,TRUE
AGAP004239__SITE01,0.950501698239571,INTERMEDIATE,0.950501698239571,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004239__SITE02,0.950501698239571,INTERMEDIATE,0.950501698239571,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004239__SITE03,0.882621944624703,INTERMEDIATE,0.882621944624703,INTERMEDIATE,5.55111512312578e-16,TRUE
AGAP004239__SITE04,0.862429227103917,INTERMEDIATE,0.862429227103917,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP004239__SITE05,0.895763040279314,INTERMEDIATE,0.895763040279314,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP004467__SITE01,0.943876126464746,INTERMEDIATE,0.943876126464746,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP004467__SITE02,0.771580048343514,INTERMEDIATE,0.771580048343514,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP004467__SITE03,0.771739963055667,INTERMEDIATE,0.771739963055667,INTERMEDIATE,0,TRUE
AGAP004467__SITE04,0.896750143513203,INTERMEDIATE,0.896750143513203,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP004467__SITE05,0.897682979334099,INTERMEDIATE,0.897682979334098,INTERMEDIATE,5.55111512312578e-16,TRUE
AGAP004502__SITE01,0.995613653258508,ROBUST,0.995613653258508,ROBUST,2.22044604925031e-16,TRUE
AGAP004502__SITE02,1,ROBUST,1,ROBUST,0,TRUE
AGAP004502__SITE03,0.940262146822822,INTERMEDIATE,0.940262146822822,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP004502__SITE04,0.998660159026297,ROBUST,0.998660159026297,ROBUST,1.11022302462516e-16,TRUE
AGAP004502__SITE05,0.96657449929838,INTERMEDIATE,0.96657449929838,INTERMEDIATE,0,TRUE
AGAP004521__SITE01,0.507714582525683,CONCERN,0.507714582525683,CONCERN,3.33066907387547e-16,TRUE
AGAP004521__SITE02,0.645451722044539,CONCERN,0.645451722044539,CONCERN,4.44089209850063e-16,TRUE
AGAP004521__SITE03,0.979487139870008,ROBUST,0.979487139870008,ROBUST,1.11022302462516e-16,TRUE
AGAP004521__SITE04,0.979647054582162,ROBUST,0.979647054582162,ROBUST,3.33066907387547e-16,TRUE
AGAP004521__SITE05,0.978782988668345,INTERMEDIATE,0.978782988668345,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP004685__SITE01,0.967391304347826,UNRESOLVED_ACCESSIBILITY,0.967391304347826,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004685__SITE02,0.967391304347826,UNRESOLVED_ACCESSIBILITY,0.967391304347826,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004685__SITE03,0.980434782608696,UNRESOLVED_ACCESSIBILITY,0.980434782608696,UNRESOLVED_ACCESSIBILITY,3.33066907387547e-16,TRUE
AGAP004685__SITE04,1,ROBUST,1,ROBUST,0,TRUE
AGAP004685__SITE05,0.999813432835821,ROBUST,0.999813432835821,ROBUST,2.22044604925031e-16,TRUE
AGAP004699__SITE01,0.996314899859676,ROBUST,0.996314899859676,ROBUST,1.11022302462516e-16,TRUE
AGAP004699__SITE02,0.996314899859676,ROBUST,0.996314899859676,ROBUST,1.11022302462516e-16,TRUE
AGAP004699__SITE03,1,ROBUST,1,ROBUST,0,TRUE
AGAP004699__SITE04,1,ROBUST,1,ROBUST,0,TRUE
AGAP004699__SITE05,1,ROBUST,1,ROBUST,0,TRUE
AGAP004729__SITE01,0.994431488391376,ROBUST,0.994431488391376,ROBUST,4.44089209850063e-16,TRUE
AGAP004729__SITE02,0.994090600239543,ROBUST,0.994090600239543,ROBUST,2.22044604925031e-16,TRUE
AGAP004729__SITE03,1,ROBUST,1,ROBUST,0,TRUE
AGAP004729__SITE04,1,ROBUST,1,ROBUST,0,TRUE
AGAP004729__SITE05,1,ROBUST,1,ROBUST,0,TRUE
AGAP004739__SITE01,0.966387932134201,INTERMEDIATE,0.966387932134201,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP004739__SITE02,0.965801578189638,INTERMEDIATE,0.965801578189638,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP004739__SITE03,0.965801578189638,INTERMEDIATE,0.965801578189638,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP004739__SITE04,0.969833160206294,INTERMEDIATE,0.969833160206294,INTERMEDIATE,5.55111512312578e-16,TRUE
AGAP004739__SITE05,1,ROBUST,1,ROBUST,0,TRUE
AGAP004825__SITE01,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004825__SITE02,0.676288366011557,CONCERN,0.676288366011557,CONCERN,0,TRUE
AGAP004825__SITE03,0.760032248777652,INTERMEDIATE,0.760032248777652,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP004825__SITE04,0.941500011588023,INTERMEDIATE,0.941500011588023,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP004825__SITE05,0.989063731666344,ROBUST,0.989063731666344,ROBUST,3.33066907387547e-16,TRUE
AGAP004852__SITE01,0.923443851595485,INTERMEDIATE,0.923443851595485,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP004852__SITE02,0.988022725907685,ROBUST,0.988022725907685,ROBUST,2.22044604925031e-16,TRUE
AGAP004852__SITE03,0.947676515544986,INTERMEDIATE,0.947676515544986,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP004852__SITE04,1,ROBUST,1,ROBUST,0,TRUE
AGAP004852__SITE05,0.984258721216054,ROBUST,0.984258721216054,ROBUST,2.22044604925031e-16,TRUE
AGAP004957__SITE01,0.58142217870276,CONCERN,0.58142217870276,CONCERN,4.44089209850063e-16,TRUE
AGAP004957__SITE02,0.986573722297603,ROBUST,0.986573722297603,ROBUST,0,TRUE
AGAP004957__SITE03,0.986573722297603,ROBUST,0.986573722297603,ROBUST,0,TRUE
AGAP004957__SITE04,0.889736913259788,INTERMEDIATE,0.889736913259788,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP004957__SITE05,0.994103752072968,ROBUST,0.994103752072968,ROBUST,5.55111512312578e-16,TRUE
AGAP004962__SITE01,0.997464947987336,ROBUST,0.997464947987336,ROBUST,0,TRUE
AGAP004962__SITE02,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004962__SITE03,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004962__SITE04,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP004962__SITE05,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP005062__SITE01,1,ROBUST,1,ROBUST,0,TRUE
AGAP005062__SITE02,0.952448198319994,INTERMEDIATE,0.952448198319994,INTERMEDIATE,0,TRUE
AGAP005062__SITE03,0.994506691081629,ROBUST,0.994506691081629,ROBUST,2.22044604925031e-16,TRUE
AGAP005062__SITE04,0.994506691081629,ROBUST,0.994506691081629,ROBUST,2.22044604925031e-16,TRUE
AGAP005062__SITE05,0.964676697030147,ROBUST,0.964676697030147,ROBUST,0,TRUE
AGAP005127__SITE01,0.957860459606728,INTERMEDIATE,0.957860459606728,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP005127__SITE02,0.993581886144075,ROBUST,0.993581886144075,ROBUST,0,TRUE
AGAP005127__SITE03,0.99072951752624,ROBUST,0.99072951752624,ROBUST,4.44089209850063e-16,TRUE
AGAP005127__SITE04,0.956821598529094,INTERMEDIATE,0.956821598529094,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP005127__SITE05,0.994204258719815,ROBUST,0.994204258719815,ROBUST,3.33066907387547e-16,TRUE
AGAP005130__SITE01,0.953270893383611,INTERMEDIATE,0.953270893383611,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP005130__SITE02,0.994547702738893,ROBUST,0.994547702738894,ROBUST,5.55111512312578e-16,TRUE
AGAP005130__SITE03,0.996454894837979,ROBUST,0.996454894837979,ROBUST,4.44089209850063e-16,TRUE
AGAP005130__SITE04,0.997750322461765,ROBUST,0.997750322461765,ROBUST,3.33066907387547e-16,TRUE
AGAP005130__SITE05,0.917086711417503,INTERMEDIATE,0.917086711417503,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP005321__SITE01,0.987557759492277,ROBUST,0.987557759492277,ROBUST,1.11022302462516e-16,TRUE
AGAP005321__SITE02,0.890792179449673,INTERMEDIATE,0.890792179449673,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP005321__SITE03,0.890792179449673,INTERMEDIATE,0.890792179449673,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP005321__SITE04,0.955192786069652,INTERMEDIATE,0.955192786069652,INTERMEDIATE,0,TRUE
AGAP005321__SITE05,0.955192786069652,INTERMEDIATE,0.955192786069652,INTERMEDIATE,0,TRUE
AGAP005406__SITE01,0.860140332384546,INTERMEDIATE,0.860140332384546,INTERMEDIATE,0,TRUE
AGAP005406__SITE02,0.858408757494578,INTERMEDIATE,0.858408757494578,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP005406__SITE03,0.856543085852787,INTERMEDIATE,0.856543085852787,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP005406__SITE04,0.510213770183289,CONCERN,0.510213770183289,CONCERN,2.22044604925031e-16,TRUE
AGAP005406__SITE05,0.56892657249467,CONCERN,0.568926572494669,CONCERN,7.7715611723761e-16,TRUE
AGAP005763__SITE01,0.992134306147832,ROBUST,0.992134306147832,ROBUST,2.22044604925031e-16,TRUE
AGAP005763__SITE02,0.161222348081023,CONCERN,0.161222348081024,CONCERN,4.71844785465692e-16,TRUE
AGAP005763__SITE03,0.168578424840085,CONCERN,0.168578424840085,CONCERN,2.77555756156289e-16,TRUE
AGAP005763__SITE04,0.853988590362698,INTERMEDIATE,0.853988590362698,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP005763__SITE05,0.839228623960941,INTERMEDIATE,0.839228623960941,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP005871__SITE01,0.997941452159492,ROBUST,0.997941452159492,ROBUST,2.22044604925031e-16,TRUE
AGAP005871__SITE02,0.822307732172471,INTERMEDIATE,0.822307732172471,INTERMEDIATE,0,TRUE
AGAP005871__SITE03,0.264562621674238,CONCERN,0.264562621674238,CONCERN,4.44089209850063e-16,TRUE
AGAP005871__SITE04,0.593674735793084,CONCERN,0.593674735793084,CONCERN,3.33066907387547e-16,TRUE
AGAP005871__SITE05,0.376701640606491,CONCERN,0.376701640606491,CONCERN,3.88578058618805e-16,TRUE
AGAP005874__SITE01,0.788775290215589,INTERMEDIATE,0.788775290215589,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP005874__SITE02,0.993419408638625,ROBUST,0.993419408638625,ROBUST,1.11022302462516e-16,TRUE
AGAP005874__SITE03,0.998409447328575,ROBUST,0.998409447328574,ROBUST,5.55111512312578e-16,TRUE
AGAP005874__SITE04,0.31607445433289,CONCERN,0.31607445433289,CONCERN,4.44089209850063e-16,TRUE
AGAP005874__SITE05,0.584031564931752,CONCERN,0.584031564931751,CONCERN,6.66133814775094e-16,TRUE
AGAP005917__SITE01,0.989524150082919,ROBUST,0.989524150082919,ROBUST,3.33066907387547e-16,TRUE
AGAP005917__SITE02,0.998757056468499,ROBUST,0.998757056468499,ROBUST,4.44089209850063e-16,TRUE
AGAP005917__SITE03,0.157222814498934,CONCERN,0.157222814498934,CONCERN,8.32667268468867e-17,TRUE
AGAP005917__SITE04,0.155303837953092,CONCERN,0.155303837953092,CONCERN,2.77555756156289e-16,TRUE
AGAP005917__SITE05,0.985029808868117,ROBUST,0.985029808868117,ROBUST,2.22044604925031e-16,TRUE
AGAP005920__SITE01,0.946947324068065,UNRESOLVED_ACCESSIBILITY,0.946947324068066,UNRESOLVED_ACCESSIBILITY,5.55111512312578e-16,TRUE
AGAP005920__SITE02,0.99290295003854,ROBUST,0.99290295003854,ROBUST,3.33066907387547e-16,TRUE
AGAP005920__SITE03,0.940600983179341,INTERMEDIATE,0.940600983179341,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP005920__SITE04,0.99318389934386,ROBUST,0.99318389934386,ROBUST,3.33066907387547e-16,TRUE
AGAP005920__SITE05,0.995550400953386,ROBUST,0.995550400953386,ROBUST,0,TRUE
AGAP005958__SITE01,0.955285992398257,ROBUST,0.955285992398257,ROBUST,2.22044604925031e-16,TRUE
AGAP005958__SITE02,0.986534825870647,ROBUST,0.986534825870647,ROBUST,0,TRUE
AGAP005958__SITE03,0.990873949352616,ROBUST,0.990873949352616,ROBUST,1.11022302462516e-16,TRUE
AGAP005958__SITE04,0.864073790274816,INTERMEDIATE,0.864073790274816,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP005958__SITE05,0.864962760601753,INTERMEDIATE,0.864962760601753,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP005959__SITE01,0.646873006761066,CONCERN,0.646873006761067,CONCERN,5.55111512312578e-16,TRUE
AGAP005959__SITE02,0.979180814354727,ROBUST,0.979180814354727,ROBUST,2.22044604925031e-16,TRUE
AGAP005959__SITE03,0.994402101351892,ROBUST,0.994402101351892,ROBUST,3.33066907387547e-16,TRUE
AGAP005959__SITE04,0.190530171348228,CONCERN,0.190530171348228,CONCERN,2.77555756156289e-16,TRUE
AGAP005959__SITE05,0.104895842990019,CONCERN,0.104895842990019,CONCERN,4.16333634234434e-17,TRUE
AGAP006098__SITE01,0.979739641595336,ROBUST,0.979739641595336,ROBUST,1.11022302462516e-16,TRUE
AGAP006098__SITE02,0.981109152735288,ROBUST,0.981109152735288,ROBUST,2.22044604925031e-16,TRUE
AGAP006098__SITE03,0.915951930488403,INTERMEDIATE,0.915951930488403,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP006098__SITE04,0.898467937278427,INTERMEDIATE,0.898467937278427,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP006098__SITE05,0.914187553483118,INTERMEDIATE,0.914187553483118,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP006233__SITE01,0.94407249466951,INTERMEDIATE,0.94407249466951,INTERMEDIATE,5.55111512312578e-16,TRUE
AGAP006233__SITE02,0.944498933901919,INTERMEDIATE,0.944498933901919,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP006233__SITE03,0.942553304904051,INTERMEDIATE,0.942553304904051,INTERMEDIATE,2.22044604925031e-16,TRUE
AGAP006233__SITE04,0.585530834440633,CONCERN,0.585530834440633,CONCERN,3.33066907387547e-16,TRUE
AGAP006233__SITE05,0.965852706166139,INTERMEDIATE,0.965852706166139,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP006241__SITE01,0.953436744847193,INTERMEDIATE,0.953436744847193,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP006241__SITE02,0.986831616565062,ROBUST,0.986831616565062,ROBUST,2.22044604925031e-16,TRUE
AGAP006241__SITE03,0.847056107917967,CONCERN,0.847056107917967,CONCERN,3.33066907387547e-16,TRUE
AGAP006241__SITE04,0.989597107629554,ROBUST,0.989597107629554,ROBUST,2.22044604925031e-16,TRUE
AGAP006241__SITE05,0.98366530443023,ROBUST,0.98366530443023,ROBUST,3.33066907387547e-16,TRUE
AGAP006766__SITE01,0.990945215691728,ROBUST,0.990945215691728,ROBUST,4.44089209850063e-16,TRUE
AGAP006766__SITE02,0.604373776819835,CONCERN,0.604373776819835,CONCERN,3.33066907387547e-16,TRUE
