gene_id,final_prepopulation_rank,population_filtered_prepopulation_rank,population_deployment_class,gene_population_robustness_score,best_single_site_id,n_locked_sites,n_sites_meeting_external_n,n_sites_confirmed_observed,n_sites_confirmed_strict,proportion_sites_confirmed_observed,all_locked_sites_confirmed_observed,all_locked_sites_taxon_balanced,best_single_ag3_confirmed,best_single_ag3_confirmed_strict,ag3_external_validation_used_for_reranking
AGAP004852,35,29,HIGHLY_ROBUST,1,AGAP004852__SITE04,3,3,3,2,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP012424,36,30,HIGHLY_ROBUST,1,AGAP012424__SITE04,5,5,5,4,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP010722,38,31,HIGHLY_ROBUST,0.99663532473502,AGAP010722__SITE03,4,4,2,0,0.5,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP009792,39,32,HIGHLY_ROBUST,0.994590428493603,AGAP009792__SITE02,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP007217,41,33,HIGHLY_ROBUST,0.995243827688035,AGAP007217__SITE05,5,5,2,1,0.4,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP009091,42,34,HIGHLY_ROBUST,0.994351197010699,AGAP009091__SITE02,5,5,2,1,0.4,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP006989,43,35,HIGHLY_ROBUST,0.996010923507462,AGAP006989__SITE01,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP005062,44,36,HIGHLY_ROBUST,1,AGAP005062__SITE01,4,4,3,3,0.75,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP008118,45,37,HIGHLY_ROBUST,0.998046947425141,AGAP008118__SITE03,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP000099,46,38,HIGHLY_ROBUST,0.998015324124012,AGAP000099__SITE04,3,3,3,0,1,TRUE,FALSE,TRUE,FALSE,FALSE
AGAP007122,50,39,HIGHLY_ROBUST,0.998252854273234,AGAP007122__SITE05,4,4,4,3,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP011938,51,40,HIGHLY_ROBUST,0.997899234605741,AGAP011938__SITE05,4,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP007333,52,41,HIGHLY_ROBUST,0.996514064721038,AGAP007333__SITE02,4,4,3,3,0.75,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP005959,56,42,HIGHLY_ROBUST,0.996921155743541,AGAP005959__SITE03,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP011849,57,43,HIGHLY_ROBUST,0.996193623230004,AGAP011849__SITE05,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP005874,58,44,HIGHLY_ROBUST,0.999125196030716,AGAP005874__SITE03,3,3,2,2,0.666666666666667,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP010380,59,45,HIGHLY_ROBUST,1,AGAP010380__SITE01,3,3,3,2,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP004685,61,46,HIGHLY_ROBUST,1,AGAP004685__SITE04,2,2,2,0,1,TRUE,TRUE,TRUE,FALSE,FALSE
AGAP004502,62,47,HIGHLY_ROBUST,1,AGAP004502__SITE02,3,3,3,3,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP004699,63,48,HIGHLY_ROBUST,1,AGAP004699__SITE03,5,5,5,5,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP002171,64,49,HIGHLY_ROBUST,0.989811976057214,AGAP002171__SITE01,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP009515,65,50,HIGHLY_ROBUST,1,AGAP009515__SITE04,4,4,3,2,0.75,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP029982,66,51,HIGHLY_ROBUST,0.996805850460002,AGAP029982__SITE01,3,3,3,0,1,TRUE,FALSE,TRUE,FALSE,FALSE
AGAP009232,67,52,HIGHLY_ROBUST,0.992155292106318,AGAP009232__SITE01,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP005958,68,53,HIGHLY_ROBUST,0.994980672143939,AGAP005958__SITE03,5,5,1,0,0.2,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP006241,69,54,HIGHLY_ROBUST,0.994278409196255,AGAP006241__SITE04,5,5,2,1,0.4,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP009782,70,55,HIGHLY_ROBUST,0.996867490725592,AGAP009782__SITE03,3,3,2,0,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP002475,71,56,HIGHLY_ROBUST,0.99465849598163,AGAP002475__SITE01,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP001526,72,57,HIGHLY_ROBUST,0.990784478498209,AGAP001526__SITE01,4,4,1,1,0.25,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP000399,74,58,HIGHLY_ROBUST,0.9979393784153,AGAP000399__SITE02,4,4,3,1,0.75,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP010197,75,59,HIGHLY_ROBUST,0.999316381057674,AGAP010197__SITE02,3,3,2,2,0.666666666666667,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP007855,76,60,HIGHLY_ROBUST,0.997253320862618,AGAP007855__SITE02,3,3,1,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP005130,77,61,HIGHLY_ROBUST,0.998762677353971,AGAP005130__SITE04,3,3,2,1,0.666666666666667,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP003594,79,62,HIGHLY_ROBUST,0.995298004027482,AGAP003594__SITE01,4,4,4,3,1,TRUE,FALSE,TRUE,TRUE,FALSE
AGAP004729,80,63,HIGHLY_ROBUST,1,AGAP004729__SITE03,3,3,3,3,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP000627,82,64,HIGHLY_ROBUST,0.999267343787123,AGAP000627__SITE01,4,4,4,3,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP009936,83,65,HIGHLY_ROBUST,0.997228991564437,AGAP009936__SITE02,3,3,2,2,0.666666666666667,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP007938,84,66,HIGHLY_ROBUST,0.995425148069178,AGAP007938__SITE04,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP004521,85,67,HIGHLY_ROBUST,0.986713798827128,AGAP004521__SITE04,3,3,2,0,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP007729,86,68,HIGHLY_ROBUST,1,AGAP007729__SITE03,3,3,3,2,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP012142,87,69,HIGHLY_ROBUST,0.999658190528837,AGAP012142__SITE03,4,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP012991,90,70,HIGHLY_ROBUST,0.997610238312082,AGAP012991__SITE03,3,3,2,1,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP004739,91,71,HIGHLY_ROBUST,1,AGAP004739__SITE05,4,4,4,4,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP008578,92,72,HIGHLY_ROBUST,0.997341141514649,AGAP008578__SITE04,3,3,1,1,0.333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP010220,93,73,HIGHLY_ROBUST,0.994932987307054,AGAP010220__SITE01,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP005920,94,74,HIGHLY_ROBUST,0.997552720524362,AGAP005920__SITE05,4,4,3,2,0.75,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP001108,95,75,HIGHLY_ROBUST,0.999628872831609,AGAP001108__SITE01,3,3,2,0,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP010453,96,76,HIGHLY_ROBUST,0.997130045196552,AGAP010453__SITE05,4,4,4,4,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP006098,97,77,HIGHLY_ROBUST,0.983352351435112,AGAP006098__SITE02,4,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP006766,99,78,HIGHLY_ROBUST,0.995019868630451,AGAP006766__SITE01,3,3,2,1,0.666666666666667,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP007965,101,79,HIGHLY_ROBUST,0.978191805643146,AGAP007965__SITE04,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP007031,164,80,HIGHLY_ROBUST,0.993763810025957,AGAP007031__SITE05,5,5,2,1,0.4,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP004050,204,81,HIGHLY_ROBUST,1,AGAP004050__SITE01,5,5,2,2,0.4,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP028779,205,82,HIGHLY_ROBUST,0.99937032789396,AGAP028779__SITE04,5,5,2,2,0.4,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP004036,4,83,MULTIPLEX_RESCUABLE,0.978178828296406,AGAP004036__SITE03,3,3,2,0,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP011204,10,84,MULTIPLEX_RESCUABLE,0.88473518136543,AGAP011204__SITE01,4,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP003769,14,85,MULTIPLEX_RESCUABLE,0.969308011282871,AGAP003769__SITE03,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP006939,21,86,MULTIPLEX_RESCUABLE,0.977194586558666,AGAP006939__SITE04,4,4,1,0,0.25,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP009338,28,87,MULTIPLEX_RESCUABLE,0.881734920615112,AGAP009338__SITE05,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP004078,34,88,MULTIPLEX_RESCUABLE,0.974578599957957,AGAP004078__SITE04,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP007775,37,89,MULTIPLEX_RESCUABLE,0.941630870088659,AGAP007775__SITE05,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP000999,40,90,MULTIPLEX_RESCUABLE,0.96433235835808,AGAP000999__SITE02,2,2,1,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP004239,47,91,MULTIPLEX_RESCUABLE,0.972775934031764,AGAP004239__SITE01,5,5,2,1,0.4,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP007063,53,92,MULTIPLEX_RESCUABLE,0.979353745357719,AGAP007063__SITE02,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP007896,54,93,MULTIPLEX_RESCUABLE,0.942432594001396,AGAP007896__SITE05,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP005406,55,94,MULTIPLEX_RESCUABLE,0.9230771828115,AGAP005406__SITE01,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP004467,60,95,MULTIPLEX_RESCUABLE,0.96913186955561,AGAP004467__SITE01,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP008381,73,96,MULTIPLEX_RESCUABLE,0.862297865212627,AGAP008381__SITE04,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP007570,81,97,MULTIPLEX_RESCUABLE,0.956349310949368,AGAP007570__SITE05,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP006233,88,98,MULTIPLEX_RESCUABLE,0.981218988391376,AGAP006233__SITE05,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP004057,89,99,MULTIPLEX_RESCUABLE,0.972413723308922,AGAP004057__SITE05,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP011377,189,100,MULTIPLEX_RESCUABLE,0.961333949671286,AGAP011377__SITE05,5,5,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP004962,78,101,INTERMEDIATE,0.997464947987336,AGAP004962__SITE01,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP006935,48,102,CONCERN,0.393159097476326,AGAP006935__SITE02,2,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP007365,49,103,UNRESOLVED,,,,,,,,,,,,FALSE
AGAP012461,98,104,UNRESOLVED,,,,,,,,,,,,FALSE
AGAP012499,100,105,UNRESOLVED,,,,,,,,,,,,FALSE
AGAP012519,102,106,UNRESOLVED,,,,,,,,,,,,FALSE
